Date,Open,Close
2015-12-31,31.43,31.73
2016-01-04,30.61,31.03
2016-01-05,31.14,31.24
2016-01-06,30.42,30.31
2016-01-07,29.14,29.04
2016-01-08,29.21,28.8
2016-01-11,28.99,28.9
2016-01-12,29.07,29.0
2016-01-13,29.14,28.08
2016-01-14,28.04,28.38
2016-01-15,27.25,27.74
2016-01-19,28.49,28.12
2016-01-20,27.74,27.61
2016-01-21,27.39,27.78
2016-01-22,28.35,28.58
2016-01-25,28.86,28.48
2016-01-26,28.61,29.02
2016-01-27,29.08,29.2
2016-01-28,29.81,29.67
2016-01-29,30.28,30.73
2016-02-01,30.5,30.78
2016-02-02,29.95,30.01
2016-02-03,29.7,30.05
2016-02-04,29.84,29.87
2016-02-05,29.84,29.27
2016-02-08,28.8,28.76
2016-02-09,28.0,28.3
2016-02-10,28.57,28.24
2016-02-11,28.05,28.05
2016-02-12,28.84,29.0
2016-02-16,29.65,29.95
2016-02-17,30.54,30.49
2016-02-18,30.52,30.53
2016-02-19,30.22,30.41
2016-02-22,30.9,31.4
2016-02-23,31.06,30.95
2016-02-24,30.53,30.9
2016-02-25,30.73,30.77
2016-02-26,31.15,31.1
2016-02-29,31.18,31.18
2016-03-01,31.47,31.98
2016-03-02,31.94,32.15
2016-03-03,31.96,32.49
2016-03-04,32.13,32.2
2016-03-07,31.75,32.09
2016-03-08,31.35,31.17
2016-03-09,31.65,31.83
2016-03-10,31.86,31.91
2016-03-11,32.13,32.59
2016-03-14,32.35,32.41
2016-03-15,32.1,31.9
2016-03-16,31.91,32.71
2016-03-17,32.8,32.98
2016-03-18,33.3,33.64
2016-03-21,33.51,33.33
2016-03-22,33.33,33.33
2016-03-23,33.05,32.57
2016-03-24,32.0,32.61
2016-03-28,32.96,32.78
2016-03-29,32.72,33.49
2016-03-30,33.93,33.86
2016-03-31,33.94,34.03
2016-04-01,34.03,34.03
2016-04-04,33.68,33.21
2016-04-05,32.87,32.72
2016-04-06,32.8,33.38
2016-04-07,33.29,33.38
2016-04-08,33.7,33.27
2016-04-11,33.52,33.12
2016-04-12,33.59,33.61
2016-04-13,34.61,34.1
2016-04-14,34.1,34.07
2016-04-15,34.04,34.2
2016-04-18,34.39,34.5
2016-04-19,34.79,34.97
2016-04-20,34.47,34.64
2016-04-21,33.65,33.49
2016-04-22,33.04,32.95
2016-04-25,32.9,33.02
2016-04-26,33.11,33.29
2016-04-27,33.31,33.11
2016-04-28,32.8,32.73
2016-04-29,32.51,32.43
2016-05-02,32.5,33.11
2016-05-03,33.13,32.54
2016-05-04,32.89,32.19
2016-05-05,32.32,32.43
2016-05-06,32.05,32.07
2016-05-09,32.17,32.11
2016-05-10,31.4,32.23
2016-05-11,32.49,32.31
2016-05-12,33.0,32.4
2016-05-13,32.8,32.19
2016-05-16,32.83,32.69
2016-05-17,32.76,32.76
2016-05-18,32.02,31.9
2016-05-19,31.78,31.79
2016-05-20,32.04,32.06
2016-05-23,32.26,32.26
2016-05-24,32.1,32.47
2016-05-25,32.85,32.97
2016-05-26,32.74,32.84
2016-05-27,32.95,33.03
2016-05-31,33.29,33.42
2016-06-01,33.13,33.36
2016-06-02,33.46,33.57
2016-06-03,33.56,33.7
2016-06-06,33.96,33.72
2016-06-07,33.92,33.97
2016-06-08,34.01,34.04
2016-06-09,33.8,33.76
2016-06-10,33.17,33.08
2016-06-13,32.66,32.56
2016-06-14,32.29,32.29
2016-06-15,32.54,32.77
2016-06-16,31.91,32.38
2016-06-17,32.38,32.38
2016-06-20,33.28,32.91
2016-06-21,33.07,33.02
2016-06-22,33.28,32.99
2016-06-23,33.67,33.5
2016-06-24,31.24,31.61
2016-06-27,31.05,30.15
2016-06-28,30.75,30.63
2016-06-29,31.08,31.25
