Date,Open,Close
2015-12-31,19.95,19.74
2016-01-04,19.86,19.36
2016-01-05,19.07,19.61
2016-01-06,19.57,19.14
2016-01-07,19.04,19.1
2016-01-08,19.03,18.8
2016-01-11,18.63,18.91
2016-01-12,19.2,19.16
2016-01-13,19.19,18.52
2016-01-14,18.69,18.91
2016-01-15,18.5,18.29
2016-01-19,18.75,18.22
2016-01-20,18.01,17.76
2016-01-21,17.87,17.89
2016-01-22,18.65,18.54
2016-01-25,18.6,18.17
2016-01-26,18.44,18.35
2016-01-27,18.37,18.41
2016-01-28,18.95,18.4
2016-01-29,18.52,18.76
2016-02-01,18.61,18.75
2016-02-02,18.17,18.17
2016-02-03,18.1,18.06
2016-02-04,18.39,18.42
2016-02-05,18.17,17.95
2016-02-08,17.38,17.5
2016-02-09,17.3,17.3
2016-02-10,17.58,17.58
2016-02-11,17.32,17.01
2016-02-12,17.55,17.45
2016-02-16,17.59,17.57
2016-02-17,17.64,17.74
2016-02-18,17.65,17.63
2016-02-19,17.76,17.81
2016-02-22,17.91,18.0
2016-02-23,18.04,17.83
2016-02-24,17.75,18.17
2016-02-25,18.01,18.15
2016-02-26,18.34,18.15
2016-02-29,18.11,18.11
2016-03-01,18.14,18.67
2016-03-02,18.31,18.6
2016-03-03,18.8,19.17
2016-03-04,19.22,19.15
2016-03-07,19.23,19.31
2016-03-08,19.14,18.89
2016-03-09,19.22,19.4
2016-03-10,19.4,19.31
2016-03-11,19.27,19.68
2016-03-14,19.69,19.47
2016-03-15,19.29,19.27
2016-03-16,19.41,19.53
2016-03-17,19.76,20.03
2016-03-18,20.21,19.98
2016-03-21,20.16,20.14
2016-03-22,20.26,20.3
2016-03-23,20.34,19.88
2016-03-24,19.83,19.97
2016-03-28,19.97,19.97
2016-03-29,19.83,20.0
2016-03-30,20.18,20.32
2016-03-31,20.28,20.25
2016-04-01,19.84,20.13
2016-04-04,19.94,20.04
2016-04-05,19.59,19.58
2016-04-06,19.53,19.6
2016-04-07,19.7,19.53
2016-04-08,20.13,20.13
2016-04-11,20.06,20.01
2016-04-12,20.33,20.32
2016-04-13,20.48,20.52
2016-04-14,20.39,20.42
2016-04-15,20.06,19.98
2016-04-18,20.17,20.22
2016-04-19,20.48,20.33
2016-04-20,20.33,20.33
2016-04-21,20.33,20.33
2016-04-22,20.43,20.54
2016-04-25,20.62,20.31
2016-04-26,20.46,20.52
2016-04-27,20.6,20.52
2016-04-28,20.48,20.48
2016-04-29,20.0,19.84
2016-05-02,19.67,20.12
2016-05-03,20.09,19.75
2016-05-04,19.41,19.1
2016-05-05,19.05,19.05
2016-05-06,18.93,18.96
2016-05-09,18.96,18.96
2016-05-10,18.93,18.86
2016-05-11,18.51,19.0
2016-05-12,18.73,18.88
2016-05-13,18.56,18.65
2016-05-16,18.77,18.76
2016-05-17,18.58,18.82
2016-05-18,18.85,18.85
2016-05-19,18.85,18.85
2016-05-20,18.69,18.69
2016-05-23,18.44,18.67
2016-05-24,18.76,18.79
2016-05-25,18.8,18.8
2016-05-26,18.92,18.85
2016-05-27,18.93,19.0
2016-05-31,18.93,18.91
2016-06-01,18.91,18.91
2016-06-02,18.99,19.05
2016-06-03,19.05,19.05
2016-06-06,19.17,19.09
2016-06-07,19.25,19.25
2016-06-08,19.57,19.47
2016-06-09,19.31,19.44
2016-06-10,18.99,19.06
2016-06-13,18.64,18.64
2016-06-14,18.22,18.13
2016-06-15,18.12,18.18
2016-06-16,18.28,18.28
2016-06-17,18.28,18.25
2016-06-20,18.67,18.6
2016-06-21,18.6,18.6
2016-06-22,18.6,18.6
2016-06-23,18.6,18.6
2016-06-24,18.33,18.08
2016-06-27,17.79,17.81
2016-06-28,18.02,18.02
2016-06-29,18.41,18.52
2016-06-30,18.5,18.5
2016-07-01,18.65,18.53
2016-07-05,18.53,18.53
2016-07-06,17.94,17.91
2016-07-07,18.16,17.89
2016-07-08,17.93,18.02
2016-07-11,18.16,18.29
2016-07-12,18.29,18.29
2016-07-13,18.31,18.33
2016-07-14,18.69,18.56
2016-07-15,18.68,18.68
2016-07-18,18.68,18.68
2016-07-19,18.43,18.52
2016-07-20,18.57,18.57
2016-07-21,18.49,18.36
2016-07-22,18.26,18.34
2016-07-25,18.34,18.34
2016-07-26,18.35,18.35
2016-07-27,18.61,18.39
2016-07-28,18.47,18.52
2016-07-29,18.52,18.52
2016-08-01,18.77,18.77
2016-08-02,18.68,18.68
2016-08-03,18.88,18.8
2016-08-04,18.83,18.88
2016-08-05,19.02,18.97
2016-08-08,18.97,18.97
