Date,Open,Close
2016-04-20,25.09,25.31
2016-04-21,25.65,25.17
2016-04-22,25.14,25.07
2016-04-25,25.05,24.86
2016-04-26,24.87,24.87
2016-04-27,25.01,24.99
2016-04-28,24.98,24.57
2016-04-29,24.61,24.6
2016-05-02,24.64,24.8
2016-05-03,24.75,24.4
2016-05-04,24.47,24.4
2016-05-05,24.44,24.34
2016-05-06,25.31,24.3
2016-05-09,24.3,24.56
2016-05-10,24.65,24.75
2016-05-11,24.71,24.44
2016-05-12,24.52,24.2
2016-05-13,24.15,24.14
2016-05-16,24.44,24.31
2016-05-17,24.27,23.95
2016-05-18,24.24,23.79
2016-05-19,23.8,23.47
2016-05-20,23.39,23.93
2016-05-23,24.04,24.12
2016-05-24,24.26,24.45
2016-05-25,24.42,24.46
2016-05-26,24.65,24.69
2016-05-27,24.78,24.91
2016-05-31,24.91,24.89
2016-06-01,24.76,24.88
2016-06-02,24.75,25.02
2016-06-03,25.23,24.93
2016-06-06,25.05,25.15
2016-06-07,25.16,25.17
2016-06-08,25.1,25.15
2016-06-09,25.25,24.94
2016-06-10,24.75,24.44
2016-06-13,24.25,24.18
2016-06-14,24.25,24.06
2016-06-15,24.36,24.36
2016-06-16,24.1,24.08
2016-06-17,24.13,24.25
2016-06-20,24.85,24.66
2016-06-21,24.61,24.53
2016-06-22,24.56,24.52
2016-06-23,24.72,24.85
2016-06-24,23.92,23.89
2016-06-27,24.74,22.94
2016-06-28,23.36,23.5
2016-06-29,24.1,24.09
2016-06-30,24.15,24.33
2016-07-01,24.55,24.63
2016-07-05,24.46,24.37
2016-07-06,24.32,24.46
2016-07-07,24.63,24.48
2016-07-08,24.73,25.2
2016-07-11,25.23,25.44
2016-07-12,25.84,25.84
2016-07-13,25.91,25.61
2016-07-14,25.56,25.75
2016-07-15,25.75,25.75
2016-07-18,25.62,25.66
2016-07-19,25.45,25.39
2016-07-20,25.6,25.71
2016-07-21,25.73,25.67
2016-07-22,25.72,25.74
2016-07-25,25.49,25.57
2016-07-26,25.75,25.77
2016-07-27,25.77,25.77
2016-07-28,25.78,26.32
2016-07-29,26.32,26.28
2016-08-01,26.59,26.65
2016-08-02,26.73,26.73
2016-08-03,26.65,26.65
2016-08-04,26.65,26.65
2016-08-05,27.01,26.96
2016-08-08,26.84,26.95
2016-08-09,26.85,26.85
2016-08-10,26.73,26.73
2016-08-11,27.21,27.19
2016-08-12,27.32,27.37
2016-08-15,27.75,27.54
2016-08-16,27.53,27.31
2016-08-17,27.17,27.19
2016-08-18,27.37,27.45
2016-08-19,27.4,27.42
2016-08-22,27.3,27.31
2016-08-23,27.65,27.53
2016-08-24,27.52,27.42
2016-08-25,27.27,27.27
2016-08-26,27.32,27.18
2016-08-29,27.48,27.34
2016-08-30,27.25,27.37
2016-08-31,27.13,27.15
2016-09-01,27.44,27.52
2016-09-02,27.7,27.6
2016-09-06,27.99,27.9
2016-09-07,28.12,27.92
2016-09-08,28.0,27.9
2016-09-09,27.5,27.2
2016-09-12,27.0,27.42
2016-09-13,27.42,27.42
2016-09-14,27.17,27.15
2016-09-15,27.2,27.2
2016-09-16,27.3,27.3
2016-09-19,27.71,27.39
2016-09-20,27.27,27.27
2016-09-21,27.52,27.56
2016-09-22,27.89,28.02
2016-09-23,28.08,27.93
2016-09-26,28.0,28.0
2016-09-27,27.69,27.59
2016-09-28,27.61,27.63
2016-09-29,27.7,27.44
2016-09-30,27.76,27.63
2016-10-03,27.78,27.81
2016-10-04,28.0,27.95
2016-10-05,28.07,28.01
2016-10-06,28.19,27.69
2016-10-07,27.66,27.68
2016-10-10,28.17,27.75
2016-10-11,27.8,27.29
2016-10-12,27.56,27.38
2016-10-13,27.31,27.17
2016-10-14,27.36,27.28
2016-10-17,27.35,27.15
2016-10-18,27.69,27.79
2016-10-19,27.89,27.97
2016-10-20,27.95,27.67
2016-10-21,27.6,27.88
2016-10-24,28.41,27.92
2016-10-25,28.2,27.79
2016-10-26,27.73,27.42
2016-10-27,27.69,27.05
2016-10-28,27.3,27.18
2016-10-31,27.47,27.27
