Date,Open,Close
2015-12-31,19.08,19.1
2016-01-04,18.5,18.5
2016-01-05,18.5,18.5
2016-01-06,18.5,18.5
2016-01-07,17.91,17.91
2016-01-08,17.91,17.91
2016-01-11,17.91,17.91
2016-01-12,17.91,17.91
2016-01-13,17.91,17.91
2016-01-14,17.93,18.09
2016-01-15,17.7,17.72
2016-01-19,17.72,17.72
2016-01-20,17.9,17.83
2016-01-21,17.93,18.16
2016-01-22,18.41,18.17
2016-01-25,18.12,18.15
2016-01-26,18.43,18.54
2016-01-27,18.54,18.54
2016-01-28,18.54,18.54
2016-01-29,18.88,18.88
2016-02-01,18.68,18.72
2016-02-02,18.75,18.75
2016-02-03,18.75,18.75
2016-02-04,19.31,19.31
2016-02-05,18.7,18.72
2016-02-08,18.81,18.89
2016-02-09,18.53,18.46
2016-02-10,18.43,18.55
2016-02-11,18.36,18.24
2016-02-12,18.24,18.24
2016-02-16,18.09,18.83
2016-02-17,18.72,18.76
2016-02-18,18.95,18.89
2016-02-19,19.11,19.11
2016-02-22,19.69,19.55
2016-02-23,19.29,19.39
2016-02-24,19.42,19.59
2016-02-25,19.59,19.59
2016-02-26,19.53,19.45
2016-02-29,19.4,19.52
2016-03-01,19.52,19.52
2016-03-02,19.82,19.94
2016-03-03,20.28,20.23
2016-03-04,20.33,20.35
2016-03-07,20.46,20.56
2016-03-08,20.13,19.99
2016-03-09,20.22,20.22
2016-03-10,20.05,20.05
2016-03-11,20.05,20.05
2016-03-14,19.84,19.8
2016-03-15,19.75,19.76
2016-03-16,19.64,19.68
2016-03-17,20.02,20.17
2016-03-18,20.13,20.32
2016-03-21,20.2,20.16
2016-03-22,20.1,20.11
2016-03-23,19.89,19.89
2016-03-24,19.53,19.47
2016-03-28,19.47,19.47
2016-03-29,19.47,19.5
2016-03-30,19.61,19.61
2016-03-31,19.61,19.61
2016-04-01,19.61,19.61
2016-04-04,19.48,19.38
2016-04-05,19.38,19.38
2016-04-06,19.31,19.31
2016-04-07,19.31,19.31
2016-04-08,18.95,18.94
2016-04-11,18.88,19.01
2016-04-12,19.35,19.35
2016-04-13,19.83,19.88
2016-04-14,19.93,19.79
2016-04-15,19.78,19.78
2016-04-18,20.03,20.03
2016-04-19,20.31,20.32
2016-04-20,20.6,20.6
2016-04-21,20.64,20.55
2016-04-22,20.55,20.55
2016-04-25,20.55,20.55
2016-04-26,20.57,20.63
2016-04-27,20.42,20.42
2016-04-28,20.42,20.42
2016-04-29,21.05,21.11
2016-05-02,20.01,20.76
2016-05-03,20.64,20.62
2016-05-04,20.62,20.62
2016-05-05,20.06,20.06
2016-05-06,20.0,19.88
2016-05-09,19.52,19.51
2016-05-10,19.51,19.51
2016-05-11,19.73,19.64
2016-05-12,19.15,19.15
2016-05-13,19.21,19.26
2016-05-16,19.26,19.26
2016-05-17,19.26,19.26
2016-05-18,19.26,19.26
2016-05-19,18.98,18.98
2016-05-20,18.98,18.98
2016-05-23,19.01,19.01
2016-05-24,19.22,19.1
2016-05-25,19.1,19.1
2016-05-26,19.1,19.1
2016-05-27,19.44,19.47
2016-05-31,19.43,19.43
2016-06-01,19.43,19.43
2016-06-02,19.29,19.26
2016-06-03,19.63,19.63
2016-06-06,19.92,19.9
2016-06-07,19.32,19.32
2016-06-08,19.74,19.74
2016-06-09,19.74,19.74
2016-06-10,19.74,19.74
2016-06-13,19.74,19.74
2016-06-14,19.67,19.67
