Date,Open,Close
2015-12-31,36.06,36.36
2016-01-04,35.19,35.6
2016-01-05,35.69,35.72
2016-01-06,34.83,34.92
2016-01-07,34.19,33.85
2016-01-08,34.25,34.13
2016-01-11,33.55,33.57
2016-01-12,33.89,33.89
2016-01-13,33.62,33.03
2016-01-14,33.07,33.51
2016-01-15,32.12,32.12
2016-01-19,32.89,32.36
2016-01-20,31.87,31.73
2016-01-21,32.59,32.61
2016-01-22,33.31,33.61
2016-01-25,33.44,33.44
2016-01-26,33.81,33.64
2016-01-27,33.61,33.61
2016-01-28,33.03,33.03
2016-01-29,33.03,33.03
2016-02-01,33.8,33.91
2016-02-02,33.59,33.46
2016-02-03,33.65,33.65
2016-02-04,33.65,33.65
2016-02-05,33.03,33.08
2016-02-08,33.08,33.08
2016-02-09,32.3,32.1
2016-02-10,32.1,32.1
2016-02-11,31.77,31.81
2016-02-12,32.34,32.34
2016-02-16,33.17,33.17
2016-02-17,34.24,34.24
2016-02-18,34.33,34.48
2016-02-19,34.48,34.48
2016-02-22,34.79,34.66
2016-02-23,34.65,34.35
2016-02-24,34.31,34.31
2016-02-25,34.31,34.31
2016-02-26,34.31,34.31
2016-02-29,34.86,34.86
2016-03-01,35.13,35.13
2016-03-02,35.13,35.13
2016-03-03,35.5,35.62
2016-03-04,36.06,36.03
2016-03-07,36.53,36.33
2016-03-08,36.33,36.33
2016-03-09,36.33,36.33
2016-03-10,35.81,35.81
2016-03-11,36.64,36.7
2016-03-14,36.7,36.7
2016-03-15,36.2,36.3
2016-03-16,36.3,36.3
2016-03-17,37.0,37.0
2016-03-18,37.3,37.3
2016-03-21,37.25,37.25
2016-03-22,37.25,37.25
2016-03-23,37.25,37.25
2016-03-24,36.15,36.18
2016-03-28,36.17,36.42
2016-03-29,36.53,36.81
2016-03-30,37.19,37.19
2016-03-31,37.19,37.19
2016-04-01,36.72,36.53
2016-04-04,36.87,36.91
2016-04-05,36.4,36.07
2016-04-06,36.07,36.07
2016-04-07,36.26,36.26
2016-04-08,36.39,36.39
2016-04-11,37.18,36.89
2016-04-12,36.29,36.49
2016-04-13,36.92,36.89
2016-04-14,37.13,37.17
2016-04-15,37.07,37.12
2016-04-18,37.0,37.04
2016-04-19,37.04,37.04
2016-04-20,37.0,37.15
2016-04-21,37.15,37.15
2016-04-22,37.15,37.15
2016-04-25,36.71,36.69
2016-04-26,36.66,36.66
2016-04-27,36.97,36.97
2016-04-28,36.86,36.86
2016-04-29,35.66,35.89
2016-05-02,35.89,35.89
2016-05-03,35.86,35.76
2016-05-04,35.77,35.29
2016-05-05,35.08,35.08
2016-05-06,34.85,34.6
2016-05-09,34.9,34.7
2016-05-10,34.92,35.08
2016-05-11,34.86,35.03
2016-05-12,34.36,34.39
2016-05-13,34.39,34.39
2016-05-16,34.92,34.92
2016-05-17,34.92,34.92
2016-05-18,34.92,34.92
2016-05-19,34.63,34.66
2016-05-20,34.84,35.14
2016-05-23,35.37,35.53
2016-05-24,35.61,35.61
2016-05-25,35.94,36.14
2016-05-26,36.84,36.84
2016-05-27,36.72,36.73
2016-05-31,36.8,36.9
2016-06-01,36.85,37.0
2016-06-02,37.0,37.19
2016-06-03,37.4,37.37
2016-06-06,37.58,37.89
2016-06-07,37.63,37.89
2016-06-08,37.93,38.0
2016-06-09,37.88,37.88
2016-06-10,37.03,37.3
2016-06-13,36.96,36.85
2016-06-14,36.57,36.43
2016-06-15,36.72,37.14
2016-06-16,36.59,36.61
2016-06-17,36.48,36.48
2016-06-20,37.4,37.4
2016-06-21,37.66,37.75
2016-06-22,37.75,37.75
2016-06-23,37.69,37.69
2016-06-24,36.2,36.2
2016-06-27,35.0,35.0
2016-06-28,36.16,36.0
2016-06-29,36.24,36.28
2016-06-30,37.0,37.0
2016-07-01,36.87,36.87
2016-07-05,36.87,36.87
2016-07-06,35.88,35.88
2016-07-07,36.66,36.35
2016-07-08,37.3,37.3
2016-07-11,37.3,37.3
2016-07-12,38.1,37.96
2016-07-13,37.96,37.96
2016-07-14,38.62,38.36
2016-07-15,38.36,38.36
2016-07-18,38.61,38.76
2016-07-19,38.76,38.76
2016-07-20,38.76,38.76
2016-07-21,39.1,38.71
2016-07-22,38.71,38.71
2016-07-25,39.0,39.04
2016-07-26,39.04,39.04
2016-07-27,39.5,39.5
2016-07-28,39.5,39.34
2016-07-29,39.4,39.4
2016-08-01,40.7,39.55
2016-08-02,39.19,39.19
2016-08-03,39.2,39.2
2016-08-04,39.36,39.36
2016-08-05,39.65,39.84
2016-08-08,39.97,39.91
2016-08-09,40.08,40.32
2016-08-10,40.32,40.32
