Date,Open,Close
2015-12-31,34.62,34.62
2016-01-04,33.55,33.61
2016-01-05,33.27,33.22
2016-01-06,32.81,32.66
2016-01-07,31.75,31.75
2016-01-08,31.9,31.39
2016-01-11,31.19,30.79
2016-01-12,31.24,31.37
2016-01-13,31.73,31.07
2016-01-14,31.01,31.3
2016-01-15,30.65,30.58
2016-01-19,30.53,30.18
2016-01-20,29.59,29.99
2016-01-21,30.05,29.88
2016-01-22,30.56,30.58
2016-01-25,30.69,30.35
2016-01-26,30.33,30.54
2016-01-27,30.38,29.98
2016-01-28,29.98,29.98
2016-01-29,30.35,30.39
2016-02-01,30.31,30.47
2016-02-02,29.8,29.8
2016-02-03,29.7,29.74
2016-02-04,30.27,30.2
2016-02-05,29.56,29.04
2016-02-08,28.7,28.12
2016-02-09,27.87,27.79
2016-02-10,28.36,28.36
2016-02-11,27.9,28.4
2016-02-12,28.31,28.69
2016-02-16,29.45,29.62
2016-02-17,29.98,30.4
2016-02-18,30.32,30.15
2016-02-19,30.27,30.27
2016-02-22,31.0,31.0
2016-02-23,30.87,30.73
2016-02-24,30.73,30.73
2016-02-25,31.1,31.34
2016-02-26,31.74,31.74
2016-02-29,31.9,31.92
2016-03-01,32.13,32.13
2016-03-02,32.28,32.4
2016-03-03,32.15,32.01
2016-03-04,32.52,32.4
2016-03-07,32.23,32.39
2016-03-08,31.95,31.79
2016-03-09,31.99,32.0
2016-03-10,31.71,31.71
2016-03-11,31.71,31.71
2016-03-14,32.51,32.55
2016-03-15,32.1,32.1
2016-03-16,32.53,32.48
2016-03-17,32.98,33.03
2016-03-18,33.03,33.03
2016-03-21,33.19,33.24
2016-03-22,33.2,33.46
2016-03-23,33.43,33.06
2016-03-24,32.8,32.8
2016-03-28,33.01,32.84
2016-03-29,33.01,33.46
2016-03-30,33.75,33.55
2016-03-31,33.9,33.9
2016-04-01,33.76,33.89
2016-04-04,33.94,33.93
2016-04-05,33.63,33.63
2016-04-06,33.63,33.63
2016-04-07,33.35,33.25
2016-04-08,33.51,33.3
2016-04-11,33.65,33.66
2016-04-12,32.73,32.72
2016-04-13,33.01,33.63
2016-04-14,33.6,33.6
2016-04-15,33.6,33.6
2016-04-18,33.58,33.56
2016-04-19,33.41,33.15
2016-04-20,32.92,33.34
2016-04-21,33.47,33.42
2016-04-22,33.51,33.55
2016-04-25,33.7,33.65
2016-04-26,33.6,33.8
2016-04-27,33.86,33.86
2016-04-28,34.28,34.13
2016-04-29,33.53,33.65
2016-05-02,33.38,33.47
2016-05-03,32.99,32.93
2016-05-04,33.03,32.62
2016-05-05,32.47,32.48
2016-05-06,32.3,32.3
2016-05-09,32.3,32.49
2016-05-10,32.43,32.74
2016-05-11,32.78,32.9
2016-05-12,32.42,32.45
2016-05-13,32.62,32.65
2016-05-16,32.65,32.65
2016-05-17,32.65,32.65
2016-05-18,32.62,32.7
2016-05-19,32.38,32.28
2016-05-20,32.24,32.71
2016-05-23,32.99,33.0
2016-05-24,33.32,33.5
2016-05-25,33.5,33.58
2016-05-26,33.58,33.58
2016-05-27,33.52,33.65
2016-05-31,33.91,33.95
2016-06-01,33.84,34.22
2016-06-02,34.17,34.13
2016-06-03,34.21,34.34
2016-06-06,34.45,34.54
2016-06-07,34.44,34.59
2016-06-08,34.64,34.72
2016-06-09,34.63,34.63
2016-06-10,34.32,34.21
2016-06-13,33.96,33.91
2016-06-14,33.92,33.78
2016-06-15,34.03,34.05
2016-06-16,33.58,33.57
2016-06-17,33.93,33.72
2016-06-20,34.26,34.19
2016-06-21,34.19,34.19
2016-06-22,34.08,34.06
2016-06-23,34.49,34.49
2016-06-24,33.66,33.05
2016-06-27,31.91,31.74
2016-06-28,32.13,31.89
2016-06-29,32.63,32.63
2016-06-30,32.63,32.68
2016-07-01,33.07,33.19
