Date,Open,Close
2015-12-31,40.8,40.23
2016-01-04,39.9,39.66
2016-01-05,40.11,39.75
2016-01-06,39.36,38.91
2016-01-07,37.68,37.32
2016-01-08,37.08,37.05
2016-01-11,37.05,36.45
2016-01-12,36.12,35.76
2016-01-13,36.24,35.1
2016-01-14,35.34,35.43
2016-01-15,33.99,34.35
2016-01-19,35.52,34.74
2016-01-20,33.48,34.08
2016-01-21,33.6,34.11
2016-01-22,35.52,35.25
2016-01-25,35.76,35.22
2016-01-26,35.25,35.28
2016-01-27,35.82,35.34
2016-01-28,34.77,35.4
2016-01-29,34.98,35.34
2016-02-01,35.19,35.61
2016-02-02,35.01,34.44
2016-02-03,34.35,35.1
2016-02-04,36.0,36.21
2016-02-05,36.96,36.54
2016-02-08,36.54,36.6
2016-02-09,36.3,36.33
2016-02-10,35.76,34.83
2016-02-11,34.8,34.53
2016-02-12,35.1,35.67
2016-02-16,36.15,35.85
2016-02-17,36.78,37.5
2016-02-18,37.56,37.35
2016-02-19,36.6,36.96
2016-02-22,37.08,37.2
2016-02-23,37.65,37.62
2016-02-24,36.81,38.46
2016-02-25,37.65,37.95
2016-02-26,38.4,38.88
2016-02-29,39.0,39.42
2016-03-01,40.02,41.16
2016-03-02,40.98,41.55
2016-03-03,42.78,43.56
2016-03-04,44.1,44.64
2016-03-07,44.64,45.81
2016-03-08,45.84,44.79
2016-03-09,44.52,44.13
2016-03-10,44.1,44.43
2016-03-11,45.06,44.79
2016-03-14,44.28,44.28
2016-03-15,43.5,42.87
2016-03-16,42.99,44.01
2016-03-17,43.8,44.82
2016-03-18,44.58,43.98
2016-03-21,44.85,44.37
2016-03-22,44.37,44.85
2016-03-23,43.89,43.5
2016-03-24,42.03,42.81
2016-03-28,43.05,42.72
2016-03-29,42.3,43.17
2016-03-30,44.19,44.31
2016-03-31,44.13,43.89
2016-04-01,43.92,44.88
2016-04-04,44.85,44.28
2016-04-05,43.71,43.53
2016-04-06,43.29,44.22
2016-04-07,43.44,43.17
2016-04-08,43.59,43.71
2016-04-11,44.67,45.18
2016-04-12,45.54,45.6
2016-04-13,46.41,46.71
2016-04-14,46.92,47.1
2016-04-15,46.98,46.98
2016-04-18,46.47,46.74
2016-04-19,48.36,48.54
2016-04-20,48.72,49.47
2016-04-21,50.58,50.01
2016-04-22,49.83,50.19
2016-04-25,49.59,49.68
2016-04-26,49.29,48.93
2016-04-27,48.3,48.6
2016-04-28,48.39,48.54
2016-04-29,48.84,48.36
2016-05-02,48.84,49.38
2016-05-03,49.17,48.18
2016-05-04,47.04,47.85
2016-05-05,48.21,47.76
2016-05-06,47.34,47.52
2016-05-09,46.38,45.45
2016-05-10,45.78,46.05
