Date,Open,Close
2015-12-31,30.44,30.04
2016-01-04,29.95,29.43
2016-01-05,29.1,29.37
2016-01-06,29.0,29.03
2016-01-07,28.66,28.27
2016-01-08,29.03,28.02
2016-01-11,28.03,27.95
2016-01-12,28.38,28.12
2016-01-13,28.5,27.31
2016-01-14,27.16,27.78
2016-01-15,27.0,27.06
2016-01-19,27.03,26.85
2016-01-20,26.3,26.62
2016-01-21,26.87,26.71
2016-01-22,26.98,27.27
2016-01-25,27.27,26.94
2016-01-26,27.38,27.21
2016-01-27,27.26,26.63
2016-01-28,26.86,26.72
2016-01-29,26.8,27.3
2016-02-01,27.0,27.42
2016-02-02,27.45,26.73
2016-02-03,26.9,26.83
2016-02-04,26.78,27.07
2016-02-05,26.87,25.82
2016-02-08,25.63,24.98
2016-02-09,24.89,24.77
2016-02-10,24.9,25.38
2016-02-11,24.72,25.16
2016-02-12,25.24,25.47
2016-02-16,25.9,26.0
2016-02-17,26.14,26.74
2016-02-18,27.03,26.75
2016-02-19,26.49,26.95
2016-02-22,27.29,27.27
2016-02-23,27.03,26.82
2016-02-24,26.6,27.06
2016-02-25,27.32,27.57
2016-02-26,27.69,27.62
2016-02-29,27.63,27.43
2016-03-01,27.65,28.08
2016-03-02,28.16,28.19
2016-03-03,28.25,28.3
2016-03-04,28.25,28.35
2016-03-07,28.06,28.27
2016-03-08,28.0,27.99
2016-03-09,27.9,28.23
2016-03-10,28.29,28.04
2016-03-11,28.05,28.62
2016-03-14,28.48,28.59
2016-03-15,28.42,28.4
2016-03-16,28.23,28.8
2016-03-17,28.83,29.01
2016-03-18,29.19,29.12
2016-03-21,29.12,29.16
2016-03-22,29.05,29.24
2016-03-23,29.1,28.85
2016-03-24,28.66,28.92
2016-03-28,28.97,28.98
2016-03-29,29.07,29.37
2016-03-30,29.64,29.49
2016-03-31,29.45,29.57
2016-04-01,29.54,29.69
2016-04-04,29.81,29.61
2016-04-05,29.3,29.31
2016-04-06,29.32,29.74
2016-04-07,29.72,29.26
2016-04-08,29.52,29.26
2016-04-11,29.27,29.13
2016-04-12,29.03,29.09
2016-04-13,29.19,29.62
2016-04-14,29.6,29.57
2016-04-15,29.47,29.47
2016-04-18,29.26,29.63
2016-04-19,29.9,29.43
2016-04-20,29.59,29.7
2016-04-21,29.95,29.85
2016-04-22,29.69,29.71
2016-04-25,29.57,29.58
2016-04-26,29.6,29.55
2016-04-27,29.4,29.6
2016-04-28,29.45,29.29
2016-04-29,29.28,29.24
2016-05-02,29.36,29.39
2016-05-03,29.15,28.89
2016-05-04,28.95,28.73
2016-05-05,28.93,28.8
2016-05-06,28.62,29.13
2016-05-09,29.26,29.17
2016-05-10,29.35,29.65
2016-05-11,29.39,29.51
2016-05-12,29.5,29.47
2016-05-13,29.39,29.42
2016-05-16,29.32,29.77
2016-05-17,29.94,29.48
2016-05-18,29.33,29.53
2016-05-19,29.48,29.44
2016-05-20,29.54,29.82
2016-05-23,29.92,29.84
2016-05-24,30.0,30.39
