Date,Open,Close
2015-12-31,19.55,19.5
2016-01-04,19.5,19.16
2016-01-05,19.32,19.26
2016-01-06,18.62,18.53
2016-01-07,18.08,17.57
2016-01-08,17.89,17.2
2016-01-11,17.48,16.9
2016-01-12,17.0,16.71
2016-01-13,17.08,16.27
2016-01-14,16.53,16.85
2016-01-15,15.99,16.08
2016-01-19,16.43,16.13
2016-01-20,15.75,15.92
2016-01-21,16.05,16.07
2016-01-22,16.51,16.32
2016-01-25,16.35,15.91
2016-01-26,16.23,16.72
2016-01-27,16.53,16.51
2016-01-28,17.03,16.8
2016-01-29,16.84,17.61
2016-02-01,17.27,17.46
2016-02-02,16.95,16.8
2016-02-03,17.23,17.48
2016-02-04,18.12,18.7
2016-02-05,18.36,18.25
2016-02-08,18.0,17.87
2016-02-09,17.44,17.4
2016-02-10,17.36,17.36
2016-02-11,17.09,16.85
2016-02-12,17.5,17.89
2016-02-16,18.24,18.47
2016-02-17,18.88,19.23
2016-02-18,19.24,18.77
2016-02-19,18.71,18.68
2016-02-22,19.29,19.65
2016-02-23,19.37,18.92
2016-02-24,18.34,18.87
2016-02-25,18.77,18.78
2016-02-26,19.11,18.88
2016-02-29,19.26,19.43
2016-03-01,20.09,20.19
2016-03-02,20.43,21.8
2016-03-03,22.05,22.46
2016-03-04,23.1,23.34
2016-03-07,23.9,24.42
2016-03-08,23.78,22.81
2016-03-09,23.0,22.82
2016-03-10,22.78,23.46
2016-03-11,23.67,23.68
2016-03-14,23.29,23.49
2016-03-15,22.7,22.64
2016-03-16,22.46,23.65
2016-03-17,24.62,24.84
2016-03-18,25.02,24.98
2016-03-21,24.89,24.79
2016-03-22,24.54,24.98
2016-03-23,24.65,23.93
2016-03-24,23.32,24.41
2016-03-28,24.62,24.52
2016-03-29,24.02,24.7
2016-03-30,25.18,25.21
2016-03-31,25.24,24.99
2016-04-01,24.56,25.32
2016-04-04,25.53,24.57
2016-04-05,24.07,24.59
2016-04-06,24.37,24.75
2016-04-07,24.61,24.24
2016-04-08,24.77,25.48
2016-04-11,26.15,26.52
2016-04-12,26.9,27.5
2016-04-13,28.39,29.01
2016-04-14,29.0,28.45
2016-04-15,28.1,28.59
2016-04-18,28.45,28.76
2016-04-19,29.38,29.88
2016-04-20,30.4,30.42
2016-04-21,30.6,29.57
2016-04-22,29.43,29.43
2016-04-25,28.94,28.17
2016-04-26,28.4,28.77
2016-04-27,28.42,29.37
2016-04-28,29.65,29.39
2016-04-29,29.9,29.65
2016-05-02,29.7,29.64
2016-05-03,28.76,28.04
2016-05-04,27.41,27.55
2016-05-05,27.87,27.04
2016-05-06,26.76,27.47
2016-05-09,26.5,25.41
2016-05-10,25.69,26.31
2016-05-11,26.35,26.28
2016-05-12,26.3,25.68
2016-05-13,25.46,24.9
2016-05-16,25.36,25.25
2016-05-17,25.27,25.29
2016-05-18,24.89,24.38
2016-05-19,23.98,24.4
2016-05-20,24.73,24.26
2016-05-23,23.97,24.53
2016-05-24,24.9,24.4
2016-05-25,24.64,25.09
2016-05-26,25.77,25.29
2016-05-27,25.27,24.93
2016-05-31,25.03,24.94
2016-06-01,24.59,24.98
2016-06-02,24.78,25.35
2016-06-03,25.7,26.27
2016-06-06,26.64,27.15
2016-06-07,27.1,27.19
2016-06-08,27.78,28.3
2016-06-09,27.64,27.25
2016-06-10,26.81,26.74
