Date,Open,Close
2015-12-31,9.73,9.7
2016-01-04,9.73,9.6
2016-01-05,9.56,9.68
2016-01-06,9.81,9.63
2016-01-07,9.69,9.88
2016-01-08,9.94,10.13
2016-01-11,9.95,9.85
2016-01-12,9.65,9.55
2016-01-13,9.58,9.62
2016-01-14,9.43,9.3
2016-01-15,9.23,9.18
2016-01-19,9.3,9.18
2016-01-20,9.21,9.29
2016-01-21,9.28,9.38
2016-01-22,8.94,9.4
2016-01-25,9.19,9.35
2016-01-26,9.41,9.36
2016-01-27,9.47,9.28
2016-01-28,9.18,9.42
2016-01-29,9.5,9.56
2016-02-01,9.19,9.24
2016-02-02,8.85,9.0
2016-02-03,8.92,9.06
2016-02-04,8.81,8.89
2016-02-05,9.0,9.02
2016-02-08,9.29,9.15
2016-02-09,9.11,9.08
2016-02-10,8.93,8.95
2016-02-11,9.0,8.81
2016-02-12,8.76,8.72
2016-02-16,8.6,8.55
2016-02-17,8.5,8.67
2016-02-18,8.47,8.43
2016-02-19,8.87,8.25
2016-02-22,8.2,8.25
2016-02-23,8.14,8.08
2016-02-24,8.05,8.16
2016-02-25,8.0,7.99
2016-02-26,7.97,8.05
2016-02-29,7.82,7.97
2016-03-01,8.08,8.13
2016-03-02,8.03,8.03
2016-03-03,7.95,7.99
2016-03-04,7.97,8.09
2016-03-07,8.02,8.09
2016-03-08,8.01,8.09
2016-03-09,8.07,8.26
2016-03-10,8.38,8.47
2016-03-11,8.54,8.52
2016-03-14,8.49,8.52
2016-03-15,8.7,8.63
2016-03-16,8.51,8.64
2016-03-17,8.74,8.85
2016-03-18,8.85,8.7
2016-03-21,8.7,8.54
2016-03-22,8.57,8.57
2016-03-23,8.74,8.5
2016-03-24,8.57,8.64
2016-03-28,8.61,8.86
2016-03-29,8.86,9.03
2016-03-30,9.1,8.97
2016-03-31,8.97,8.84
2016-04-01,8.84,8.84
2016-04-04,8.94,8.93
2016-04-05,8.77,8.69
2016-04-06,8.65,8.65
2016-04-07,8.65,8.65
2016-04-08,8.89,8.89
2016-04-11,8.63,8.76
2016-04-12,8.8,8.98
2016-04-13,9.0,9.02
2016-04-14,8.89,8.94
2016-04-15,8.8,8.89
2016-04-18,8.98,9.02
2016-04-19,9.22,9.32
2016-04-20,9.37,9.38
2016-04-21,9.46,9.48
2016-04-22,9.48,9.58
2016-04-25,9.48,9.57
2016-04-26,9.53,9.54
2016-04-27,9.5,9.61
2016-04-28,9.55,9.51
2016-04-29,9.54,9.59
2016-05-02,9.45,9.46
2016-05-03,9.48,9.45
2016-05-04,9.49,9.54
2016-05-05,9.44,9.44
2016-05-06,9.59,9.46
2016-05-09,9.01,9.37
2016-05-10,9.44,9.44
2016-05-11,9.42,9.47
