Date,Open,Close
2015-12-31,86.72,88.0
2016-01-04,90.08,87.84
2016-01-05,86.4,85.28
2016-01-06,82.4,80.88
2016-01-07,79.12,79.2
2016-01-08,79.6,78.4
2016-01-11,77.76,74.0
2016-01-12,75.44,73.36
2016-01-13,74.4,72.72
2016-01-14,73.12,73.84
2016-01-15,70.32,70.32
2016-01-19,70.0,67.92
2016-01-20,66.72,65.92
2016-01-21,64.8,68.48
2016-01-22,72.72,74.16
2016-01-25,71.52,68.32
2016-01-26,70.48,71.76
2016-01-27,71.36,73.44
2016-01-28,78.4,77.6
2016-01-29,78.16,77.2
2016-02-01,74.8,72.16
2016-02-02,69.76,68.56
2016-02-03,70.72,74.72
2016-02-04,76.4,72.96
2016-02-05,72.32,71.28
2016-02-08,70.16,69.12
2016-02-09,68.08,65.44
2016-02-10,63.76,63.68
2016-02-11,62.56,63.92
2016-02-12,65.28,66.64
2016-02-16,67.92,66.48
2016-02-17,67.44,70.24
2016-02-18,72.24,69.28
2016-02-19,68.4,68.4
2016-02-22,71.2,71.28
2016-02-23,70.08,67.84
2016-02-24,65.52,68.72
2016-02-25,67.84,70.4
2016-02-26,73.12,70.24
2016-02-29,70.88,72.0
2016-03-01,71.84,73.2
2016-03-02,72.08,74.4
2016-03-03,73.04,74.0
2016-03-04,74.32,77.2
2016-03-07,77.44,80.88
2016-03-08,80.32,77.2
2016-03-09,78.96,81.2
2016-03-10,79.68,80.32
2016-03-11,81.68,81.52
2016-03-14,79.36,79.04
2016-03-15,77.84,77.6
2016-03-16,79.28,81.44
2016-03-17,82.96,84.4
2016-03-18,85.68,83.84
2016-03-21,84.0,84.72
2016-03-22,83.28,84.32
2016-03-23,82.64,80.88
2016-03-24,78.24,80.48
2016-03-28,80.08,80.08
2016-03-29,77.68,78.4
2016-03-30,79.92,77.84
2016-03-31,77.44,77.6
2016-04-01,75.28,74.64
2016-04-04,74.56,72.64
2016-04-05,72.56,73.04
2016-04-06,75.04,76.8
2016-04-07,75.92,76.08
2016-04-08,79.84,80.24
2016-04-11,81.52,82.24
2016-04-12,82.96,85.12
2016-04-13,84.72,84.08
2016-04-14,84.64,83.84
2016-04-15,82.24,82.0
2016-04-18,78.72,81.36
2016-04-19,82.0,83.52
2016-04-20,81.92,86.08
2016-04-21,85.68,85.76
2016-04-22,86.0,86.08
2016-04-25,86.24,84.4
2016-04-26,85.28,86.48
2016-04-27,88.24,89.12
2016-04-28,89.28,89.76
2016-04-29,91.36,90.4
2016-05-02,89.92,88.4
2016-05-03,86.88,85.92
2016-05-04,87.44,86.32
2016-05-05,89.84,87.2
2016-05-06,86.48,87.68
2016-05-09,86.88,85.44
2016-05-10,86.0,87.92
2016-05-11,87.28,90.72
2016-05-12,92.24,91.6
2016-05-13,90.8,90.96
2016-05-16,93.44,94.08
2016-05-17,94.0,95.36
2016-05-18,94.8,93.6
2016-05-19,92.64,94.32
2016-05-20,94.32,94.0
2016-05-23,92.08,93.28
2016-05-24,93.36,94.56
2016-05-25,95.36,96.24
2016-05-26,96.88,95.6
2016-05-27,94.72,95.84
2016-05-31,95.84,94.96
2016-06-01,92.96,95.44
2016-06-02,93.36,94.88
2016-06-03,95.12,94.56
2016-06-06,96.08,96.32
2016-06-07,96.8,97.76
2016-06-08,98.72,99.44
