Date,Open,Close
2017-12-13,25.2,25.17
2017-12-14,26.25,25.01
2017-12-15,25.83,25.18
2017-12-18,25.4,25.39
2017-12-19,25.94,25.53
2017-12-20,25.86,25.5
2017-12-21,26.0,25.52
2017-12-22,26.0,25.5
2017-12-26,25.99,25.72
2017-12-27,25.83,25.69
2017-12-28,25.98,25.97
2017-12-29,26.57,26.21
2018-01-02,26.74,26.66
2018-01-03,27.15,26.92
2018-01-04,27.47,26.55
2018-01-05,26.9,26.4
2018-01-08,26.51,26.25
2018-01-09,26.44,26.2
2018-01-10,26.34,26.21
2018-01-11,26.25,26.25
2018-01-12,26.36,26.3
2018-01-16,26.55,26.21
2018-01-17,26.3,26.42
2018-01-18,26.51,26.18
2018-01-19,26.46,26.44
2018-01-22,26.64,26.63
2018-01-23,26.9,26.99
2018-01-24,27.0,26.96
2018-01-25,26.5,26.89
2018-01-26,27.25,27.28
2018-01-29,27.32,27.09
2018-01-30,27.13,26.69
2018-01-31,26.93,26.66
2018-02-01,26.85,26.62
2018-02-02,26.69,26.22
2018-02-05,26.13,25.43
2018-02-06,25.15,25.43
2018-02-07,25.46,25.36
2018-02-08,25.45,24.96
2018-02-09,25.0,24.95
2018-02-12,25.0,25.12
2018-02-13,25.26,25.14
2018-02-14,25.2,25.59
2018-02-15,25.74,25.99
2018-02-16,26.19,26.01
2018-02-20,26.21,25.73
2018-02-21,25.59,25.65
2018-02-22,25.51,25.36
2018-02-23,25.64,25.8
2018-02-26,25.76,25.83
2018-02-27,26.05,25.52
2018-02-28,25.56,25.22
2018-03-01,25.23,24.75
2018-03-02,24.72,25.16
2018-03-05,25.59,25.45
2018-03-06,25.51,25.27
2018-03-07,25.2,25.47
2018-03-08,25.5,25.62
2018-03-09,25.73,25.84
2018-03-12,26.05,25.89
2018-03-13,26.02,25.75
2018-03-14,25.76,25.77
2018-03-15,25.68,25.67
2018-03-16,25.59,25.39
2018-03-19,25.36,25.28
2018-03-20,25.2,25.24
2018-03-21,25.12,25.1
2018-03-22,25.0,24.53
2018-03-23,24.46,24.37
2018-03-26,24.23,24.49
2018-03-27,24.81,24.29
2018-03-28,24.52,24.7
2018-03-29,24.79,25.04
2018-04-02,24.65,24.56
2018-04-03,24.58,24.86
2018-04-04,24.42,25.18
2018-04-05,25.51,25.32
2018-04-06,25.45,25.06
2018-04-09,25.25,25.15
2018-04-10,25.19,25.34
2018-04-11,25.19,25.37
2018-04-12,25.36,25.38
2018-04-13,25.2,25.3
2018-04-16,25.38,25.65
2018-04-17,25.81,25.89
2018-04-18,25.78,25.71
2018-04-19,25.68,25.3
2018-04-20,25.55,25.03
2018-04-23,25.34,25.05
2018-04-24,25.0,24.66
2018-04-25,24.77,24.86
2018-04-26,25.18,25.18
2018-04-27,25.06,25.31
2018-04-30,25.3,25.2
2018-05-01,25.1,25.17
2018-05-02,24.77,24.79
2018-05-03,24.77,24.66
2018-05-04,24.81,24.82
2018-05-07,24.84,24.82
2018-05-08,24.83,24.82
2018-05-09,24.89,24.92
2018-05-10,25.0,25.03
2018-05-11,25.27,24.95
2018-05-14,24.97,25.06
2018-05-15,24.88,24.95
2018-05-16,25.26,25.18
2018-05-17,25.18,25.18
2018-05-18,25.12,25.11
2018-05-21,25.08,25.07
2018-05-22,25.13,25.08
2018-05-23,25.11,25.21
2018-05-24,25.21,25.29
2018-05-25,25.37,25.28
2018-05-29,25.03,25.09
2018-05-30,25.54,25.5
2018-05-31,25.42,25.45
2018-06-01,25.67,25.34
2018-06-04,25.09,25.54
2018-06-05,25.5,25.42
2018-06-06,25.55,25.39
2018-06-07,25.52,25.28
2018-06-08,25.24,25.55
2018-06-11,25.65,25.5
2018-06-12,25.65,25.74
2018-06-13,25.62,25.67
2018-06-14,25.76,25.95
2018-06-15,25.92,26.04
2018-06-18,26.03,25.87
2018-06-19,25.55,25.78
2018-06-20,26.09,25.96
2018-06-21,26.12,25.92
2018-06-22,26.06,26.02
2018-06-25,26.12,25.68
2018-06-26,25.83,25.86
2018-06-27,26.0,25.48
2018-06-28,25.61,25.74
2018-06-29,25.7,25.7
2018-07-02,25.57,25.69
2018-07-03,25.84,25.82
2018-07-05,25.94,26.01
2018-07-06,26.13,26.29
2018-07-09,26.3,26.33
2018-07-10,26.42,26.37
2018-07-11,26.34,26.26
2018-07-12,26.23,26.23
2018-07-13,26.34,26.34
2018-07-16,26.37,25.99
2018-07-17,26.15,26.12
2018-07-18,26.05,26.05
2018-07-19,26.21,26.19
2018-07-20,26.39,26.28
2018-07-23,26.39,26.32
2018-07-24,26.27,26.16
2018-07-25,26.26,26.49
2018-07-26,26.5,26.31
2018-07-27,26.11,25.85
2018-07-30,25.99,25.69
2018-07-31,25.6,25.95
2018-08-01,26.1,25.78
2018-08-02,25.79,25.69
2018-08-03,25.79,25.88
2018-08-06,25.94,25.83
2018-08-07,25.74,25.76
2018-08-08,25.76,25.41
2018-08-09,25.22,25.68
2018-08-10,25.68,25.58
2018-08-13,25.47,25.67
2018-08-14,25.8,25.82
2018-08-15,25.8,25.64
2018-08-16,25.6,25.62
2018-08-17,25.75,25.88
2018-08-20,25.95,25.94
2018-08-21,26.0,26.0
2018-08-22,25.97,26.09
2018-08-23,26.08,26.07
2018-08-24,26.03,26.35
2018-08-27,26.63,26.32
2018-08-28,26.48,26.13
2018-08-29,26.14,26.15
2018-08-30,26.04,26.3
2018-08-31,26.3,26.27
2018-09-04,26.3,26.05
2018-09-05,26.12,26.03
2018-09-06,25.97,26.11
2018-09-07,26.11,26.35
2018-09-10,26.34,26.23
2018-09-11,26.31,26.48
2018-09-12,26.32,26.47
2018-09-13,26.72,26.46
2018-09-14,26.48,26.52
2018-09-17,26.81,26.41
2018-09-18,26.34,26.58
2018-09-19,26.9,26.44
2018-09-20,26.81,27.29
2018-09-21,27.32,27.03
2018-09-24,27.2,26.99
2018-09-25,27.06,26.95
2018-09-26,27.05,27.0
2018-09-27,27.03,27.08
2018-09-28,26.83,27.01
2018-10-01,27.17,26.87
2018-10-02,26.98,26.82
2018-10-03,26.82,26.75
2018-10-04,26.61,26.55
2018-10-05,26.62,26.42
2018-10-08,26.51,27.07
2018-10-09,27.42,27.21
2018-10-10,27.1,26.49
2018-10-11,26.25,26.0
2018-10-12,25.89,26.13
2018-10-15,26.48,26.15
2018-10-16,26.4,26.59
2018-10-17,26.47,26.55
2018-10-18,27.73,26.19
2018-10-19,26.19,26.04
2018-10-22,26.0,26.04
2018-10-23,25.9,26.0
2018-10-24,25.76,25.38
2018-10-25,25.56,25.49
2018-10-26,25.26,25.41
2018-10-29,25.55,25.22
2018-10-30,25.19,25.63
2018-10-31,26.08,25.75
2018-11-01,26.05,25.88
2018-11-02,26.01,25.7
2018-11-05,25.88,26.11
2018-11-06,25.9,26.02
2018-11-07,26.31,26.25
2018-11-08,26.0,25.85
2018-11-09,25.94,25.66
2018-11-12,25.41,25.31
2018-11-13,25.31,25.04
2018-11-14,25.02,24.94
2018-11-15,24.75,24.89
2018-11-16,24.66,24.96
2018-11-19,24.78,24.63
2018-11-20,24.28,24.33
2018-11-21,24.32,24.36
2018-11-23,24.21,24.3
2018-11-26,24.3,24.07
2018-11-27,24.12,24.12
2018-11-28,24.07,24.37
2018-11-29,24.43,24.35
2018-11-30,24.17,24.22
2018-12-03,24.37,24.43
2018-12-04,24.56,23.85
2018-12-06,23.46,23.71
2018-12-07,23.55,23.24
2018-12-10,23.15,23.34
2018-12-11,23.76,23.19
2018-12-12,23.4,23.44
2018-12-13,23.21,23.22
2018-12-14,23.26,22.84
2018-12-17,22.62,22.35
2018-12-18,22.35,22.24
2018-12-19,22.35,22.0
2018-12-20,21.84,21.8
2018-12-21,21.83,21.42
2018-12-24,21.17,21.03
2018-12-26,21.09,21.56
2018-12-27,21.18,21.25
2018-12-28,21.25,21.36
2018-12-31,21.68,21.4
2019-01-02,21.19,21.32
2019-01-03,21.21,21.19
2019-01-04,21.5,21.75
2019-01-07,21.93,22.0
2019-01-08,22.07,22.13
2019-01-09,22.06,22.13
2019-01-10,22.33,22.34
2019-01-11,22.37,22.51
2019-01-14,22.56,22.27
2019-01-15,22.33,22.33
2019-01-16,22.22,22.35
2019-01-17,22.22,22.55
2019-01-18,22.75,22.79
2019-01-22,22.88,22.49
2019-01-23,22.41,22.64
2019-01-24,22.52,22.37
2019-01-25,22.34,22.43
2019-01-28,22.22,22.52
2019-01-29,22.39,22.59
2019-01-30,22.63,23.03
2019-01-31,23.1,23.41
2019-02-01,23.53,23.49
2019-02-04,23.48,23.6
2019-02-05,24.12,23.71
2019-02-06,23.69,23.64
2019-02-07,23.58,23.5
2019-02-08,23.49,23.7
2019-02-11,23.89,23.71
2019-02-12,23.94,24.21
2019-02-13,24.2,24.42
2019-02-14,24.33,24.37
2019-02-15,24.72,24.55
2019-02-19,24.47,24.63
2019-02-20,24.78,24.95
2019-02-21,24.97,24.95
2019-02-22,24.95,25.09
2019-02-25,25.32,25.07
2019-02-26,25.18,25.02
2019-02-27,25.25,25.02
2019-02-28,24.92,25.08
2019-03-01,25.1,25.24
2019-03-04,25.41,25.11
2019-03-05,25.23,25.26
2019-03-06,25.3,25.02
2019-03-07,24.86,24.87
2019-03-08,24.84,24.75
2019-03-11,25.05,25.27
2019-03-12,25.17,25.21
2019-03-13,25.23,25.31
2019-03-14,25.46,25.34
2019-03-15,25.4,25.42
2019-03-18,25.68,25.69
2019-03-19,26.02,25.55
2019-03-20,25.73,25.56
2019-03-21,25.55,25.62
2019-03-22,25.64,25.18
2019-03-25,25.31,25.17
2019-03-26,25.6,25.33
2019-03-27,25.39,25.08
2019-03-28,25.01,25.28
2019-03-29,25.6,25.48
2019-04-01,25.83,25.55
2019-04-02,25.46,25.49
2019-04-03,25.32,25.24
2019-04-04,25.23,25.23
2019-04-05,25.23,25.3
2019-04-08,25.23,25.3
2019-04-09,25.21,25.14
2019-04-10,25.2,25.27
2019-04-11,25.16,25.17
2019-04-12,25.47,25.11
2019-04-15,25.03,25.16
2019-04-16,25.3,25.06
2019-04-17,25.0,24.73
2019-04-18,24.94,24.94
2019-04-22,24.94,25.0
2019-04-23,24.95,25.17
2019-04-24,25.42,25.19
2019-04-25,25.35,25.25
2019-04-26,25.37,25.54
2019-04-29,25.94,25.6
2019-04-30,25.74,25.66
2019-05-01,25.57,25.53
2019-05-02,25.52,25.38
2019-05-03,25.5,25.79
2019-05-06,25.63,25.83
2019-05-07,25.57,25.37
2019-05-08,25.38,25.33
2019-05-09,25.14,25.22
2019-05-10,25.03,25.15
2019-05-13,24.97,24.72
2019-05-14,24.66,25.01
2019-05-15,24.7,24.95
2019-05-16,24.86,24.98
2019-05-17,25.02,25.04
2019-05-20,24.79,24.95
2019-05-21,25.04,25.04
2019-05-22,25.2,25.07
2019-05-23,25.08,24.95
2019-05-24,25.25,24.94
2019-05-28,24.64,24.49
2019-05-29,24.2,24.25
2019-05-30,24.33,24.26
2019-05-31,24.2,23.95
2019-06-03,23.91,24.05
2019-06-04,24.31,24.41
2019-06-05,24.5,24.43
2019-06-06,24.31,24.79
2019-06-07,24.86,25.05
2019-06-10,25.08,24.98
2019-06-11,25.0,25.12
2019-06-12,25.12,24.88
2019-06-13,24.88,24.95
2019-06-14,24.88,24.74
2019-06-17,24.5,24.66
2019-06-18,24.6,24.68
2019-06-19,24.51,24.69
2019-06-20,24.89,24.95
2019-06-21,25.03,24.85
2019-06-24,24.92,24.85
2019-06-25,24.77,24.73
2019-06-26,24.75,24.51
2019-06-27,24.68,24.73
2019-06-28,24.87,25.08
2019-07-01,25.23,25.19
2019-07-02,25.28,25.3
2019-07-03,25.33,25.64
2019-07-05,25.68,25.48
2019-07-08,25.35,25.6
2019-07-09,25.36,25.25
2019-07-10,25.56,25.53
2019-07-11,25.62,25.37
2019-07-12,25.35,25.42
2019-07-15,25.33,25.3
2019-07-16,25.13,25.29
2019-07-17,25.44,25.44
2019-07-18,25.36,25.79
2019-07-19,25.8,25.59
2019-07-22,25.41,25.29
2019-07-23,25.29,25.25
2019-07-24,25.06,25.29
2019-07-25,25.2,25.2
2019-07-26,25.25,25.42
2019-07-29,25.29,25.36
2019-07-30,25.15,25.24
2019-07-31,25.01,24.88
2019-08-01,24.69,24.69
2019-08-02,24.57,24.55
2019-08-05,24.49,23.77
2019-08-06,23.94,24.0
2019-08-07,23.79,24.16
2019-08-08,24.38,24.49
2019-08-09,24.45,24.48
2019-08-12,24.46,24.09
2019-08-13,24.27,24.35
2019-08-14,23.95,23.77
2019-08-15,23.77,23.8
2019-08-16,23.79,24.22
2019-08-19,24.35,24.43
2019-08-20,24.31,24.33
2019-08-21,24.52,24.47
2019-08-22,24.57,24.62
2019-08-23,24.72,23.92
2019-08-26,24.13,24.07
2019-08-27,24.38,23.75
2019-08-28,23.81,23.88
2019-08-29,24.02,24.09
2019-08-30,24.15,24.01
2019-09-03,23.88,23.85
2019-09-04,24.01,23.94
2019-09-05,24.18,24.13
2019-09-06,24.08,24.21
2019-09-09,24.23,24.19
2019-09-10,24.04,24.06
2019-09-11,24.2,24.26
2019-09-12,24.05,24.34
2019-09-13,24.28,24.16
2019-09-16,24.01,23.96
2019-09-17,23.89,23.85
2019-09-18,23.75,23.69
2019-09-19,23.65,23.5
2019-09-20,23.56,23.51
2019-09-23,23.47,23.38
2019-09-24,23.44,23.27
2019-09-25,23.56,23.5
2019-09-26,23.45,23.57
2019-09-27,23.47,23.4
2019-09-30,23.33,23.64
2019-10-01,23.54,23.45
2019-10-02,23.1,23.13
2019-10-03,23.0,23.24
2019-10-04,23.35,23.59
2019-10-07,23.48,23.54
2019-10-08,23.16,23.26
2019-10-09,23.3,23.3
2019-10-10,23.42,23.27
2019-10-11,23.58,23.55
2019-10-14,23.27,23.26
2019-10-15,23.38,23.44
2019-10-16,23.43,23.49
2019-10-17,23.59,23.62
2019-10-18,23.58,23.51
2019-10-21,23.44,23.72
2019-10-22,23.74,23.85
2019-10-23,23.83,23.81
2019-10-24,23.73,23.73
2019-10-25,23.82,23.82
2019-10-28,23.79,23.79
2019-10-29,23.78,23.89
2019-10-30,23.76,23.78
2019-10-31,23.69,23.59
2019-11-01,23.95,23.93
2019-11-04,24.0,23.98
2019-11-05,24.02,23.95
2019-11-06,24.2,23.92
2019-11-07,23.96,23.8
2019-11-08,23.92,23.95
2019-11-11,24.0,24.0
2019-11-12,24.23,24.46
2019-11-13,24.62,24.51
2019-11-14,24.54,24.37
2019-11-15,24.42,24.57
2019-11-18,24.57,24.55
2019-11-19,24.52,24.6
2019-11-20,24.65,24.69
2019-11-21,24.57,24.69
2019-11-22,24.63,24.66
2019-11-25,24.65,24.9
2019-11-26,24.81,24.81
2019-11-27,24.93,25.1
2019-11-29,25.02,25.03
2019-12-02,25.2,24.99
2019-12-03,24.77,24.82
2019-12-04,24.95,24.91
2019-12-05,24.76,24.75
2019-12-06,24.93,24.95
2019-12-09,24.89,24.8
2019-12-10,24.76,24.74
2019-12-11,24.74,24.78
2019-12-12,24.92,24.84
2019-12-13,24.83,24.91
2019-12-16,25.26,25.21
2019-12-17,25.18,25.17
2019-12-18,25.26,25.24
2019-12-19,25.33,25.32
2019-12-20,25.53,25.56
2019-12-23,25.56,25.6
2019-12-24,25.57,25.61
2019-12-26,25.68,25.7
2019-12-27,25.37,25.1
2019-12-30,25.27,25.08
2019-12-31,25.19,25.07
2020-01-02,25.13,25.14
2020-01-03,24.72,25.03
2020-01-06,25.16,25.16
2020-01-07,25.22,25.13
2020-01-08,25.11,25.33
2020-01-09,25.41,25.41
2020-01-10,25.32,25.33
2020-01-13,25.44,25.39
2020-01-14,25.43,25.42
2020-01-15,25.56,25.61
2020-01-16,25.76,25.71
2020-01-17,25.84,25.74
2020-01-21,25.72,25.58
2020-01-22,25.6,25.66
2020-01-23,25.69,25.44
2020-01-24,25.48,25.26
2020-01-27,25.05,25.0
2020-01-28,24.83,25.09
2020-01-29,25.17,25.08
2020-01-30,24.91,24.82
2020-01-31,24.64,24.47
2020-02-03,24.64,24.55
2020-02-04,24.62,24.84
2020-02-05,24.94,25.03
2020-02-06,25.18,25.08
2020-02-07,24.88,24.91
2020-02-10,24.98,25.2
2020-02-11,25.53,25.53
2020-02-12,25.64,25.68
2020-02-13,25.75,25.8
2020-02-14,25.84,25.77
2020-02-18,25.66,25.65
2020-02-19,25.65,25.84
2020-02-20,25.68,25.76
2020-02-21,25.53,25.61
2020-02-24,24.7,24.97
2020-02-25,24.63,24.23
2020-02-26,24.28,24.01
2020-02-27,23.3,23.0
2020-02-28,22.14,22.52
2020-03-02,22.55,22.83
2020-03-03,23.15,23.07
2020-03-04,23.2,23.65
2020-03-05,23.1,22.88
2020-03-06,22.11,22.65
2020-03-09,20.95,21.03
2020-03-10,21.34,21.24
2020-03-11,20.4,20.21
2020-03-12,18.48,18.48
2020-03-13,18.92,19.01
2020-03-16,17.38,17.48
2020-03-17,17.43,18.0
2020-03-18,16.89,16.46
2020-03-19,17.4,17.36
2020-03-20,17.29,16.85
2020-03-23,16.73,16.16
2020-03-24,17.2,17.5
2020-03-25,17.99,18.18
2020-03-26,18.39,19.12
2020-03-27,18.72,18.57
2020-03-30,19.03,18.96
2020-03-31,19.3,19.01
2020-04-01,18.32,18.33
2020-04-02,18.62,18.66
2020-04-03,18.57,18.47
2020-04-06,19.29,19.21
2020-04-07,19.73,19.39
2020-04-08,19.92,20.14
2020-04-09,20.41,20.52
2020-04-13,20.96,20.42
2020-04-14,20.92,20.81
2020-04-15,21.06,20.53
2020-04-16,20.69,20.72
2020-04-17,21.08,21.05
2020-04-20,20.56,20.95
2020-04-21,20.54,20.44
2020-04-22,20.97,20.91
2020-04-23,20.86,20.76
2020-04-24,20.74,20.99
2020-04-27,21.36,21.5
2020-04-28,21.53,21.68
2020-04-29,22.0,22.19
2020-04-30,22.17,21.84
2020-05-01,21.41,21.17
2020-05-04,20.99,21.23
2020-05-05,21.67,21.38
2020-05-06,21.58,21.46
2020-05-07,21.42,21.57
2020-05-08,21.88,21.92
2020-05-11,21.78,21.93
2020-05-12,22.04,21.5
2020-05-13,21.0,21.03
2020-05-14,20.84,21.09
2020-05-15,20.83,21.18
2020-05-18,21.68,21.89
2020-05-19,21.78,21.9
2020-05-20,22.15,22.16
2020-05-21,22.38,22.11
2020-05-22,21.84,22.11
2020-05-26,22.91,22.39
2020-05-27,22.46,23.02
2020-05-28,23.25,22.94
2020-05-29,22.85,23.02
2020-06-01,23.11,23.07
2020-06-02,23.01,23.08
2020-06-03,23.35,23.7
2020-06-04,23.24,23.68
2020-06-05,24.0,23.9
2020-06-08,23.98,24.23
2020-06-09,23.91,23.97
2020-06-10,23.91,23.66
2020-06-11,23.06,22.2
2020-06-12,22.47,22.59
2020-06-15,21.98,22.93
2020-06-16,23.5,23.14
2020-06-17,23.09,23.13
2020-06-18,23.14,23.09
2020-06-19,23.22,22.96
2020-06-22,22.7,22.92
2020-06-23,23.15,23.1
2020-06-24,22.62,22.46
2020-06-25,22.4,22.54
2020-06-26,22.22,22.2
