Date,Open,Close
2015-12-31,43.7,43.42
2016-01-04,42.72,42.74
2016-01-05,42.92,42.72
2016-01-06,42.14,41.6
2016-01-07,40.84,40.47
2016-01-08,40.86,40.06
2016-01-11,40.27,39.38
2016-01-12,39.96,39.44
2016-01-13,39.73,38.53
2016-01-14,38.68,39.05
2016-01-15,38.25,38.25
2016-01-19,38.6,37.78
2016-01-20,36.94,37.5
2016-01-21,37.68,37.83
2016-01-22,38.54,38.51
2016-01-25,38.14,37.28
2016-01-26,37.68,37.92
2016-01-27,37.85,37.62
2016-01-28,37.96,37.68
2016-01-29,37.99,38.77
2016-02-01,38.55,38.93
2016-02-02,38.78,38.67
2016-02-03,39.13,39.97
2016-02-04,40.13,41.08
2016-02-05,40.77,40.61
2016-02-08,40.0,39.54
2016-02-09,39.16,40.03
2016-02-10,40.2,39.65
2016-02-11,38.84,38.79
2016-02-12,39.34,39.94
2016-02-16,40.34,40.55
2016-02-17,40.88,41.35
2016-02-18,41.41,41.23
2016-02-19,41.01,40.75
2016-02-22,41.21,41.53
2016-02-23,41.2,40.51
2016-02-24,40.1,40.93
2016-02-25,41.03,41.46
2016-02-26,41.8,42.06
2016-02-29,42.14,41.8
2016-03-01,42.3,42.87
2016-03-02,42.39,42.7
2016-03-03,42.61,42.96
2016-03-04,43.01,43.46
2016-03-07,43.48,43.96
2016-03-08,43.6,43.1
2016-03-09,43.33,43.37
2016-03-10,43.48,43.6
2016-03-11,44.03,44.4
2016-03-14,44.12,44.1
2016-03-15,43.7,44.2
2016-03-16,43.5,44.57
2016-03-17,44.49,45.39
2016-03-18,45.51,45.42
2016-03-21,45.32,45.63
2016-03-22,44.75,45.11
2016-03-23,44.73,44.55
2016-03-24,44.18,44.55
2016-03-28,44.5,44.74
2016-03-29,44.43,44.99
2016-03-30,45.19,45.19
2016-03-31,45.24,44.81
2016-04-01,44.49,45.24
2016-04-04,44.95,44.65
2016-04-05,44.32,44.37
2016-04-06,44.26,44.88
2016-04-07,44.54,44.23
2016-04-08,44.47,44.52
2016-04-11,44.92,44.72
2016-04-12,44.99,45.34
2016-04-13,45.63,45.79
2016-04-14,45.99,45.82
2016-04-15,45.94,46.03
2016-04-18,45.8,46.24
2016-04-19,46.42,47.23
2016-04-20,47.29,47.09
2016-04-21,47.23,46.88
2016-04-22,47.03,47.21
2016-04-25,47.16,47.05
2016-04-26,47.09,47.43
2016-04-27,47.55,47.83
2016-04-28,47.47,47.38
2016-04-29,47.22,47.1
2016-05-02,47.29,47.27
2016-05-03,46.83,46.49
2016-05-04,46.08,46.02
2016-05-05,46.31,45.79
2016-05-06,45.69,46.16
2016-05-09,45.81,45.6
2016-05-10,45.83,46.36
2016-05-11,46.44,46.2
2016-05-12,47.04,46.4
2016-05-13,46.38,45.95
2016-05-16,46.05,46.74
2016-05-17,46.51,46.5
2016-05-18,46.24,45.79
2016-05-19,45.7,45.95
2016-05-20,46.14,46.28
2016-05-23,46.5,46.82
2016-05-24,46.97,47.13
2016-05-25,48.02,47.71
2016-05-26,47.86,47.2
2016-05-27,47.0,47.18
2016-05-31,47.4,46.94
2016-06-01,46.85,47.0
2016-06-02,46.95,47.26
2016-06-03,47.47,47.66
2016-06-06,47.87,48.15
2016-06-07,48.19,48.17
2016-06-08,48.48,48.45
2016-06-09,48.2,48.1
2016-06-10,47.8,47.74
2016-06-13,47.76,47.21
2016-06-14,47.07,46.86
2016-06-15,47.04,47.07
2016-06-16,46.87,47.23
2016-06-17,46.9,47.2
2016-06-20,47.65,47.47
2016-06-21,47.51,47.34
2016-06-22,47.38,47.39
2016-06-23,47.86,48.12
2016-06-24,46.48,46.02
2016-06-27,45.67,44.47
2016-06-28,44.83,44.85
2016-06-29,45.4,45.61
2016-06-30,45.74,46.34
2016-07-01,46.34,46.36
2016-07-05,46.12,45.52
2016-07-06,45.36,45.7
2016-07-07,45.54,45.82
2016-07-08,46.14,46.96
2016-07-11,47.12,47.19
2016-07-12,47.55,48.05
2016-07-13,48.13,48.18
2016-07-14,48.37,48.61
2016-07-15,48.78,48.78
2016-07-18,48.78,49.1
2016-07-19,48.84,48.81
2016-07-20,48.69,48.83
2016-07-21,48.86,48.53
2016-07-22,48.58,48.66
2016-07-25,48.61,48.58
2016-07-26,48.57,48.95
2016-07-27,48.99,49.01
2016-07-28,48.9,48.94
2016-07-29,48.8,48.69
2016-08-01,48.69,48.42
2016-08-02,48.38,48.29
2016-08-03,48.37,48.41
2016-08-04,48.41,48.61
2016-08-05,48.68,48.77
2016-08-08,48.82,48.87
2016-08-09,48.89,48.72
2016-08-10,48.81,48.73
2016-08-11,48.97,48.94
2016-08-12,48.94,48.42
2016-08-15,48.59,48.91
2016-08-16,48.99,48.65
2016-08-17,48.61,48.61
2016-08-18,48.63,48.92
2016-08-19,48.8,48.99
2016-08-22,48.81,48.92
2016-08-23,49.35,49.34
2016-08-24,49.27,48.77
2016-08-25,48.72,49.01
2016-08-26,49.2,48.73
2016-08-29,48.66,49.17
2016-08-30,49.15,49.05
2016-08-31,48.8,48.56
2016-09-01,48.71,48.76
2016-09-02,49.13,49.25
2016-09-06,49.3,49.14
2016-09-07,49.03,49.07
2016-09-08,48.98,48.86
2016-09-09,48.5,47.44
2016-09-12,47.16,47.89
2016-09-13,47.4,47.0
2016-09-14,47.0,46.89
2016-09-15,46.82,47.19
2016-09-16,46.63,46.76
2016-09-19,46.97,46.83
2016-09-20,47.18,46.69
2016-09-21,46.95,47.4
2016-09-22,47.74,47.55
2016-09-23,47.39,47.31
2016-09-26,47.34,47.09
2016-09-27,46.93,47.23
2016-09-28,47.34,47.77
2016-09-29,47.58,47.4
2016-09-30,47.69,47.75
2016-10-03,47.78,47.69
2016-10-04,47.76,47.04
2016-10-05,47.13,47.36
2016-10-06,47.25,47.75
2016-10-07,47.81,46.86
2016-10-10,47.14,47.14
2016-10-11,46.81,46.5
2016-10-12,46.54,46.41
2016-10-13,45.91,46.17
2016-10-14,46.37,46.32
2016-10-17,46.34,46.36
2016-10-18,46.82,46.78
2016-10-19,46.89,47.12
2016-10-20,47.06,47.08
2016-10-21,47.08,47.06
2016-10-24,47.24,47.17
2016-10-25,46.96,46.74
2016-10-26,46.68,46.67
2016-10-27,46.79,46.61
2016-10-28,46.75,46.73
2016-10-31,46.74,46.75
2016-11-01,46.85,46.48
2016-11-02,46.55,46.23
2016-11-03,46.2,46.24
2016-11-04,46.24,46.4
2016-11-07,46.94,47.11
2016-11-08,46.99,47.26
2016-11-09,47.23,48.26
2016-11-10,48.48,48.82
2016-11-11,48.75,48.15
2016-11-14,48.37,48.26
2016-11-15,48.23,48.46
2016-11-16,48.35,48.37
2016-11-17,48.52,48.39
2016-11-18,48.38,48.32
2016-11-21,48.39,48.89
2016-11-22,49.02,49.19
2016-11-23,49.1,49.41
2016-11-25,49.46,49.56
2016-11-28,49.59,49.36
2016-11-29,49.19,49.41
2016-11-30,49.67,49.94
2016-12-01,50.11,49.96
2016-12-02,49.92,49.98
2016-12-05,50.18,50.37
2016-12-06,50.37,50.43
2016-12-07,50.53,51.15
2016-12-08,51.21,51.49
2016-12-09,51.62,51.5
2016-12-12,51.57,51.27
2016-12-13,51.46,51.19
2016-12-14,51.18,50.58
2016-12-15,50.4,50.91
2016-12-16,50.79,50.42
2016-12-19,50.27,50.32
2016-12-20,50.26,50.36
2016-12-21,50.55,50.38
2016-12-22,50.33,50.17
2016-12-23,50.31,50.27
2016-12-27,50.41,50.54
2016-12-28,50.73,50.03
2016-12-29,50.01,50.03
2016-12-30,50.1,49.7
2017-01-03,49.83,49.99
2017-01-04,50.19,50.72
2017-01-05,50.66,50.57
2017-01-06,50.57,50.62
2017-01-09,50.58,50.61
2017-01-10,50.64,50.64
2017-01-11,50.55,51.05
2017-01-12,51.05,50.95
2017-01-13,50.96,50.87
2017-01-17,50.74,50.64
2017-01-18,50.78,50.96
2017-01-19,51.02,50.64
2017-01-20,50.82,51.09
2017-01-23,51.09,51.19
2017-01-24,51.38,52.51
2017-01-25,52.73,52.86
2017-01-26,52.87,53.0
2017-01-27,52.87,52.81
2017-01-30,52.62,52.27
2017-01-31,52.25,51.96
2017-02-01,51.94,52.22
2017-02-02,52.2,51.99
2017-02-03,52.07,52.08
2017-02-06,51.96,51.94
2017-02-07,51.8,51.53
2017-02-08,51.5,51.65
2017-02-09,51.65,51.63
2017-02-10,51.86,52.1
2017-02-13,52.3,52.53
2017-02-14,52.44,52.52
2017-02-15,52.38,52.45
2017-02-16,52.5,52.45
2017-02-17,52.35,52.3
2017-02-21,52.27,52.47
2017-02-22,52.26,52.61
2017-02-23,52.72,52.32
2017-02-24,52.1,52.43
2017-02-27,52.43,52.3
2017-02-28,52.26,52.25
2017-03-01,52.73,53.27
2017-03-02,53.23,52.7
2017-03-03,52.7,52.66
2017-03-06,52.47,52.32
2017-03-07,52.35,52.03
2017-03-08,52.07,52.03
2017-03-09,52.1,51.87
2017-03-10,52.15,52.11
2017-03-13,52.17,52.26
2017-03-14,52.05,51.81
2017-03-15,52.03,52.64
2017-03-16,52.76,52.28
2017-03-17,52.36,52.34
2017-03-20,52.38,52.63
2017-03-21,52.67,51.75
2017-03-22,51.71,51.9
2017-03-23,51.82,52.12
2017-03-24,52.09,51.66
2017-03-27,51.17,51.77
2017-03-28,51.84,52.37
2017-03-29,52.29,52.41
2017-03-30,52.38,52.42
2017-03-31,52.46,52.41
2017-04-03,52.43,52.21
2017-04-04,52.17,52.4
2017-04-05,52.56,52.36
2017-04-06,52.41,52.64
2017-04-07,52.49,52.59
2017-04-10,52.59,52.6
2017-04-11,52.44,52.46
2017-04-12,52.39,51.81
2017-04-13,51.71,51.31
2017-04-17,51.45,51.68
2017-04-18,51.45,51.62
2017-04-19,51.8,51.69
2017-04-20,51.92,52.26
2017-04-21,52.22,52.2
2017-04-24,52.77,52.8
2017-04-25,53.26,53.65
2017-04-26,53.57,53.64
2017-04-27,53.57,53.52
2017-04-28,53.41,53.07
2017-05-01,53.32,53.1
2017-05-02,53.12,53.19
2017-05-03,52.97,52.67
2017-05-04,52.82,52.73
2017-05-05,52.83,53.48
2017-05-08,53.36,53.05
2017-05-09,53.0,52.65
2017-05-10,52.73,52.82
2017-05-11,52.68,52.74
2017-05-12,52.7,52.61
2017-05-15,52.77,53.07
2017-05-16,53.09,53.08
2017-05-17,52.71,51.96
2017-05-18,51.76,51.99
2017-05-19,52.09,52.44
2017-05-22,52.62,52.5
2017-05-23,52.61,52.54
2017-05-24,52.65,52.89
2017-05-25,53.08,52.83
2017-05-26,52.75,52.93
2017-05-30,52.85,52.92
2017-05-31,52.99,53.08
2017-06-01,53.05,53.72
2017-06-02,53.7,53.85
2017-06-05,53.8,53.68
2017-06-06,53.53,53.71
2017-06-07,53.88,53.78
2017-06-08,53.69,53.94
2017-06-09,54.06,54.63
2017-06-12,54.56,54.42
2017-06-13,54.39,55.1
2017-06-14,55.18,54.52
2017-06-15,54.14,54.04
2017-06-16,54.04,54.02
2017-06-19,54.29,54.45
2017-06-20,54.34,54.15
2017-06-21,54.22,53.58
2017-06-22,53.58,53.64
2017-06-23,53.77,53.85
2017-06-26,54.03,54.01
2017-06-27,54.12,53.68
2017-06-28,54.07,54.17
2017-06-29,54.15,53.52
2017-06-30,53.61,53.81
2017-07-03,53.94,54.28
2017-07-05,54.34,54.1
2017-07-06,53.8,53.86
2017-07-07,53.95,54.14
2017-07-10,54.13,54.48
2017-07-11,54.48,54.4
2017-07-12,54.69,55.03
2017-07-13,55.08,54.97
2017-07-14,55.17,55.25
2017-07-17,55.28,55.36
2017-07-18,55.21,55.13
2017-07-19,55.15,55.66
2017-07-20,55.53,55.25
2017-07-21,55.09,55.26
2017-07-24,55.2,55.21
2017-07-25,55.69,55.8
2017-07-26,55.76,55.46
2017-07-27,55.52,55.26
2017-07-28,55.31,55.06
2017-07-31,55.18,54.64
2017-08-01,54.87,54.68
2017-08-02,54.52,54.73
2017-08-03,54.91,54.32
2017-08-04,54.48,54.58
2017-08-07,54.66,54.61
2017-08-08,54.5,54.18
2017-08-09,54.14,54.23
2017-08-10,54.03,53.61
2017-08-11,53.45,53.48
2017-08-14,53.76,53.98
2017-08-15,54.02,53.99
2017-08-16,54.17,54.52
2017-08-17,54.34,53.69
2017-08-18,53.5,53.71
2017-08-21,53.8,53.76
2017-08-22,53.91,54.46
2017-08-23,54.22,54.36
2017-08-24,54.35,54.26
2017-08-25,54.46,54.43
2017-08-28,54.63,54.51
2017-08-29,54.18,54.25
2017-08-30,54.21,54.65
2017-08-31,54.9,55.07
2017-09-01,55.26,55.43
2017-09-05,55.48,54.8
2017-09-06,54.85,54.94
2017-09-07,55.01,55.03
2017-09-08,54.99,55.01
2017-09-11,55.31,55.73
2017-09-12,55.98,56.2
2017-09-13,56.21,56.18
2017-09-14,56.18,56.37
2017-09-15,56.03,56.07
2017-09-18,56.18,56.38
2017-09-19,56.56,56.67
2017-09-20,56.85,56.87
2017-09-21,56.76,56.75
2017-09-22,56.65,56.55
2017-09-25,56.51,56.65
2017-09-26,56.7,56.4
2017-09-27,56.47,56.4
2017-09-28,56.35,56.8
2017-09-29,56.76,56.8
2017-10-02,56.73,57.42
2017-10-03,57.5,57.66
2017-10-04,57.72,57.68
2017-10-05,57.8,58.03
2017-10-06,57.78,57.9
2017-10-09,57.96,57.89
2017-10-10,58.11,57.93
2017-10-11,57.9,57.96
2017-10-12,57.84,58.07
2017-10-13,58.44,58.35
2017-10-16,58.61,58.31
2017-10-17,58.24,58.16
2017-10-18,58.18,58.02
2017-10-19,57.9,58.24
2017-10-20,58.46,58.74
2017-10-23,58.92,58.63
2017-10-24,58.78,58.96
2017-10-25,58.96,58.65
2017-10-26,59.15,59.43
2017-10-27,59.38,59.12
2017-10-30,59.38,58.84
2017-10-31,58.91,59.0
2017-11-01,59.3,59.29
2017-11-02,59.37,58.86
2017-11-03,58.9,58.83
2017-11-06,58.75,58.58
2017-11-07,58.67,58.64
2017-11-08,58.73,58.7
2017-11-09,58.4,58.2
2017-11-10,58.01,58.11
2017-11-13,57.89,58.41
2017-11-14,58.06,57.88
2017-11-15,57.53,57.53
2017-11-16,57.73,58.23
2017-11-17,58.08,58.31
2017-11-20,58.26,58.39
2017-11-21,58.72,58.7
2017-11-22,58.76,58.54
2017-11-24,58.67,58.84
2017-11-27,58.87,58.49
2017-11-28,58.59,59.14
2017-11-29,59.21,59.23
2017-11-30,59.36,59.56
2017-12-01,59.67,59.07
2017-12-04,59.49,59.68
2017-12-05,59.7,59.38
2017-12-06,59.27,59.03
2017-12-07,58.97,59.43
2017-12-08,59.5,59.43
2017-12-11,59.59,59.51
2017-12-12,59.63,59.52
2017-12-13,59.56,59.68
2017-12-14,59.83,59.02
2017-12-15,58.96,59.08
2017-12-18,59.47,59.95
2017-12-19,59.99,59.88
2017-12-20,60.16,59.9
2017-12-21,60.17,60.11
2017-12-22,60.21,60.34
2017-12-26,60.37,60.29
2017-12-27,60.4,60.37
2017-12-28,60.44,60.64
2017-12-29,60.87,60.53
2018-01-02,60.85,61.39
2018-01-03,61.55,61.82
2018-01-04,62.08,62.36
2018-01-05,62.63,62.86
2018-01-08,62.92,62.95
2018-01-09,63.03,62.85
2018-01-10,62.73,62.47
2018-01-11,62.72,63.29
2018-01-12,63.53,63.39
2018-01-16,63.58,62.65
2018-01-17,63.1,62.94
2018-01-18,62.75,62.9
2018-01-19,63.19,63.28
2018-01-22,63.19,63.13
2018-01-23,63.0,63.12
2018-01-24,63.28,63.39
2018-01-25,63.68,63.81
2018-01-26,63.85,64.09
2018-01-29,64.04,63.36
2018-01-30,63.09,62.9
2018-01-31,63.1,62.95
2018-02-01,62.51,62.09
2018-02-02,61.75,60.46
2018-02-05,60.21,58.15
2018-02-06,57.3,60.05
2018-02-07,59.78,59.51
2018-02-08,59.6,57.42
2018-02-09,58.05,58.42
2018-02-12,58.88,59.6
2018-02-13,59.36,59.45
2018-02-14,58.96,60.25
2018-02-15,60.68,60.7
2018-02-16,60.42,60.48
2018-02-20,60.22,60.21
2018-02-21,60.26,60.0
2018-02-22,60.26,60.4
2018-02-23,60.75,61.29
2018-02-26,61.55,61.56
2018-02-27,61.5,60.71
2018-02-28,60.88,59.63
2018-03-01,59.6,59.02
2018-03-02,58.67,58.96
2018-03-05,58.69,59.74
2018-03-06,60.01,60.4
2018-03-07,59.76,60.18
2018-03-08,60.31,60.23
2018-03-09,60.61,61.32
2018-03-12,61.39,61.17
2018-03-13,61.5,60.92
2018-03-14,61.19,60.17
2018-03-15,60.25,59.38
2018-03-16,59.04,59.15
2018-03-19,58.98,58.3
2018-03-20,58.51,58.24
2018-03-21,58.38,58.9
2018-03-22,58.43,57.14
2018-03-23,57.27,56.02
2018-03-26,56.68,57.17
2018-03-27,57.32,56.59
2018-03-28,56.69,55.87
2018-03-29,56.13,56.94
2018-04-02,56.75,55.7
2018-04-03,55.83,56.49
