Date,Open,Close
2015-12-31,43.68,43.28
2016-01-04,43.03,43.19
2016-01-05,43.17,43.5
2016-01-06,43.24,43.42
2016-01-07,42.95,43.13
2016-01-08,43.16,43.11
2016-01-11,43.14,43.34
2016-01-12,43.37,43.17
2016-01-13,43.33,43.15
2016-01-14,43.14,43.8
2016-01-15,43.36,43.41
2016-01-19,43.64,44.06
2016-01-20,43.88,43.07
2016-01-21,43.2,43.03
2016-01-22,43.29,43.8
2016-01-25,43.78,43.43
2016-01-26,43.53,43.73
2016-01-27,43.65,43.83
2016-01-28,43.77,44.53
2016-01-29,44.82,45.42
2016-02-01,45.21,45.85
2016-02-02,45.68,46.05
2016-02-03,46.21,46.62
2016-02-04,46.58,46.42
2016-02-05,46.15,46.57
2016-02-08,46.47,46.41
2016-02-09,46.25,46.57
2016-02-10,46.46,46.52
2016-02-11,46.23,45.7
2016-02-12,45.67,45.56
2016-02-16,45.79,45.85
2016-02-17,46.0,45.76
2016-02-18,45.67,46.51
2016-02-19,46.31,46.2
2016-02-22,46.45,46.74
2016-02-23,46.59,46.78
2016-02-24,46.78,47.0
2016-02-25,47.15,47.48
2016-02-26,47.21,46.17
2016-02-29,46.1,46.3
2016-03-01,46.54,46.07
2016-03-02,45.95,46.31
2016-03-03,46.38,46.59
2016-03-04,46.29,47.11
2016-03-07,47.03,47.37
2016-03-08,47.46,47.84
2016-03-09,47.74,48.06
2016-03-10,48.04,48.1
2016-03-11,48.33,48.15
2016-03-14,48.14,48.21
2016-03-15,48.16,48.3
2016-03-16,48.12,49.04
2016-03-17,48.85,49.31
2016-03-18,48.94,48.63
2016-03-21,48.48,48.58
2016-03-22,48.52,48.42
2016-03-23,48.42,48.78
2016-03-24,48.76,48.91
2016-03-28,48.99,48.73
2016-03-29,48.88,49.45
2016-03-30,49.45,49.33
2016-03-31,49.4,49.62
2016-04-01,49.42,49.81
2016-04-04,49.82,49.6
2016-04-05,49.49,48.67
2016-04-06,48.6,48.61
2016-04-07,48.54,48.59
2016-04-08,48.74,48.85
2016-04-11,48.85,48.64
2016-04-12,48.65,48.98
2016-04-13,49.12,48.68
2016-04-14,48.56,48.62
2016-04-15,48.72,48.89
2016-04-18,48.86,49.08
2016-04-19,49.13,49.16
2016-04-20,49.2,47.93
2016-04-21,47.75,46.93
2016-04-22,47.06,47.35
2016-04-25,47.15,47.44
2016-04-26,47.47,47.51
2016-04-27,47.65,48.2
2016-04-28,47.78,48.13
2016-04-29,47.93,48.42
2016-05-02,48.45,48.81
2016-05-03,48.77,48.77
2016-05-04,48.79,49.34
2016-05-05,49.2,49.15
2016-05-06,48.91,48.83
2016-05-09,48.86,49.11
2016-05-10,49.16,49.16
2016-05-11,49.17,49.34
2016-05-12,49.26,49.63
2016-05-13,49.5,49.39
2016-05-16,49.22,49.45
2016-05-17,49.29,48.61
2016-05-18,48.33,47.7
2016-05-19,47.52,48.18
2016-05-20,48.29,48.29
2016-05-23,48.28,47.86
2016-05-24,47.94,48.34
2016-05-25,48.08,48.2
2016-05-26,48.14,48.75
2016-05-27,48.74,48.83
2016-05-31,48.75,49.15
2016-06-01,49.14,49.28
2016-06-02,49.24,49.3
2016-06-03,49.95,50.08
2016-06-06,50.1,50.01
2016-06-07,50.05,49.97
2016-06-08,49.96,50.27
2016-06-09,50.3,50.7
2016-06-10,50.65,50.57
2016-06-13,50.65,50.51
2016-06-14,50.53,50.78
2016-06-15,50.76,50.46
2016-06-16,50.4,50.78
2016-06-17,50.32,50.55
2016-06-20,50.47,50.36
2016-06-21,50.39,50.43
2016-06-22,50.43,50.19
2016-06-23,50.1,50.33
2016-06-24,50.22,50.41
