USO OIL
CRAK REFINERY
UNL NATgas
GLD GOLD
DBB BASEmetal
CORN CORN
SOYB SOYB
SLX SILVER
REMX RAREearth
JJMTF INDUmetal
CPER COPPER
PICK METALminning
JO coffee
SGG SUGAR
NIB COCOA
XLK TECH
XLY DISCRETIONARY
XLB MATERIAL
XLC COMMserv
XLI INDUS
XLF FINserv
XLU UTILITIES
XLRE REALestate
XLE ENERGY
TAN SOLAR
PBD CLEANenergy
FAN WIND
IBUY ONLINEretail
XHB HOMEbuilder
VICE VICE
BJK GAMING
PXE OILexplore
PXJ OILequipServ
CARZ AUTOmanuf
IDRV AUTOvehicle
IYT TRANSPORT
PPA AEROSPACE
GII GLBinfra
BLOK BLOCKCHAIN
ESPO ESPORTS
PSI SEMICON
PSJ SOFTWARE
PNQI INERNET
ROBO ROBOTICS
SKYY CLOUD
AIQ BIGdata
CIBR CYBERsecurity
PXQ NETWORKING
NXTG SMARTphones
SOCL SOCIALmedia
