Date,Open,Close
2018-05-16,15.04,15.04
2018-05-17,15.02,15.1
2018-05-18,15.03,14.98
2018-05-21,15.1,15.02
2018-05-22,15.11,14.95
2018-05-23,14.87,15.02
2018-05-24,15.08,15.06
2018-05-25,15.03,15.03
2018-05-29,14.96,14.87
2018-05-30,14.98,15.05
2018-05-31,15.08,15.01
2018-06-01,15.1,15.24
2018-06-04,15.4,15.44
2018-06-05,15.49,15.56
2018-06-06,15.62,15.66
2018-06-07,15.73,15.51
2018-06-08,15.47,15.55
2018-06-11,15.61,15.63
2018-06-12,15.67,15.64
2018-06-13,15.74,15.68
2018-06-14,15.8,15.8
2018-06-15,15.8,15.75
2018-06-18,15.74,15.75
2018-06-19,15.6,15.64
2018-06-20,15.73,15.68
2018-06-21,15.73,15.49
2018-06-22,15.61,15.41
2018-06-25,15.33,14.97
2018-06-26,15.09,15.06
2018-06-27,15.14,14.71
2018-06-28,14.7,14.94
2018-06-29,15.01,14.98
2018-07-02,14.76,15.0
2018-07-03,15.07,15.05
2018-07-05,15.08,15.2
2018-07-06,15.2,15.41
2018-07-09,15.47,15.54
2018-07-10,15.66,15.59
2018-07-11,15.47,15.48
2018-07-12,15.55,15.78
2018-07-13,15.73,15.79
2018-07-16,15.84,15.75
2018-07-17,15.56,15.77
2018-07-18,15.8,15.79
2018-07-19,15.76,15.68
2018-07-20,15.65,15.64
2018-07-23,15.64,15.64
2018-07-24,15.73,15.56
2018-07-25,15.66,15.8
2018-07-26,15.69,15.66
2018-07-27,15.68,15.35
2018-07-30,15.25,15.02
2018-07-31,15.02,15.04
2018-08-01,15.04,15.03
2018-08-02,14.96,15.14
2018-08-03,15.12,15.17
2018-08-06,15.17,15.2
2018-08-07,15.27,15.34
2018-08-08,15.34,15.33
2018-08-09,15.3,15.38
2018-08-10,15.32,15.28
2018-08-13,15.36,15.25
2018-08-14,15.2,15.29
2018-08-15,15.16,15.08
2018-08-16,15.27,15.15
2018-08-17,15.25,15.2
2018-08-20,15.15,15.26
2018-08-21,15.39,15.35
2018-08-22,15.34,15.34
2018-08-23,15.37,15.43
2018-08-24,15.64,15.67
2018-08-27,15.77,15.82
2018-08-28,15.85,15.87
2018-08-29,15.92,16.04
2018-08-30,16.04,15.88
2018-08-31,15.84,15.83
2018-09-04,15.84,15.86
2018-09-05,15.9,15.6
2018-09-06,15.6,15.41
2018-09-07,15.45,15.49
2018-09-10,15.5,15.56
2018-09-11,15.55,15.63
2018-09-12,15.64,15.7
2018-09-13,15.81,15.8
2018-09-14,15.9,15.89
2018-09-17,15.91,15.61
2018-09-18,15.74,15.74
2018-09-19,15.62,15.67
2018-09-20,15.75,15.81
2018-09-21,15.97,15.81
2018-09-24,15.73,15.78
2018-09-25,15.87,15.85
2018-09-26,15.93,15.9
2018-09-27,15.92,15.9
2018-09-28,15.82,15.83
