Date,Open,Close
2018-01-25,21.2,20.9
2018-01-26,20.98,21.17
2018-01-29,21.31,21.31
2018-01-30,21.23,20.96
2018-01-31,20.99,20.89
2018-02-01,20.7,20.61
2018-02-02,20.35,19.85
2018-02-05,19.49,18.72
2018-02-06,18.25,19.06
2018-02-07,19.12,19.01
2018-02-08,19.15,18.32
2018-02-09,18.6,18.67
2018-02-12,18.81,18.9
2018-02-13,18.83,18.99
2018-02-14,18.89,19.38
2018-02-15,19.69,19.96
2018-02-16,19.99,19.92
2018-02-20,19.92,20.04
2018-02-21,20.06,19.78
2018-02-22,19.82,19.7
2018-02-23,19.83,20.0
2018-02-26,20.15,20.25
2018-02-27,20.24,19.97
2018-02-28,20.07,19.86
2018-03-01,19.81,19.46
2018-03-02,19.27,19.64
2018-03-05,19.52,19.95
2018-03-06,20.18,20.1
2018-03-07,19.95,20.24
2018-03-08,20.33,20.31
2018-03-09,20.36,20.5
2018-03-12,20.6,20.65
2018-03-13,20.78,20.42
2018-03-14,20.5,20.37
2018-03-15,20.4,20.34
2018-03-16,20.3,20.34
2018-03-19,20.18,20.05
2018-03-20,20.08,20.16
2018-03-21,20.16,20.17
2018-03-22,19.96,19.6
2018-03-23,19.6,19.18
2018-03-26,19.52,19.65
2018-03-27,19.75,19.03
2018-03-28,19.1,18.86
2018-03-29,18.95,19.13
2018-04-02,19.07,18.63
2018-04-03,18.75,18.7
2018-04-04,18.41,18.95
2018-04-05,18.97,18.94
2018-04-06,18.75,18.63
2018-04-09,18.75,18.7
2018-04-10,18.99,19.06
2018-04-11,18.88,18.9
2018-04-12,19.0,19.31
2018-04-13,19.43,19.14
2018-04-16,19.26,19.19
2018-04-17,19.29,19.41
2018-04-18,19.42,19.42
2018-04-19,19.24,19.17
2018-04-20,19.21,19.17
2018-04-23,19.29,19.19
2018-04-24,19.28,18.98
2018-04-25,18.95,18.8
2018-04-26,18.96,19.1
2018-04-27,19.34,19.22
2018-04-30,19.27,19.14
2018-05-01,19.15,19.3
2018-05-02,19.23,19.12
2018-05-03,19.05,19.23
2018-05-04,19.16,19.38
2018-05-07,19.45,19.52
2018-05-08,19.49,19.62
2018-05-09,19.62,19.7
2018-05-10,19.78,19.9
2018-05-11,19.98,20.03
2018-05-14,20.19,20.16
2018-05-15,20.05,19.98
2018-05-16,20.12,20.23
2018-05-17,20.22,20.16
2018-05-18,20.06,20.1
2018-05-21,20.28,20.24
2018-05-22,20.29,20.21
2018-05-23,20.09,20.22
2018-05-24,20.29,20.28
2018-05-25,20.25,20.23
2018-05-29,19.92,19.89
2018-05-30,20.03,20.09
2018-05-31,20.14,20.14
2018-06-01,20.27,20.39
2018-06-04,20.54,20.66
2018-06-05,20.57,20.56
2018-06-06,20.49,20.63
2018-06-07,20.76,20.56
2018-06-08,20.56,20.72
2018-06-11,20.65,20.65
2018-06-12,20.65,20.76
2018-06-13,20.74,20.7
2018-06-14,20.8,20.81
2018-06-15,20.78,20.77
2018-06-18,20.71,20.82
2018-06-19,20.41,20.43
2018-06-20,20.46,20.47
2018-06-21,20.46,20.19
2018-06-22,20.16,19.96
2018-06-25,19.78,19.47
2018-06-26,19.42,19.38
2018-06-27,19.38,19.01
2018-06-28,19.0,19.25
2018-06-29,19.39,19.38
2018-07-02,19.07,19.35
2018-07-03,19.51,19.45
2018-07-05,19.41,19.49
2018-07-06,19.52,19.76
2018-07-09,19.98,20.11
2018-07-10,20.18,20.09
2018-07-11,19.84,19.82
2018-07-12,19.92,20.03
2018-07-13,20.03,20.06
2018-07-16,20.02,20.08
2018-07-17,20.02,20.49
2018-07-18,20.47,20.44
2018-07-19,20.4,20.36
2018-07-20,20.42,20.36
2018-07-23,20.34,20.4
2018-07-24,20.57,20.49
2018-07-25,20.52,20.7
2018-07-26,20.74,20.77
2018-07-27,20.84,20.57
2018-07-30,20.54,20.15
2018-07-31,20.19,20.01
2018-08-01,19.97,19.96
2018-08-02,19.8,20.06
2018-08-03,19.8,20.07
2018-08-06,20.03,20.09
2018-08-07,20.23,20.21
2018-08-08,20.18,20.18
2018-08-09,20.12,20.12
2018-08-10,19.98,19.89
2018-08-13,19.86,19.61
2018-08-14,19.64,19.59
2018-08-15,19.43,19.3
2018-08-16,19.33,19.24
2018-08-17,19.23,19.29
2018-08-20,19.25,19.35
2018-08-21,19.4,19.47
2018-08-22,19.46,19.6
2018-08-23,19.63,19.6
2018-08-24,19.71,19.84
2018-08-27,20.03,20.16
2018-08-28,20.18,20.24
2018-08-29,20.26,20.42
2018-08-30,20.37,20.24
2018-08-31,20.24,20.39
2018-09-04,20.34,20.5
2018-09-05,20.4,20.08
2018-09-06,19.9,19.81
2018-09-07,19.7,19.82
2018-09-10,19.89,19.82
2018-09-11,19.67,19.85
2018-09-12,19.82,19.92
2018-09-13,20.05,19.97
2018-09-14,20.05,20.13
2018-09-17,20.06,19.88
2018-09-18,19.86,19.96
2018-09-19,19.98,20.08
