Date,Open,Close
2015-12-31,36.48,36.22
2016-01-04,35.56,35.23
2016-01-05,34.96,35.02
2016-01-06,34.09,33.83
2016-01-07,32.95,32.95
2016-01-08,33.13,32.75
2016-01-11,32.87,32.72
2016-01-12,33.31,33.18
2016-01-13,33.38,32.61
2016-01-14,32.59,32.56
2016-01-15,31.8,31.69
2016-01-19,31.72,32.02
2016-01-20,31.2,31.08
2016-01-21,30.92,31.15
2016-01-22,32.11,31.96
2016-01-25,31.63,31.4
2016-01-26,31.56,31.82
2016-01-27,31.81,31.65
2016-01-28,32.03,31.91
2016-01-29,31.57,32.13
2016-02-01,31.73,32.13
2016-02-02,31.56,31.22
2016-02-03,31.15,30.75
2016-02-04,30.43,30.68
2016-02-05,30.24,30.09
2016-02-08,29.57,29.46
2016-02-09,28.98,29.08
2016-02-10,29.57,29.22
2016-02-11,28.48,28.62
2016-02-12,28.62,28.62
2016-02-16,29.49,29.84
2016-02-17,30.54,30.65
2016-02-18,31.15,30.75
2016-02-19,30.09,30.28
2016-02-22,30.74,30.77
2016-02-23,30.69,30.25
2016-02-24,29.85,30.11
2016-02-25,29.84,30.1
2016-02-26,30.11,30.32
2016-02-29,30.62,30.68
2016-03-01,31.06,31.24
2016-03-02,31.35,31.66
2016-03-03,31.85,32.19
2016-03-04,32.57,32.83
2016-03-07,32.54,32.75
2016-03-08,32.37,32.0
2016-03-09,32.0,32.0
2016-03-10,32.31,31.83
2016-03-11,32.5,32.83
2016-03-14,32.92,32.85
2016-03-15,32.55,32.44
2016-03-16,32.56,32.96
2016-03-17,33.0,33.13
2016-03-18,33.3,33.22
2016-03-21,33.41,33.42
2016-03-22,33.39,33.46
2016-03-23,33.43,33.09
2016-03-24,32.51,32.52
2016-03-28,32.84,32.98
2016-03-29,32.83,33.35
2016-03-30,33.53,33.53
2016-03-31,33.43,33.53
2016-04-01,32.85,32.64
2016-04-04,32.38,32.17
2016-04-05,31.45,31.31
2016-04-06,31.46,31.56
2016-04-07,31.45,31.05
2016-04-08,31.67,31.59
2016-04-11,31.91,31.77
2016-04-12,31.97,32.23
2016-04-13,32.72,33.12
2016-04-14,33.24,33.12
2016-04-15,33.03,32.7
2016-04-18,32.88,33.18
2016-04-19,33.71,33.9
2016-04-20,33.93,34.0
2016-04-21,34.12,34.02
2016-04-22,33.74,33.9
2016-04-25,33.85,33.75
2016-04-26,33.72,33.92
2016-04-27,33.76,33.89
2016-04-28,33.43,33.24
2016-04-29,32.96,32.69
2016-05-02,32.88,32.97
2016-05-03,32.66,32.32
2016-05-04,32.07,31.77
2016-05-05,31.7,31.61
2016-05-06,31.68,31.97
2016-05-09,32.11,31.92
2016-05-10,32.37,32.71
2016-05-11,32.5,32.29
2016-05-12,32.51,32.31
2016-05-13,32.04,31.82
2016-05-16,32.05,32.04
2016-05-17,31.76,31.82
2016-05-18,31.5,31.47
2016-05-19,31.37,31.44
2016-05-20,31.53,31.64
2016-05-23,31.54,31.57
2016-05-24,31.68,32.08
2016-05-25,32.35,32.45
2016-05-26,32.68,32.72
2016-05-27,32.53,32.48
2016-05-31,33.01,32.99
2016-06-01,32.67,32.59
2016-06-02,32.53,32.58
2016-06-03,32.26,32.52
2016-06-06,32.58,32.78
2016-06-07,32.87,33.05
2016-06-08,32.92,32.94
2016-06-09,32.57,32.43
2016-06-10,32.02,31.75
2016-06-13,31.39,31.26
2016-06-14,31.13,30.91
2016-06-15,31.23,31.41
2016-06-16,30.91,31.2
2016-06-17,31.41,31.6
2016-06-20,32.0,32.38
2016-06-21,32.41,32.3
2016-06-22,31.92,31.75
2016-06-23,32.26,32.51
2016-06-24,30.26,30.31
2016-06-27,29.31,29.18
2016-06-28,29.69,29.4
2016-06-29,29.8,29.96
2016-06-30,29.76,29.78
2016-07-01,29.97,30.36
2016-07-05,29.79,29.47
2016-07-06,29.16,29.14
2016-07-07,29.44,29.49
2016-07-08,30.15,30.21
2016-07-11,30.68,30.94
2016-07-12,31.53,31.67
2016-07-13,31.79,31.7
2016-07-14,31.88,31.94
2016-07-15,32.0,32.08
2016-07-18,32.23,32.22
2016-07-19,31.89,31.93
2016-07-20,32.22,32.29
2016-07-21,32.55,32.37
2016-07-22,32.27,32.42
2016-07-25,32.59,32.55
2016-07-26,32.73,32.88
2016-07-27,33.22,33.21
2016-07-28,33.11,32.71
2016-07-29,32.87,33.13
2016-08-01,33.15,32.89
2016-08-02,32.61,32.26
2016-08-03,32.1,32.12
2016-08-04,32.6,32.63
2016-08-05,32.9,33.11
2016-08-08,33.36,33.36
2016-08-09,33.49,33.65
2016-08-10,33.76,33.58
2016-08-11,33.74,33.81
2016-08-12,33.75,33.59
2016-08-15,33.93,33.89
2016-08-16,33.71,33.6
2016-08-17,33.76,33.76
2016-08-18,33.73,33.52
2016-08-19,33.62,33.59
2016-08-22,33.59,33.51
2016-08-23,33.74,33.53
2016-08-24,33.7,33.71
2016-08-25,33.44,33.43
2016-08-26,33.61,33.22
2016-08-29,33.56,33.55
2016-08-30,33.89,33.73
2016-08-31,33.71,33.74
2016-09-01,33.98,33.87
2016-09-02,34.17,34.15
2016-09-06,34.41,34.46
