Date,Open,Close
2015-12-31,17.86,17.76
2016-01-04,17.5,17.49
2016-01-05,17.58,17.43
2016-01-06,17.22,17.09
2016-01-07,16.88,16.67
2016-01-08,16.73,16.4
2016-01-11,16.44,16.34
2016-01-12,16.55,16.47
2016-01-13,16.64,16.24
2016-01-14,16.2,16.41
2016-01-15,15.96,15.98
2016-01-19,15.97,15.79
2016-01-20,15.51,15.63
2016-01-21,15.75,15.67
2016-01-22,15.98,16.09
2016-01-25,15.93,15.68
2016-01-26,15.72,15.82
2016-01-27,15.79,15.48
2016-01-28,15.54,15.26
2016-01-29,15.38,15.73
2016-02-01,15.64,15.78
2016-02-02,15.71,15.41
2016-02-03,15.56,15.45
2016-02-04,15.41,15.49
2016-02-05,15.25,14.79
2016-02-08,14.56,14.22
2016-02-09,14.07,14.02
2016-02-10,14.14,14.15
2016-02-11,13.97,14.18
2016-02-12,14.14,14.23
2016-02-16,14.39,14.66
2016-02-17,14.67,15.03
2016-02-18,15.06,14.88
2016-02-19,14.75,15.04
2016-02-22,15.13,15.32
2016-02-23,15.3,15.18
2016-02-24,15.05,15.32
2016-02-25,15.29,15.57
2016-02-26,15.74,15.76
2016-02-29,15.81,15.75
2016-03-01,15.9,16.12
2016-03-02,16.13,16.14
2016-03-03,16.13,16.29
2016-03-04,16.38,16.45
2016-03-07,16.39,16.57
2016-03-08,16.51,16.31
2016-03-09,16.39,16.43
2016-03-10,16.52,16.31
2016-03-11,16.5,16.67
2016-03-14,16.62,16.62
2016-03-15,16.49,16.37
2016-03-16,16.26,16.57
2016-03-17,16.64,16.75
2016-03-18,16.79,16.88
2016-03-21,17.28,16.87
2016-03-22,16.82,16.95
2016-03-23,16.83,16.52
2016-03-24,16.39,16.44
2016-03-28,16.48,16.46
2016-03-29,16.53,16.75
2016-03-30,16.89,16.9
2016-03-31,16.86,16.95
2016-04-01,16.85,16.96
2016-04-04,17.04,17.01
2016-04-05,16.82,16.62
2016-04-06,16.65,16.92
2016-04-07,16.79,16.57
2016-04-08,16.74,16.58
2016-04-11,16.72,16.43
2016-04-12,16.36,16.2
2016-04-13,16.28,16.65
2016-04-14,16.58,16.62
2016-04-15,16.6,16.54
2016-04-18,16.5,16.69
2016-04-19,16.73,16.61
2016-04-20,16.56,16.69
2016-04-21,16.73,16.72
2016-04-22,16.73,16.84
2016-04-25,16.82,16.86
2016-04-26,16.91,16.96
2016-04-27,17.06,17.25
2016-04-28,17.11,16.94
2016-04-29,16.91,16.8
2016-05-02,16.82,16.91
2016-05-03,16.72,16.62
2016-05-04,16.56,16.4
2016-05-05,16.5,16.37
2016-05-06,16.07,16.1
2016-05-09,16.11,16.11
2016-05-10,16.18,16.35
2016-05-11,16.35,16.27
2016-05-12,16.38,16.14
2016-05-13,16.17,16.11
2016-05-16,16.18,16.38
2016-05-17,16.26,16.2
2016-05-18,16.2,16.36
2016-05-19,16.31,16.37
2016-05-20,16.47,16.65
2016-05-23,16.59,16.64
2016-05-24,16.83,17.06
2016-05-25,17.2,17.34
2016-05-26,17.35,17.33
2016-05-27,17.18,17.25
2016-05-31,17.21,17.41
2016-06-01,17.34,17.45
2016-06-02,17.41,17.72
2016-06-03,17.62,17.64
2016-06-06,17.6,17.67
2016-06-07,17.74,17.79
2016-06-08,17.77,17.89
2016-06-09,17.69,17.7
2016-06-10,17.57,17.39
2016-06-13,17.3,17.33
2016-06-14,17.35,17.29
2016-06-15,17.43,17.36
2016-06-16,17.25,17.37
