Date,Open,Close
2015-12-31,21.2,21.22
2016-01-04,21.15,20.88
2016-01-05,20.96,20.91
2016-01-06,20.83,20.87
2016-01-07,20.75,20.92
2016-01-08,20.95,21.14
2016-01-11,20.94,20.83
2016-01-12,20.8,21.03
2016-01-13,21.12,21.15
2016-01-14,21.1,21.08
2016-01-15,21.01,21.3
2016-01-19,21.51,21.62
2016-01-20,21.51,21.65
2016-01-21,21.7,21.5
2016-01-22,21.71,21.66
2016-01-25,21.64,21.68
2016-01-26,21.71,21.62
2016-01-27,21.62,21.62
2016-01-28,21.61,21.42
2016-01-29,21.45,21.72
2016-02-01,21.55,21.69
2016-02-02,21.66,21.78
2016-02-03,21.84,21.73
2016-02-04,21.89,21.64
2016-02-05,21.62,21.44
2016-02-08,21.4,21.24
2016-02-09,21.2,21.19
2016-02-10,21.07,21.14
2016-02-11,21.06,21.14
2016-02-12,21.13,21.03
2016-02-16,21.05,21.2
2016-02-17,21.25,21.45
2016-02-18,21.4,21.33
2016-02-19,21.3,21.34
2016-02-22,21.43,21.48
2016-02-23,21.39,21.17
2016-02-24,21.11,21.06
2016-02-25,21.15,20.88
2016-02-26,20.86,20.83
2016-02-29,20.87,20.63
2016-03-01,20.63,20.57
2016-03-02,20.55,20.54
2016-03-03,20.66,20.6
2016-03-04,20.8,20.78
2016-03-07,20.82,20.8
2016-03-08,20.71,20.85
2016-03-09,20.82,20.76
2016-03-10,20.72,20.92
2016-03-11,20.95,21.02
2016-03-14,21.14,21.25
2016-03-15,21.09,21.26
2016-03-16,21.15,21.24
2016-03-17,21.35,21.22
2016-03-18,21.19,21.15
2016-03-21,21.14,21.29
2016-03-22,21.34,21.3
2016-03-23,21.12,21.2
2016-03-24,21.17,21.26
2016-03-28,21.17,21.32
2016-03-29,21.21,21.42
2016-03-30,21.38,21.1
2016-03-31,21.0,20.12
2016-04-01,20.0,20.25
2016-04-04,20.18,20.21
2016-04-05,20.26,20.35
2016-04-06,20.33,20.37
2016-04-07,20.44,20.57
2016-04-08,20.57,20.59
2016-04-11,20.42,20.29
2016-04-12,20.55,20.58
2016-04-13,20.77,21.2
2016-04-14,21.13,21.2
2016-04-15,21.16,21.36
2016-04-18,21.34,21.58
2016-04-19,21.5,21.87
2016-04-20,21.88,22.38
2016-04-21,22.48,21.7
2016-04-22,21.56,20.99
2016-04-25,21.04,21.48
2016-04-26,21.52,21.74
2016-04-27,21.66,21.53
2016-04-28,21.51,21.84
2016-04-29,21.98,21.94
2016-05-02,21.9,21.93
2016-05-03,21.84,21.25
