Date,Open,Close
2015-12-31,14.19,14.27
2016-01-04,14.5,13.86
2016-01-05,13.86,13.86
2016-01-06,13.84,13.91
2016-01-07,13.33,13.45
2016-01-08,13.4,13.44
2016-01-11,13.38,13.17
2016-01-12,13.1,13.06
2016-01-13,13.02,12.99
2016-01-14,13.17,13.13
2016-01-15,12.97,12.97
2016-01-19,14.58,14.39
2016-01-20,13.24,13.24
2016-01-21,13.25,13.21
2016-01-22,13.33,13.35
2016-01-25,13.82,13.28
2016-01-26,13.47,13.47
2016-01-27,13.72,13.62
2016-01-28,13.62,13.62
2016-01-29,13.62,13.62
2016-02-01,13.61,13.72
2016-02-02,13.66,13.56
2016-02-03,13.56,13.56
2016-02-04,14.11,14.09
2016-02-05,13.86,13.85
2016-02-08,14.2,13.89
2016-02-09,13.41,13.51
2016-02-10,13.22,13.22
2016-02-11,13.39,13.38
2016-02-12,13.8,13.49
2016-02-16,13.49,13.49
2016-02-17,13.3,13.83
2016-02-18,13.82,13.82
2016-02-19,13.79,13.79
2016-02-22,14.04,14.14
2016-02-23,14.02,14.06
2016-02-24,13.83,14.12
2016-02-25,13.97,13.84
2016-02-26,14.3,14.1
2016-02-29,14.38,14.09
2016-03-01,14.29,14.29
2016-03-02,14.45,14.46
2016-03-03,14.58,14.68
2016-03-04,14.88,14.99
2016-03-07,15.14,15.15
2016-03-08,14.92,14.78
2016-03-09,14.9,14.91
2016-03-10,14.83,14.73
2016-03-11,14.95,14.91
2016-03-14,15.47,14.94
2016-03-15,14.9,14.92
2016-03-16,15.09,15.09
2016-03-17,15.24,15.3
2016-03-18,15.38,15.33
2016-03-21,15.25,15.29
2016-03-22,15.17,15.25
2016-03-23,14.93,14.85
2016-03-24,14.8,14.8
2016-03-28,14.89,14.89
2016-03-29,14.73,14.7
2016-03-30,14.63,14.53
2016-03-31,14.53,14.53
2016-04-01,14.46,14.41
2016-04-04,14.37,14.37
2016-04-05,14.28,14.28
2016-04-06,14.21,14.21
2016-04-07,14.05,13.79
2016-04-08,13.87,13.87
2016-04-11,13.75,13.91
2016-04-12,13.95,14.31
2016-04-13,14.41,14.49
2016-04-14,14.54,14.53
2016-04-15,14.34,14.39
2016-04-18,14.59,14.49
2016-04-19,14.61,14.83
2016-04-20,14.71,14.81
2016-04-21,15.02,14.99
2016-04-22,15.12,15.01
2016-04-25,15.05,14.89
2016-04-26,14.89,14.89
2016-04-27,14.75,14.75
2016-04-28,14.8,14.79
2016-04-29,15.05,15.06
2016-05-02,15.07,15.04
2016-05-03,14.72,14.73
2016-05-04,14.46,14.51
2016-05-05,14.25,14.25
2016-05-06,14.15,14.22
2016-05-09,14.22,14.22
2016-05-10,13.88,13.87
2016-05-11,13.87,13.87
2016-05-12,14.04,13.81
2016-05-13,13.75,13.9
2016-05-16,13.9,13.87
2016-05-17,13.76,13.75
2016-05-18,13.74,13.77
2016-05-19,13.66,13.7
2016-05-20,13.7,13.61
2016-05-23,13.57,13.56
2016-05-24,13.71,13.71
2016-05-25,13.79,13.94
2016-05-26,14.04,13.99
2016-05-27,14.03,13.96
2016-05-31,13.91,13.92
2016-06-01,13.68,13.75
2016-06-02,13.74,13.76
2016-06-03,13.97,13.99
2016-06-06,14.18,14.04
2016-06-07,13.7,13.64
2016-06-08,13.72,13.64
2016-06-09,13.46,13.48
2016-06-10,13.48,13.48
2016-06-13,13.48,13.48
2016-06-14,13.48,13.48
2016-06-15,13.91,13.87
2016-06-16,13.87,13.87
2016-06-17,13.65,13.65
2016-06-20,13.82,13.82
2016-06-21,14.03,13.98
2016-06-22,14.19,14.12
2016-06-23,14.18,14.25
2016-06-24,14.01,13.91
2016-06-27,13.92,13.99
2016-06-28,13.9,14.4
2016-06-29,14.31,14.41
2016-06-30,14.38,14.5
2016-07-01,14.5,14.74
2016-07-05,14.59,14.37
2016-07-06,14.16,14.19
2016-07-07,14.0,13.94
2016-07-08,13.94,13.94
2016-07-11,14.1,14.2
2016-07-12,14.48,14.62
2016-07-13,14.84,14.8
2016-07-14,14.75,14.71
2016-07-15,14.88,15.03
2016-07-18,14.81,14.81
2016-07-19,14.93,14.92
2016-07-20,14.84,14.86
2016-07-21,14.87,14.87
2016-07-22,14.99,14.62
2016-07-25,14.63,14.71
2016-07-26,14.58,14.7
2016-07-27,14.55,14.5
2016-07-28,14.67,14.59
2016-07-29,14.64,14.61
2016-08-01,14.89,14.58
2016-08-02,14.68,14.49
2016-08-03,14.38,14.55
2016-08-04,14.55,14.55
2016-08-05,14.23,14.22
2016-08-08,14.22,14.22
2016-08-09,14.31,14.21
2016-08-10,14.75,14.4
2016-08-11,14.42,14.41
2016-08-12,14.2,14.04
2016-08-15,14.05,14.19
2016-08-16,14.16,14.32
2016-08-17,14.32,14.32
2016-08-18,14.32,14.32
2016-08-19,14.34,14.4
2016-08-22,13.01,14.09
2016-08-23,13.92,13.88
2016-08-24,13.74,13.76
2016-08-25,13.76,13.76
2016-08-26,13.64,13.65
2016-08-29,13.7,13.64
2016-08-30,13.63,13.63
2016-08-31,13.74,13.7
2016-09-01,13.7,13.7
2016-09-02,13.7,13.7
2016-09-06,13.62,13.91
2016-09-07,13.85,13.85
2016-09-08,13.78,13.79
2016-09-09,13.79,13.63
2016-09-12,13.62,13.81
2016-09-13,13.69,13.78
2016-09-14,13.78,13.78
2016-09-15,13.82,14.14
2016-09-16,14.17,14.2
2016-09-19,14.17,14.17
2016-09-20,14.17,14.17
2016-09-21,14.16,14.15
2016-09-22,14.3,14.39
2016-09-23,13.94,14.49
2016-09-26,14.49,14.37
2016-09-27,14.37,14.37
2016-09-28,14.3,14.3
2016-09-29,14.35,14.35
2016-09-30,14.5,14.5
2016-10-03,14.85,14.39
2016-10-04,14.22,14.22
2016-10-05,14.22,14.23
2016-10-06,14.18,14.18
2016-10-07,14.2,14.28
2016-10-10,14.28,14.38
2016-10-11,14.38,14.38
2016-10-12,14.38,14.38
2016-10-13,14.04,13.99
2016-10-14,13.84,13.86
2016-10-17,13.82,13.84
2016-10-18,13.84,13.84
2016-10-19,13.76,13.78
2016-10-20,13.75,13.79
2016-10-21,13.79,13.79
2016-10-24,13.83,13.7
2016-10-25,14.06,14.07
2016-10-26,14.07,14.08
2016-10-27,14.2,14.2
2016-10-28,14.36,14.38
2016-10-31,14.41,14.45
2016-11-01,14.56,14.59
2016-11-02,14.49,14.54
2016-11-03,14.7,14.67
2016-11-04,14.9,14.85
2016-11-07,14.97,15.16
2016-11-08,15.3,15.63
2016-11-09,16.17,16.1
2016-11-10,16.71,16.7
2016-11-11,17.39,16.55
2016-11-14,16.88,16.45
2016-11-15,16.08,16.39
2016-11-16,16.34,16.16
2016-11-17,16.35,16.37
2016-11-18,16.07,16.33
2016-11-21,16.5,16.58
2016-11-22,16.41,16.76
2016-11-23,16.73,17.2
2016-11-25,17.3,17.61
2016-11-28,19.0,17.41
2016-11-29,17.21,17.11
2016-11-30,17.26,16.89
2016-12-01,17.73,17.3
2016-12-02,17.13,17.17
2016-12-05,17.6,17.52
2016-12-06,17.33,17.53
2016-12-07,17.31,17.3
2016-12-08,17.23,17.08
2016-12-09,17.21,17.3
2016-12-12,17.05,17.05
2016-12-13,17.0,17.01
2016-12-14,16.72,16.99
2016-12-15,16.84,16.84
2016-12-16,16.75,16.59
