Date,Open,Close
2015-12-31,11.84,11.88
2016-01-04,11.66,11.59
2016-01-05,11.65,11.61
2016-01-06,11.48,11.51
2016-01-07,11.16,11.27
2016-01-08,11.39,11.34
2016-01-11,11.22,11.11
2016-01-12,11.11,11.0
2016-01-13,11.14,11.08
2016-01-14,11.13,11.23
2016-01-15,11.08,11.07
2016-01-19,11.32,11.18
2016-01-20,11.14,11.18
2016-01-21,11.14,11.24
2016-01-22,11.36,11.27
2016-01-25,11.28,11.25
2016-01-26,11.43,11.56
2016-01-27,11.64,11.71
2016-01-28,11.67,11.57
2016-01-29,11.68,11.71
2016-02-01,11.66,11.77
2016-02-02,11.79,11.73
2016-02-03,11.89,11.96
2016-02-04,12.13,12.05
2016-02-05,11.9,11.81
2016-02-08,12.02,11.98
2016-02-09,11.74,11.72
2016-02-10,11.81,11.74
2016-02-11,11.81,11.73
2016-02-12,11.79,11.82
2016-02-16,11.93,11.84
2016-02-17,11.8,11.86
2016-02-18,11.89,11.94
2016-02-19,12.0,12.14
2016-02-22,12.26,12.35
2016-02-23,12.19,12.12
2016-02-24,12.1,12.36
2016-02-25,12.21,12.13
2016-02-26,12.36,12.25
2016-02-29,12.33,12.31
2016-03-01,12.3,12.4
2016-03-02,12.45,12.59
2016-03-03,12.61,12.66
2016-03-04,12.62,12.73
2016-03-07,12.67,12.72
2016-03-08,12.58,12.42
2016-03-09,12.52,12.59
2016-03-10,12.51,12.44
2016-03-11,12.56,12.57
2016-03-14,12.56,12.46
2016-03-15,12.38,12.33
2016-03-16,12.29,12.46
2016-03-17,12.55,12.68
2016-03-18,12.67,12.69
2016-03-21,12.68,12.72
2016-03-22,12.64,12.68
2016-03-23,12.48,12.45
2016-03-24,12.28,12.34
2016-03-28,12.48,12.37
2016-03-29,12.31,12.32
2016-03-30,12.31,12.31
2016-03-31,12.35,12.42
2016-04-01,12.45,12.56
2016-04-04,12.55,12.47
2016-04-05,12.38,12.36
2016-04-06,12.26,12.29
2016-04-07,12.11,12.02
2016-04-08,12.15,12.1
2016-04-11,12.11,12.04
2016-04-12,12.26,12.44
2016-04-13,12.65,12.6
2016-04-14,12.62,12.58
2016-04-15,12.56,12.59
2016-04-18,12.7,12.67
2016-04-19,12.73,12.91
2016-04-20,13.0,13.03
2016-04-21,13.06,12.97
2016-04-22,13.1,13.08
2016-04-25,13.04,12.94
2016-04-26,12.91,12.98
2016-04-27,12.95,12.96
2016-04-28,12.99,13.03
2016-04-29,13.25,13.24
2016-05-02,13.45,13.15
2016-05-03,13.04,12.89
2016-05-04,12.86,12.81
2016-05-05,12.77,12.62
2016-05-06,12.66,12.67
2016-05-09,12.44,12.39
2016-05-10,12.44,12.41
2016-05-11,12.62,12.54
2016-05-12,12.63,12.43
2016-05-13,12.43,12.43
2016-05-16,12.47,12.5
2016-05-17,12.43,12.46
2016-05-18,12.38,12.37
2016-05-19,12.27,12.35
2016-05-20,12.47,12.34
2016-05-23,12.26,12.27
2016-05-24,12.28,12.28
2016-05-25,12.35,12.3
2016-05-26,12.49,12.42
2016-05-27,12.51,12.54
2016-05-31,12.51,12.5
2016-06-01,12.43,12.68
2016-06-02,12.66,12.61
2016-06-03,12.76,12.74
2016-06-06,12.85,12.82
2016-06-07,12.68,12.69
2016-06-08,12.98,12.96
2016-06-09,12.79,12.86
2016-06-10,12.87,12.87
2016-06-13,12.89,12.95
2016-06-14,12.85,12.8
2016-06-15,13.02,12.92
2016-06-16,12.77,12.8
2016-06-17,12.8,12.74
2016-06-20,12.84,12.97
2016-06-21,12.88,13.06
2016-06-22,13.1,13.07
2016-06-23,13.1,13.15
2016-06-24,12.89,12.96
2016-06-27,12.88,12.89
2016-06-28,13.14,13.24
2016-06-29,13.2,13.31
2016-06-30,13.34,13.42
2016-07-01,13.49,13.58
2016-07-05,13.74,13.4
2016-07-06,13.21,13.35
2016-07-07,13.33,13.2
2016-07-08,13.35,13.36
2016-07-11,13.46,13.36
2016-07-12,13.6,13.68
2016-07-13,13.73,13.69
2016-07-14,13.74,13.76
2016-07-15,13.81,13.73
2016-07-18,13.67,13.73
2016-07-19,13.8,13.79
2016-07-20,13.66,13.69
2016-07-21,13.75,13.7
2016-07-22,13.77,13.68
2016-07-25,13.67,13.67
2016-07-26,13.58,13.56
2016-07-27,13.51,13.36
2016-07-28,13.47,13.58
2016-07-29,13.62,13.73
2016-08-01,13.76,13.67
2016-08-02,13.86,13.71
2016-08-03,13.68,13.76
2016-08-04,13.61,13.63
2016-08-05,13.7,13.71
2016-08-08,13.75,13.72
2016-08-09,13.66,13.66
2016-08-10,13.83,13.72
2016-08-11,13.75,13.76
2016-08-12,13.66,13.57
2016-08-15,13.61,13.73
2016-08-16,13.73,13.8
2016-08-17,13.77,13.82
2016-08-18,13.92,13.85
2016-08-19,13.76,13.82
2016-08-22,13.73,13.73
2016-08-23,13.75,13.74
2016-08-24,13.7,13.55
2016-08-25,13.55,13.59
2016-08-26,13.63,13.65
2016-08-29,13.67,13.64
2016-08-30,13.55,13.56
2016-08-31,13.56,13.54
2016-09-01,13.55,13.63
2016-09-02,13.63,13.61
2016-09-06,13.53,13.49
2016-09-07,13.6,13.52
2016-09-08,13.41,13.51
2016-09-09,13.44,13.37
2016-09-12,13.25,13.34
2016-09-13,13.36,13.21
2016-09-14,13.31,13.48
2016-09-15,13.43,13.34
2016-09-16,13.3,13.32
2016-09-19,13.37,13.41
2016-09-20,13.45,13.5
2016-09-21,13.45,13.5
2016-09-22,13.68,13.66
2016-09-23,13.67,13.68
2016-09-26,13.67,13.74
2016-09-27,13.76,13.75
2016-09-28,13.83,13.93
2016-09-29,13.94,13.95
2016-09-30,14.06,14.05
2016-10-03,13.98,14.13
2016-10-04,14.06,13.98
2016-10-05,13.97,13.9
2016-10-06,13.82,13.87
2016-10-07,13.94,13.86
2016-10-10,13.89,13.95
2016-10-11,13.76,13.72
2016-10-12,13.77,13.73
2016-10-13,13.57,13.64
2016-10-14,13.64,13.59
2016-10-17,13.57,13.62
2016-10-18,13.71,13.58
2016-10-19,13.52,13.62
2016-10-20,13.51,13.48
2016-10-21,13.46,13.45
2016-10-24,13.58,13.62
2016-10-25,13.9,13.87
2016-10-26,13.88,13.86
2016-10-27,13.91,13.98
2016-10-28,14.02,14.15
2016-10-31,14.22,14.4
2016-11-01,14.36,14.4
2016-11-02,14.22,14.23
2016-11-03,14.4,14.45
2016-11-04,14.38,14.36
2016-11-07,14.5,14.55
2016-11-08,14.53,14.69
2016-11-09,14.93,14.96
2016-11-10,15.22,15.16
2016-11-11,15.41,14.97
2016-11-14,15.21,15.23
2016-11-15,14.97,15.22
2016-11-16,14.98,14.84
2016-11-17,14.93,14.89
2016-11-18,14.95,14.92
2016-11-21,15.11,15.09
2016-11-22,15.27,15.3
2016-11-23,15.23,15.67
2016-11-25,15.82,16.11
2016-11-28,16.17,15.84
2016-11-29,15.56,15.51
2016-11-30,15.68,15.58
2016-12-01,15.6,15.66
2016-12-02,15.47,15.46
2016-12-05,15.74,15.82
2016-12-06,15.67,15.82
2016-12-07,15.88,15.61
2016-12-08,15.54,15.51
2016-12-09,15.62,15.65
2016-12-12,15.64,15.6
2016-12-13,15.66,15.53
2016-12-14,15.67,15.69
2016-12-15,15.61,15.69
2016-12-16,15.52,15.35
2016-12-19,15.0,15.01
2016-12-20,15.06,15.14
2016-12-21,15.14,15.09
2016-12-22,15.04,15.13
2016-12-23,15.08,14.96
2016-12-27,14.98,15.13
2016-12-28,15.02,15.0
2016-12-29,14.92,14.75
2016-12-30,14.95,14.92
2017-01-03,14.86,14.79
2017-01-04,15.06,15.12
2017-01-05,15.11,15.08
2017-01-06,15.0,15.17
2017-01-09,15.13,15.27
2017-01-10,15.6,15.54
2017-01-11,15.61,15.52
2017-01-12,15.9,15.89
2017-01-13,15.89,16.1
2017-01-17,15.81,15.73
2017-01-18,15.81,15.9
2017-01-19,15.97,15.86
2017-01-20,15.91,15.93
2017-01-23,16.06,16.09
2017-01-24,16.26,16.32
2017-01-25,16.1,16.2
2017-01-26,16.13,15.96
2017-01-27,15.94,16.01
2017-01-30,15.96,16.01
