Date,Open,Close
2018-10-17,30.67,30.7
2018-10-18,30.45,29.85
2018-10-19,30.0,29.5
2018-10-22,29.73,29.62
2018-10-23,28.85,29.2
2018-10-24,28.83,27.74
2018-10-25,27.65,28.12
2018-10-26,27.23,27.3
2018-10-29,27.6,26.26
2018-10-30,26.71,26.78
2018-10-31,27.74,27.9
2018-11-01,28.26,28.77
2018-11-02,29.37,29.0
2018-11-05,28.96,28.7
2018-11-06,28.66,28.76
2018-11-07,29.25,29.58
2018-11-08,29.49,29.15
2018-11-09,28.19,27.86
2018-11-12,27.83,27.23
2018-11-13,27.6,27.49
2018-11-14,27.81,27.6
2018-11-15,27.84,28.11
2018-11-16,27.21,27.48
2018-11-19,27.4,26.75
2018-11-20,25.89,26.24
2018-11-21,26.77,26.85
2018-11-23,26.74,26.67
2018-11-26,27.3,27.21
2018-11-27,27.21,27.36
2018-11-28,27.94,28.17
2018-11-29,28.32,28.37
2018-11-30,28.2,28.21
2018-12-03,28.91,28.56
2018-12-04,28.34,27.64
2018-12-06,26.84,27.49
2018-12-07,27.8,27.15
2018-12-10,27.05,27.24
2018-12-11,27.65,27.32
2018-12-12,27.58,27.64
2018-12-13,27.81,27.68
2018-12-14,27.27,27.09
2018-12-17,26.88,26.62
2018-12-18,26.61,26.64
2018-12-19,27.04,26.4
2018-12-20,26.28,26.18
2018-12-21,26.75,26.16
2018-12-24,25.87,25.81
2018-12-26,26.1,26.6
2018-12-27,26.53,26.8
2018-12-28,26.84,26.83
2018-12-31,27.12,26.83
2019-01-02,26.61,26.97
2019-01-03,26.4,26.21
2019-01-04,26.78,27.36
2019-01-07,27.83,28.09
2019-01-08,28.38,28.34
2019-01-09,28.73,28.87
2019-01-10,28.62,28.99
2019-01-11,28.54,28.58
2019-01-14,28.31,28.47
2019-01-15,28.69,28.65
2019-01-16,28.75,28.75
2019-01-17,28.75,29.0
2019-01-18,29.37,29.57
2019-01-22,29.22,28.81
2019-01-23,29.35,28.89
2019-01-24,29.29,29.34
2019-01-25,29.68,29.77
2019-01-28,28.99,29.01
2019-01-29,29.18,28.86
2019-01-30,29.13,29.57
2019-01-31,29.4,29.8
2019-02-01,29.52,29.48
2019-02-04,29.73,29.81
2019-02-05,29.78,30.01
2019-02-06,29.23,28.87
2019-02-07,28.5,28.49
2019-02-08,28.38,28.76
2019-02-11,28.94,28.65
2019-02-12,28.81,28.99
2019-02-13,29.23,29.1
2019-02-14,28.99,29.33
2019-02-15,29.38,29.33
2019-02-19,29.04,29.1
2019-02-20,29.11,28.89
2019-02-21,28.8,28.7
2019-02-22,28.78,28.83
2019-02-25,29.15,29.01
2019-02-26,28.94,29.05
2019-02-27,29.14,29.22
2019-02-28,29.22,29.04
2019-03-01,29.45,29.43
2019-03-04,29.46,29.34
2019-03-05,29.47,29.64
2019-03-06,29.64,29.53
2019-03-07,29.29,29.15
2019-03-08,28.84,29.05
2019-03-11,29.29,29.72
2019-03-12,29.77,29.78
2019-03-13,30.02,30.38
2019-03-14,30.09,29.94
2019-03-15,30.28,30.44
2019-03-18,30.72,30.74
2019-03-19,30.83,31.04
2019-03-20,31.07,31.1
2019-03-21,30.91,31.79
2019-03-22,31.8,31.33
2019-03-25,31.36,31.24
2019-03-26,31.48,31.37
2019-03-27,31.63,31.3
2019-03-28,31.52,31.62
2019-03-29,31.8,31.74
2019-04-01,32.08,32.11
2019-04-02,31.97,32.0
2019-04-03,32.47,32.62
2019-04-04,32.51,32.35
2019-04-05,32.41,32.64
2019-04-08,32.48,32.39
2019-04-09,32.31,32.15
2019-04-10,32.26,32.48
2019-04-11,32.46,32.43
2019-04-12,32.71,32.7
2019-04-15,32.63,32.27
2019-04-16,32.48,32.38
2019-04-17,32.35,32.05
2019-04-18,32.05,32.23
2019-04-22,32.19,32.41
2019-04-23,32.32,32.69
2019-04-24,32.73,32.7
2019-04-25,32.56,32.38
2019-04-26,32.42,32.73
2019-04-29,32.81,32.9
2019-04-30,32.88,32.89
2019-05-01,33.18,32.92
2019-05-02,32.95,32.92
2019-05-03,32.97,33.1
2019-05-06,32.11,32.79
2019-05-07,32.43,31.93
2019-05-08,32.23,32.3
2019-05-09,31.68,31.85
2019-05-10,32.01,32.37
2019-05-13,31.75,31.44
2019-05-14,31.56,32.0
2019-05-15,31.84,32.18
2019-05-16,32.2,32.46
2019-05-17,32.25,32.09
2019-05-20,31.66,31.19
2019-05-21,31.52,31.5
2019-05-22,31.86,32.03
2019-05-23,31.73,31.52
2019-05-24,31.85,31.7
2019-05-28,31.93,31.88
2019-05-29,31.68,31.65
2019-05-30,31.8,31.64
2019-05-31,31.6,31.76
