Date,Open,Close
2015-12-31,11.41,11.36
2016-01-04,11.25,11.24
2016-01-05,11.2,11.25
2016-01-06,11.02,11.06
2016-01-07,10.92,10.93
2016-01-08,10.95,10.79
2016-01-11,10.89,10.69
2016-01-12,10.83,10.69
2016-01-13,10.85,10.55
2016-01-14,10.61,10.76
2016-01-15,10.38,10.22
2016-01-19,10.42,10.33
2016-01-20,10.12,10.16
2016-01-21,9.96,10.08
2016-01-22,10.31,10.35
2016-01-25,10.33,10.28
2016-01-26,10.38,10.47
2016-01-27,10.5,10.46
2016-01-28,10.49,10.54
2016-01-29,10.75,10.83
2016-02-01,10.75,10.82
2016-02-02,10.62,10.58
2016-02-03,10.62,10.73
2016-02-04,10.71,10.73
2016-02-05,10.55,10.58
2016-02-08,10.31,10.17
2016-02-09,10.16,10.27
2016-02-10,10.3,10.23
2016-02-11,10.12,10.04
2016-02-12,10.08,10.05
2016-02-16,10.39,10.43
2016-02-17,10.38,10.51
2016-02-18,10.62,10.42
2016-02-19,10.44,10.42
2016-02-22,10.41,10.49
2016-02-23,10.41,10.36
2016-02-24,10.17,10.31
2016-02-25,10.45,10.45
2016-02-26,10.5,10.33
2016-02-29,10.41,10.44
2016-03-01,10.47,10.53
2016-03-02,10.6,10.61
2016-03-03,10.64,10.79
2016-03-04,10.84,10.99
2016-03-07,10.83,10.97
2016-03-08,10.83,10.85
2016-03-09,10.86,10.76
2016-03-10,10.89,10.96
2016-03-11,11.04,11.1
2016-03-14,11.19,11.15
2016-03-15,11.11,11.15
2016-03-16,10.95,11.24
2016-03-17,11.31,11.39
2016-03-18,11.53,11.42
2016-03-21,11.48,11.5
2016-03-22,11.4,11.51
2016-03-23,11.32,11.23
2016-03-24,11.19,11.08
2016-03-28,11.3,11.16
2016-03-29,11.39,11.49
2016-03-30,11.16,11.55
2016-03-31,11.66,11.64
2016-04-01,11.5,11.71
2016-04-04,11.59,11.55
2016-04-05,11.41,11.4
2016-04-06,11.47,11.43
2016-04-07,11.42,11.25
2016-04-08,11.44,11.46
2016-04-11,11.52,11.49
2016-04-12,11.59,11.61
2016-04-13,11.78,11.76
2016-04-14,11.76,11.8
2016-04-15,11.74,11.72
2016-04-18,11.69,11.8
2016-04-19,11.83,11.96
2016-04-20,11.81,11.84
2016-04-21,11.78,11.7
2016-04-22,11.75,11.72
2016-04-25,11.73,11.74
2016-04-26,11.78,11.81
2016-04-27,11.82,11.91
2016-04-28,11.86,11.75
2016-04-29,11.96,11.95
2016-05-02,12.01,12.03
2016-05-03,11.89,11.74
2016-05-04,11.71,11.72
2016-05-05,11.74,11.7
2016-05-06,11.82,11.8
2016-05-09,11.82,11.79
2016-05-10,11.82,11.87
2016-05-11,11.82,11.88
2016-05-12,11.99,11.85
2016-05-13,11.81,11.69
2016-05-16,11.69,11.77
2016-05-17,11.73,11.72
2016-05-18,11.67,11.66
2016-05-19,11.61,11.59
2016-05-20,11.75,11.73
2016-05-23,11.6,11.71
2016-05-24,11.86,11.93
2016-05-25,11.97,11.96
2016-05-26,12.08,12.12
2016-05-27,12.0,12.11
2016-05-31,12.1,12.21
2016-06-01,12.25,12.34
2016-06-02,12.28,12.34
2016-06-03,12.41,12.49
2016-06-06,12.52,12.63
2016-06-07,12.79,12.79
2016-06-08,12.75,12.92
2016-06-09,12.93,12.92
2016-06-10,12.7,12.58
2016-06-13,12.37,12.28
2016-06-14,12.19,12.13
2016-06-15,12.23,12.2
2016-06-16,12.09,12.31
2016-06-17,12.36,12.48
2016-06-20,12.42,12.56
2016-06-21,12.52,12.54
2016-06-22,12.7,12.59
2016-06-23,12.56,12.93
2016-06-24,12.02,11.98
2016-06-27,11.91,11.77
2016-06-28,12.0,12.03
2016-06-29,12.34,12.39
2016-06-30,12.38,12.57
2016-07-01,12.59,12.62
2016-07-05,12.53,12.39
2016-07-06,12.23,12.34
2016-07-07,12.38,12.3
2016-07-08,12.38,12.47
2016-07-11,12.61,12.69
2016-07-12,12.74,12.79
2016-07-13,12.76,12.81
2016-07-14,12.89,12.89
2016-07-15,12.89,12.8
2016-07-18,12.81,12.78
2016-07-19,12.83,12.76
2016-07-20,12.73,12.85
2016-07-21,12.85,12.83
2016-07-22,12.76,12.85
2016-07-25,12.8,12.81
2016-07-26,12.85,12.95
2016-07-27,13.0,12.95
2016-07-28,12.99,13.01
2016-07-29,13.11,13.04
2016-08-01,13.09,12.99
2016-08-02,12.93,12.94
2016-08-03,12.87,12.88
2016-08-04,13.02,13.09
2016-08-05,13.09,13.08
2016-08-08,13.05,13.05
2016-08-09,13.1,13.06
2016-08-10,13.02,13.07
2016-08-11,13.03,13.13
2016-08-12,13.07,13.11
2016-08-15,13.15,13.2
2016-08-16,13.2,13.16
2016-08-17,13.04,13.11
2016-08-18,13.18,13.34
2016-08-19,13.25,13.27
2016-08-22,13.24,13.32
2016-08-23,13.42,13.37
2016-08-24,13.36,13.32
2016-08-25,13.27,13.32
2016-08-26,13.37,13.3
2016-08-29,13.22,13.31
2016-08-30,13.25,13.25
2016-08-31,13.3,13.24
2016-09-01,13.31,13.29
2016-09-02,13.44,13.46
2016-09-06,13.6,13.67
2016-09-07,13.74,13.74
2016-09-08,13.76,13.69
2016-09-09,13.65,13.5
2016-09-12,13.35,13.5
2016-09-13,13.44,13.33
2016-09-14,13.3,13.31
2016-09-15,13.32,13.29
2016-09-16,13.22,13.19
2016-09-19,13.31,13.3
2016-09-20,13.32,13.34
2016-09-21,13.35,13.53
2016-09-22,13.66,13.56
2016-09-23,13.49,13.43
2016-09-26,13.4,13.37
2016-09-27,13.26,13.33
2016-09-28,13.33,13.47
2016-09-29,13.52,13.35
2016-09-30,13.3,13.31
2016-10-03,13.4,13.35
2016-10-04,13.36,13.28
