Date,Open,Close
2015-12-31,41.27,41.54
2016-01-04,40.88,40.6
2016-01-05,40.51,40.83
2016-01-06,39.69,40.33
2016-01-07,39.76,39.69
2016-01-08,39.64,39.32
2016-01-11,39.58,39.58
2016-01-12,39.09,39.38
2016-01-13,39.85,38.84
2016-01-14,38.82,39.62
2016-01-15,38.54,38.56
2016-01-19,38.65,38.58
2016-01-20,38.0,37.9
2016-01-21,38.38,38.93
2016-01-22,39.55,39.84
2016-01-25,39.45,39.37
2016-01-26,39.91,40.01
2016-01-27,40.03,39.82
2016-01-28,40.37,40.46
2016-01-29,40.66,41.02
2016-02-01,40.91,41.46
2016-02-02,41.0,40.72
2016-02-03,41.42,41.29
2016-02-04,41.57,41.59
2016-02-05,40.93,41.17
2016-02-08,40.65,40.14
2016-02-09,39.89,40.05
2016-02-10,39.9,40.27
2016-02-11,39.5,39.46
2016-02-12,39.93,40.03
2016-02-16,40.5,40.7
2016-02-17,40.9,41.1
2016-02-18,41.03,41.19
2016-02-19,41.1,40.99
2016-02-22,41.92,41.9
2016-02-23,41.59,41.22
2016-02-24,40.95,40.94
2016-02-25,41.41,41.66
2016-02-26,41.5,41.52
2016-02-29,41.29,41.23
2016-03-01,41.82,42.15
2016-03-02,41.74,41.9
2016-03-03,41.95,42.27
2016-03-04,42.45,42.79
2016-03-07,42.54,42.6
2016-03-08,42.74,42.74
2016-03-09,42.77,42.75
2016-03-10,43.0,42.93
2016-03-11,43.44,43.59
2016-03-14,43.45,43.67
2016-03-15,43.05,43.23
2016-03-16,43.15,43.01
2016-03-17,44.31,44.56
2016-03-18,44.38,44.23
2016-03-21,44.34,44.15
2016-03-22,43.92,44.0
2016-03-23,44.0,43.56
2016-03-24,43.36,43.58
2016-03-28,44.31,43.79
2016-03-29,43.72,44.47
2016-03-30,44.7,44.72
2016-03-31,44.88,45.0
2016-04-01,44.42,44.17
2016-04-04,44.9,44.23
2016-04-05,43.65,43.55
2016-04-06,43.55,43.55
2016-04-07,43.72,43.55
2016-04-08,44.26,44.39
2016-04-11,44.9,44.57
2016-04-12,44.88,44.89
2016-04-13,45.12,45.29
2016-04-14,45.09,45.04
2016-04-15,45.18,44.95
2016-04-18,44.95,44.95
2016-04-19,45.7,46.0
2016-04-20,45.93,45.72
2016-04-21,45.3,44.88
2016-04-22,45.07,44.89
2016-04-25,45.01,44.96
2016-04-26,45.05,45.09
2016-04-27,45.66,45.29
2016-04-28,45.7,45.97
2016-04-29,45.78,45.89
2016-05-02,46.14,45.93
2016-05-03,45.83,45.58
2016-05-04,45.45,45.44
2016-05-05,45.82,45.53
2016-05-06,45.46,45.4
2016-05-09,45.27,45.28
2016-05-10,45.7,45.76
2016-05-11,45.4,45.74
2016-05-12,45.97,45.79
2016-05-13,45.7,45.22
2016-05-16,45.95,46.05
2016-05-17,45.98,45.7
2016-05-18,45.69,44.98
2016-05-19,44.89,45.12
2016-05-20,45.26,45.28
2016-05-23,45.52,45.28
2016-05-24,45.45,45.3
2016-05-25,45.86,45.86
2016-05-26,45.82,45.84
2016-05-27,45.67,45.78
2016-05-31,46.1,45.86
2016-06-01,45.67,45.68
2016-06-02,45.6,45.77
2016-06-03,46.51,46.7
2016-06-06,46.43,46.69
2016-06-07,46.97,47.23
2016-06-08,47.1,47.32
2016-06-09,47.1,47.12
2016-06-10,46.46,46.27
2016-06-13,46.06,45.91
2016-06-14,45.7,45.63
2016-06-15,45.8,45.71
2016-06-16,45.33,45.8
2016-06-17,45.14,45.41
2016-06-20,46.04,46.1
2016-06-21,46.14,46.46
2016-06-22,46.48,46.2
2016-06-23,46.94,46.85
2016-06-24,44.47,44.8
2016-06-27,43.71,44.0
