Date,Open,Close
2015-12-31,28.43,28.04
2016-01-04,27.04,28.31
2016-01-05,28.59,28.77
2016-01-06,28.23,28.37
2016-01-07,28.12,28.45
2016-01-08,28.7,28.37
2016-01-11,28.33,29.38
2016-01-12,28.95,27.88
2016-01-13,27.71,26.94
2016-01-14,27.42,25.58
2016-01-15,25.06,25.64
2016-01-19,25.96,25.51
2016-01-20,25.21,25.19
2016-01-21,25.19,25.29
2016-01-22,25.73,25.67
2016-01-25,25.6,25.06
2016-01-26,25.35,26.06
2016-01-27,26.24,26.15
2016-01-28,26.49,25.71
2016-01-29,25.76,26.21
2016-02-01,26.2,26.81
2016-02-02,26.63,25.92
2016-02-03,26.11,26.17
2016-02-04,26.06,27.01
2016-02-05,27.01,26.83
2016-02-08,26.55,27.89
2016-02-09,27.65,27.12
2016-02-10,27.2,26.65
2016-02-11,26.45,26.67
2016-02-12,26.77,26.98
2016-02-16,27.33,28.0
2016-02-17,28.22,28.74
2016-02-18,28.8,29.24
2016-02-19,29.22,28.19
2016-02-22,28.53,29.21
2016-02-23,29.6,29.44
2016-02-24,29.42,29.89
2016-02-25,29.6,29.96
2016-02-26,30.11,30.54
2016-02-29,30.44,30.82
2016-03-01,31.05,30.94
2016-03-02,30.88,31.29
2016-03-03,31.36,32.71
2016-03-04,32.27,31.23
2016-03-07,31.03,30.74
2016-03-08,30.89,30.12
2016-03-09,30.38,31.29
2016-03-10,31.33,30.44
2016-03-11,30.54,30.75
2016-03-14,30.76,31.66
2016-03-15,31.51,30.78
2016-03-16,31.15,31.91
2016-03-17,32.18,31.36
2016-03-18,31.58,30.83
2016-03-21,30.92,30.85
2016-03-22,30.75,30.18
2016-03-23,30.18,30.37
2016-03-24,30.34,30.27
2016-03-28,28.95,30.09
2016-03-29,30.18,31.51
2016-03-30,31.57,31.76
2016-03-31,31.87,31.73
2016-04-01,31.73,31.34
2016-04-04,31.39,30.93
2016-04-05,30.8,30.29
2016-04-06,30.25,30.09
2016-04-07,30.11,29.12
2016-04-08,29.27,29.49
2016-04-11,29.74,29.88
2016-04-12,30.0,30.09
2016-04-13,30.25,31.47
2016-04-14,31.36,31.65
2016-04-15,31.75,31.79
2016-04-18,31.86,32.21
2016-04-19,32.34,32.45
2016-04-20,32.49,32.89
2016-04-21,32.89,32.31
2016-04-22,32.27,32.8
2016-04-25,32.68,32.8
2016-04-26,32.75,33.32
2016-04-27,33.2,33.38
2016-04-28,33.17,32.9
2016-04-29,32.9,32.8
2016-05-02,32.81,32.36
2016-05-03,32.21,31.3
2016-05-04,31.2,30.74
2016-05-05,30.69,30.11
2016-05-06,30.21,30.09
2016-05-09,30.1,30.19
2016-05-10,30.26,30.52
2016-05-11,30.15,29.2
2016-05-12,29.3,29.1
2016-05-13,29.1,28.73
2016-05-16,28.76,29.02
2016-05-17,29.09,28.46
2016-05-18,28.33,28.03
2016-05-19,28.04,28.55
2016-05-20,28.68,28.48
2016-05-23,28.61,28.47
2016-05-24,28.39,28.7
2016-05-25,28.77,29.73
2016-05-26,29.99,29.98
2016-05-27,28.04,28.8
2016-05-31,28.89,29.1
2016-06-01,29.02,28.95
2016-06-02,28.98,28.89
2016-06-03,28.96,28.63
2016-06-06,28.27,28.47
2016-06-07,28.49,28.46
2016-06-08,28.47,28.23
2016-06-09,28.07,27.27
2016-06-10,26.95,26.53
2016-06-13,26.45,26.03
2016-06-14,25.97,25.73
2016-06-15,25.7,26.13
2016-06-16,26.06,25.93
2016-06-17,25.98,26.15
2016-06-20,26.45,26.4
2016-06-21,26.37,25.84
2016-06-22,25.96,26.0
2016-06-23,26.43,26.33
2016-06-24,25.28,25.34
2016-06-27,25.31,25.5
2016-06-28,25.83,26.05
2016-06-29,26.47,26.41
2016-06-30,26.51,26.58
2016-07-01,26.88,27.06
2016-07-05,27.03,26.3
2016-07-06,26.23,26.47
2016-07-07,26.52,26.33
2016-07-08,26.67,27.37
2016-07-11,28.11,28.45
2016-07-12,28.72,28.74
2016-07-13,28.84,28.85
2016-07-14,28.95,28.62
2016-07-15,28.8,27.99
2016-07-18,28.0,30.19
2016-07-19,30.87,30.19
2016-07-20,30.11,31.12
2016-07-21,31.15,31.01
2016-07-22,31.0,30.81
2016-07-25,30.52,30.88
2016-07-26,30.82,31.25
2016-07-27,31.42,31.32
2016-07-28,31.2,31.17
2016-07-29,31.25,30.95
2016-08-01,30.97,30.35
2016-08-02,30.56,29.24
2016-08-03,29.04,29.64
2016-08-04,29.54,29.66
2016-08-05,29.89,30.04
2016-08-08,30.14,29.79
2016-08-09,29.76,29.63
2016-08-10,29.6,30.15
2016-08-11,30.53,31.11
2016-08-12,31.0,31.35
2016-08-15,31.31,31.73
2016-08-16,31.66,31.17
2016-08-17,30.87,30.82
2016-08-18,30.93,31.17
2016-08-19,31.06,31.72
2016-08-22,32.0,31.46
2016-08-23,32.03,32.09
2016-08-24,32.13,31.71
2016-08-25,31.67,32.16
2016-08-26,30.22,28.74
2016-08-29,28.75,28.97
2016-08-30,28.89,28.49
2016-08-31,28.48,28.39
2016-09-01,28.47,28.03
2016-09-02,28.21,28.39
2016-09-06,28.38,28.37
2016-09-07,28.03,28.13
2016-09-08,27.97,27.78
2016-09-09,27.94,27.18
2016-09-12,27.38,27.04
2016-09-13,26.95,26.99
2016-09-14,27.63,27.03
2016-09-15,26.88,27.25
2016-09-16,27.21,27.09
2016-09-19,27.39,27.9
2016-09-20,28.08,27.72
2016-09-21,27.79,28.13
2016-09-22,28.29,28.27
2016-09-23,28.24,28.19
2016-09-26,28.11,27.64
2016-09-27,27.65,27.43
2016-09-28,27.45,27.49
2016-09-29,27.5,27.14
2016-09-30,27.38,27.59
2016-10-03,27.59,27.78
2016-10-04,27.78,27.13
2016-10-05,27.27,27.2
2016-10-06,27.08,26.68
2016-10-07,26.8,26.68
2016-10-10,26.84,26.83
2016-10-11,26.82,26.05
2016-10-12,26.14,26.12
2016-10-13,26.0,25.47
2016-10-14,25.58,25.38
2016-10-17,25.32,24.7
2016-10-18,24.97,24.82
2016-10-19,24.88,25.0
2016-10-20,24.95,25.11
2016-10-21,25.09,25.01
2016-10-24,25.37,25.14
2016-10-25,25.02,24.75
2016-10-26,24.73,24.77
2016-10-27,24.84,23.99
2016-10-28,23.99,23.9
2016-10-31,23.95,24.05
2016-11-01,24.01,23.56
2016-11-02,20.59,20.93
2016-11-03,20.77,20.83
2016-11-04,20.79,20.73
2016-11-07,21.0,21.24
2016-11-08,21.14,20.91
2016-11-09,20.59,21.53
2016-11-10,21.76,21.87
2016-11-11,21.81,22.32
2016-11-14,22.44,22.99
2016-11-15,22.93,22.65
2016-11-16,22.53,23.06
2016-11-17,23.31,23.46
2016-11-18,23.37,23.46
2016-11-21,23.53,23.46
2016-11-22,23.69,24.11
2016-11-23,24.78,26.06
2016-11-25,26.14,25.82
2016-11-28,26.0,25.15
2016-11-29,24.85,24.49
2016-11-30,24.46,24.69
2016-12-01,24.66,24.64
2016-12-02,24.61,24.27
2016-12-05,24.44,24.52
2016-12-06,24.65,24.89
2016-12-07,25.17,25.94
2016-12-08,26.0,25.97
2016-12-09,25.9,26.02
2016-12-12,26.06,26.42
2016-12-13,26.51,26.39
2016-12-14,26.34,25.28
2016-12-15,25.27,25.34
2016-12-16,25.35,25.42
2016-12-19,25.41,25.9
2016-12-20,25.86,26.12
2016-12-21,26.07,26.39
2016-12-22,26.37,25.06
2016-12-23,25.56,25.41
2016-12-27,25.41,25.95
