Date,Open,Close
2019-04-18,25.87,25.87
2019-04-22,25.87,25.86
2019-04-23,25.93,25.93
2019-04-24,25.89,25.79
2019-04-25,25.51,25.43
2019-04-26,25.39,25.39
2019-04-29,25.51,25.51
2019-04-30,25.38,25.42
2019-05-01,25.5,25.41
2019-05-02,25.31,25.32
2019-05-03,25.6,25.6
2019-05-06,25.27,25.27
2019-05-07,24.8,24.72
2019-05-08,24.72,24.72
2019-05-09,24.25,24.2
2019-05-10,24.18,24.21
2019-05-13,23.69,23.41
2019-05-14,23.52,23.59
2019-05-15,23.77,23.77
2019-05-16,23.74,23.61
2019-05-17,23.51,23.33
2019-05-20,23.03,22.88
2019-05-21,23.13,23.13
2019-05-22,22.73,22.7
2019-05-23,22.5,22.44
2019-05-24,22.53,22.5
2019-05-28,22.5,22.31
2019-05-29,22.18,22.18
2019-05-30,22.4,22.32
2019-05-31,21.9,21.9
2019-06-03,21.97,21.97
2019-06-04,22.7,22.7
2019-06-05,22.64,22.64
2019-06-06,22.59,22.72
2019-06-07,22.99,22.96
2019-06-10,23.26,23.25
2019-06-11,23.46,23.46
2019-06-12,23.24,23.15
2019-06-13,23.3,23.21
2019-06-14,23.1,22.96
2019-06-17,22.69,22.79
2019-06-18,23.27,23.27
2019-06-19,23.49,23.41
2019-06-20,23.58,23.64
2019-06-21,23.6,23.6
2019-06-24,23.63,23.6
2019-06-25,23.63,23.51
2019-06-26,23.78,23.74
2019-06-27,23.89,23.89
2019-06-28,23.99,24.0
2019-07-01,24.4,24.31
2019-07-02,24.1,24.03
2019-07-03,24.22,24.12
2019-07-05,24.0,23.97
2019-07-08,23.91,23.77
2019-07-09,23.6,23.65
2019-07-10,23.74,23.75
2019-07-11,23.75,23.69
2019-07-12,23.97,23.97
2019-07-15,24.1,24.1
2019-07-16,24.13,24.08
2019-07-17,24.01,23.95
2019-07-18,23.95,23.97
2019-07-19,24.17,24.17
2019-07-22,24.24,24.23
2019-07-23,24.51,24.51
2019-07-24,24.76,24.76
2019-07-25,24.49,24.49
2019-07-26,24.49,24.49
2019-07-29,24.48,24.41
2019-07-30,24.22,24.28
2019-07-31,24.28,24.08
2019-08-01,24.27,23.6
2019-08-02,23.35,23.32
2019-08-05,22.8,22.6
2019-08-06,22.81,22.8
2019-08-07,22.95,22.95
2019-08-08,23.13,23.19
2019-08-09,23.0,23.01
2019-08-12,22.8,22.64
2019-08-13,23.01,23.01
2019-08-14,22.48,22.28
2019-08-15,22.17,22.15
2019-08-16,22.6,22.6
2019-08-19,22.87,22.88
2019-08-20,22.85,22.79
2019-08-21,23.01,23.01
2019-08-22,22.93,22.93
2019-08-23,22.83,22.18
2019-08-26,22.64,22.43
2019-08-27,22.45,22.43
2019-08-28,22.53,22.53
2019-08-29,22.86,22.86
2019-08-30,23.01,23.01
2019-09-03,22.74,22.74
2019-09-04,22.98,23.17
2019-09-05,23.77,23.77
2019-09-06,23.89,23.84
2019-09-09,24.15,24.15
2019-09-10,24.33,24.33
2019-09-11,24.56,24.68
2019-09-12,24.81,24.81
2019-09-13,24.94,24.89
2019-09-16,24.64,24.64
2019-09-17,24.63,24.63
2019-09-18,24.53,24.58
2019-09-19,24.55,24.55
2019-09-20,24.37,24.37
2019-09-23,24.34,24.28
2019-09-24,23.93,23.93
2019-09-25,23.8,24.13
2019-09-26,24.18,24.18
2019-09-27,24.19,24.04
2019-09-30,24.07,24.17
2019-10-01,23.89,23.88
2019-10-02,23.74,23.36
2019-10-03,23.36,23.48
2019-10-04,23.59,23.7
2019-10-07,23.59,23.61
2019-10-08,23.29,23.29
2019-10-09,23.48,23.48
2019-10-10,23.55,23.72
2019-10-11,24.21,24.34
2019-10-14,24.3,24.28
2019-10-15,24.67,24.68
2019-10-16,24.73,24.7
2019-10-17,24.71,24.73
2019-10-18,24.68,24.66
2019-10-21,24.9,24.9
2019-10-22,24.97,24.95
2019-10-23,24.92,24.92
2019-10-24,25.13,25.14
2019-10-25,25.27,25.46
2019-10-28,25.75,25.77
2019-10-29,25.8,25.75
2019-10-30,25.75,25.72
2019-10-31,25.71,25.52
2019-11-01,25.91,25.99
2019-11-04,26.44,26.44
2019-11-05,26.66,26.57
2019-11-06,26.62,26.45
2019-11-07,26.9,26.9
2019-11-08,26.85,26.86
2019-11-11,26.73,26.77
2019-11-12,26.85,26.87
2019-11-13,26.81,26.66
2019-11-14,26.64,26.57
2019-11-15,26.7,26.76
2019-11-18,26.69,26.58
2019-11-19,26.5,26.52
2019-11-20,26.5,26.22
2019-11-21,26.2,26.17
2019-11-22,26.17,26.22
2019-11-25,26.55,26.59
2019-11-26,26.56,26.56
2019-11-27,26.6,26.61
2019-11-29,26.45,26.36
2019-12-02,26.31,26.22
2019-12-03,25.88,25.93
2019-12-04,26.21,26.21
2019-12-05,26.3,26.15
2019-12-06,26.47,26.46
2019-12-09,26.52,26.4
2019-12-10,26.33,26.39
2019-12-11,26.65,26.7
2019-12-12,27.12,27.09
2019-12-13,27.23,27.18
2019-12-16,27.25,27.25
2019-12-17,27.28,27.32
2019-12-18,27.25,27.29
2019-12-19,27.29,27.34
2019-12-20,27.34,27.39
2019-12-23,27.48,27.4
2019-12-24,27.31,27.33
2019-12-26,27.43,27.45
2019-12-27,27.59,27.59
2019-12-30,27.61,27.48
2019-12-31,27.39,27.35
2020-01-02,27.65,27.8
2020-01-03,27.47,27.4
2020-01-06,27.27,27.39
2020-01-07,27.54,27.5
2020-01-08,27.76,27.74
2020-01-09,27.87,27.79
2020-01-10,27.96,27.72
2020-01-13,27.85,27.99
2020-01-14,27.9,28.04
2020-01-15,28.04,27.83
2020-01-16,27.97,28.07
2020-01-17,28.26,28.22
2020-01-21,28.33,28.25
2020-01-22,28.5,28.41
2020-01-23,28.31,28.32
