Date,Open,Close
2018-02-01,49.34,49.34
2018-02-02,48.89,48.89
2018-02-05,48.69,48.66
2018-02-06,49.16,49.88
2018-02-07,49.88,49.88
2018-02-08,49.88,49.88
2018-02-09,49.86,49.85
2018-02-12,49.3,49.3
2018-02-13,49.3,49.3
2018-02-14,49.99,49.96
2018-02-15,49.86,49.6
2018-02-16,48.73,48.07
2018-02-20,48.07,48.07
2018-02-21,47.86,47.51
2018-02-22,47.75,48.25
2018-02-23,48.38,48.43
2018-02-26,49.0,48.88
2018-02-27,48.49,48.52
2018-02-28,48.58,48.58
2018-03-01,49.21,49.46
2018-03-02,49.02,48.85
2018-03-05,48.35,48.53
2018-03-06,48.4,48.27
2018-03-07,48.27,48.27
2018-03-08,48.23,48.42
2018-03-09,48.49,48.32
2018-03-12,47.75,47.91
2018-03-13,48.44,48.6
2018-03-14,48.65,48.64
2018-03-15,47.77,47.79
2018-03-16,47.21,47.4
2018-03-19,47.38,47.85
2018-03-20,47.82,47.61
2018-03-21,48.0,47.74
2018-03-22,47.43,47.65
2018-03-23,47.28,46.8
2018-03-26,47.1,47.51
2018-03-27,47.66,47.82
2018-03-28,47.34,47.17
2018-03-29,47.38,47.42
2018-04-02,47.2,46.74
2018-04-03,46.66,46.78
2018-04-04,46.93,46.92
2018-04-05,47.3,47.2
2018-04-06,47.72,47.03
2018-04-09,47.6,47.58
2018-04-10,47.12,47.2
2018-04-11,46.94,47.64
2018-04-12,47.23,47.44
2018-04-13,47.26,47.17
2018-04-16,47.07,45.85
2018-04-17,45.8,45.63
2018-04-18,45.76,46.15
2018-04-19,46.16,45.97
2018-04-20,46.1,46.16
2018-04-23,46.79,46.6
2018-04-24,47.23,47.34
2018-04-25,46.71,46.86
2018-04-26,47.28,47.05
2018-04-27,47.4,48.13
2018-04-30,48.1,48.3
2018-05-01,48.42,49.14
2018-05-02,49.42,48.65
2018-05-03,49.21,48.93
2018-05-04,48.75,48.31
2018-05-07,47.78,47.64
2018-05-08,47.86,47.2
2018-05-09,47.05,46.91
2018-05-10,47.0,47.23
2018-05-11,47.08,47.12
2018-05-14,46.6,46.51
2018-05-15,46.13,46.2
2018-05-16,46.17,46.3
2018-05-17,46.84,46.53
2018-05-18,46.84,46.53
2018-05-21,47.17,47.22
2018-05-22,47.34,47.56
2018-05-23,47.0,47.22
2018-05-24,47.54,47.6
2018-05-25,47.42,47.5
2018-05-29,47.33,47.39
2018-05-30,48.08,47.42
2018-05-31,48.1,48.67
2018-06-01,48.93,48.27
2018-06-04,47.91,47.81
2018-06-05,47.55,47.1
2018-06-06,47.14,46.74
2018-06-07,46.46,45.99
2018-06-08,46.3,46.29
2018-06-11,46.05,46.27
2018-06-12,46.27,46.33
2018-06-13,45.99,45.95
2018-06-14,45.64,45.63
2018-06-15,45.49,45.46
2018-06-18,45.5,45.11
2018-06-19,44.66,45.05
2018-06-20,45.15,45.12
2018-06-21,45.26,44.95
2018-06-22,45.08,45.41
2018-06-25,45.39,45.44
2018-06-26,45.86,45.6
2018-06-27,45.51,45.56
2018-06-28,45.4,44.92
2018-06-29,44.72,44.45
2018-07-02,43.86,43.3
2018-07-03,43.53,43.39
2018-07-05,43.11,42.35
2018-07-06,42.61,44.17
2018-07-09,44.21,44.41
2018-07-10,44.4,44.47
2018-07-11,44.24,43.5
2018-07-12,43.52,43.23
2018-07-13,43.0,42.72
2018-07-16,43.01,42.85
2018-07-17,42.34,42.39
2018-07-18,41.91,41.91
2018-07-19,41.74,42.2
2018-07-20,42.73,42.98
2018-07-23,43.34,43.35
2018-07-24,43.39,43.01
2018-07-25,43.35,43.03
2018-07-26,43.03,42.44
2018-07-27,42.65,42.78
2018-07-30,43.6,43.2
2018-07-31,43.0,42.64
2018-08-01,42.8,42.01
2018-08-02,41.38,41.49
2018-08-03,41.54,41.76
2018-08-06,42.0,42.28
2018-08-07,42.68,42.32
2018-08-08,42.04,41.91
2018-08-09,41.62,41.77
2018-08-10,41.44,41.55
2018-08-13,40.75,41.19
2018-08-14,41.41,41.05
2018-08-15,40.78,39.95
2018-08-16,40.23,39.92
2018-08-17,39.7,39.57
2018-08-20,39.36,38.09
2018-08-21,38.31,38.57
2018-08-22,37.88,38.14
2018-08-23,38.07,38.39
2018-08-24,39.16,39.62
2018-08-27,40.02,39.95
2018-08-28,39.23,38.97
2018-08-29,39.06,38.9
2018-08-30,38.63,38.83
2018-08-31,38.78,38.38
2018-09-04,38.03,38.43
2018-09-05,38.76,39.12
2018-09-06,38.68,38.76
2018-09-07,38.54,38.72
2018-09-10,38.9,38.4
2018-09-11,38.3,37.94
2018-09-12,38.4,38.69
2018-09-13,38.26,38.05
2018-09-14,37.95,37.79
2018-09-17,37.56,36.79
2018-09-18,36.73,36.4
2018-09-19,36.33,36.58
2018-09-20,36.77,37.5
2018-09-21,37.65,37.66
2018-09-24,37.6,37.06
2018-09-25,36.79,36.73
2018-09-26,36.92,37.12
2018-09-27,36.83,37.43
2018-09-28,37.67,38.69
2018-10-01,38.87,38.51
2018-10-02,39.86,40.87
2018-10-03,41.5,40.29
2018-10-04,40.67,40.45
2018-10-05,41.12,41.44
2018-10-08,42.28,42.32
2018-10-09,42.12,42.8
2018-10-10,42.77,42.2
2018-10-11,42.13,42.71
2018-10-12,43.2,43.95
2018-10-15,44.71,45.02
2018-10-16,45.19,44.4
2018-10-17,44.95,46.23
2018-10-18,46.48,46.1
2018-10-19,46.5,46.1
2018-10-22,45.98,44.46
2018-10-23,44.88,45.93
2018-10-24,46.77,45.37
2018-10-25,45.82,45.91
2018-10-26,46.19,45.31
2018-10-29,45.77,43.15
2018-10-30,43.44,42.67
2018-10-31,42.88,42.72
2018-11-01,43.95,44.68
2018-11-02,45.69,45.39
2018-11-05,44.93,44.33
2018-11-06,44.14,43.08
2018-11-07,43.55,43.86
2018-11-08,44.3,44.08
2018-11-09,43.27,43.1
2018-11-12,42.39,41.75
2018-11-13,41.64,41.45
2018-11-14,42.41,42.65
2018-11-15,42.58,41.78
2018-11-16,42.31,42.85
2018-11-19,42.4,42.7
2018-11-20,42.48,42.32
2018-11-21,41.73,41.7
2018-11-23,40.72,40.95
2018-11-26,40.53,40.88
2018-11-27,41.73,41.75
2018-11-28,41.39,41.94
2018-11-29,42.0,41.3
2018-11-30,40.35,39.52
2018-12-03,40.62,39.67
2018-12-04,39.59,39.4
2018-12-06,38.58,39.3
2018-12-07,38.86,38.25
2018-12-10,38.68,38.86
2018-12-11,38.15,37.75
2018-12-12,37.65,37.92
2018-12-13,37.6,38.38
2018-12-14,37.72,37.66
2018-12-17,37.3,36.93
2018-12-18,36.93,36.55
2018-12-19,36.85,37.12
2018-12-20,37.88,37.69
2018-12-21,37.15,36.6
2018-12-24,36.96,37.49
2018-12-26,37.06,38.3
2018-12-27,38.0,37.58
2018-12-28,37.38,37.2
2018-12-31,36.81,37.45
2019-01-02,36.95,36.63
2019-01-03,37.23,37.67
2019-01-04,37.24,37.38
2019-01-07,37.72,37.95
2019-01-08,38.86,38.84
2019-01-09,39.04,38.71
2019-01-10,38.23,38.29
2019-01-11,38.0,38.35
2019-01-14,37.66,37.82
2019-01-15,37.72,37.27
2019-01-16,37.51,37.85
2019-01-17,37.8,37.85
2019-01-18,38.57,38.77
2019-01-22,38.52,38.0
2019-01-23,38.33,38.26
2019-01-24,38.31,39.25
2019-01-25,39.3,39.36
2019-01-28,37.88,37.85
2019-01-29,37.87,38.06
2019-01-30,37.99,37.71
2019-01-31,38.61,39.14
2019-02-01,38.66,38.26
2019-02-04,38.89,39.12
2019-02-05,38.58,38.66
2019-02-06,38.82,38.85
2019-02-07,38.58,38.36
2019-02-08,38.44,37.8
2019-02-11,37.42,36.97
2019-02-12,37.18,37.1
