Date,Open,Close
2015-12-31,41.16,41.32
2016-01-04,40.7,40.24
2016-01-05,39.65,39.16
2016-01-06,38.83,38.02
2016-01-07,37.56,38.22
2016-01-08,38.3,38.51
2016-01-11,37.75,37.01
2016-01-12,36.68,36.65
2016-01-13,37.08,36.84
2016-01-14,36.75,36.39
2016-01-15,37.03,37.24
2016-01-19,37.62,37.45
2016-01-20,36.43,35.98
2016-01-21,35.55,36.55
2016-01-22,36.99,36.82
2016-01-25,36.52,36.08
2016-01-26,36.08,36.1
2016-01-27,35.55,35.23
2016-01-28,35.95,35.5
2016-01-29,35.82,35.2
2016-02-01,35.63,36.53
2016-02-02,36.19,35.34
2016-02-03,35.35,36.16
2016-02-04,36.14,35.35
2016-02-05,35.53,35.72
2016-02-08,36.0,36.4
2016-02-09,35.83,36.08
2016-02-10,36.24,36.02
2016-02-11,35.87,35.6
2016-02-12,36.1,36.55
2016-02-16,36.3,35.98
2016-02-17,35.79,36.3
2016-02-18,37.04,36.64
2016-02-19,36.66,36.02
2016-02-22,36.7,36.68
2016-02-23,36.63,36.81
2016-02-24,36.63,37.23
2016-02-25,37.72,37.29
2016-02-26,37.55,37.1
2016-02-29,37.46,37.21
2016-03-01,37.23,37.26
2016-03-02,36.96,37.47
2016-03-03,37.37,37.6
2016-03-04,38.14,38.09
2016-03-07,38.32,38.19
2016-03-08,38.03,37.75
2016-03-09,38.49,38.39
2016-03-10,38.72,39.01
2016-03-11,39.18,38.91
2016-03-14,38.99,39.32
2016-03-15,39.03,38.93
2016-03-16,38.5,38.7
2016-03-17,39.3,39.7
2016-03-18,40.0,39.79
2016-03-21,39.77,39.33
2016-03-22,38.7,38.86
2016-03-23,37.6,37.72
2016-03-24,37.43,37.74
2016-03-28,38.14,37.82
2016-03-29,37.82,37.91
2016-03-30,38.34,38.14
2016-03-31,37.37,37.5
2016-04-01,36.86,36.87
2016-04-04,36.63,36.44
2016-04-05,36.14,36.64
2016-04-06,36.78,36.78
2016-04-07,36.68,36.06
2016-04-08,36.44,36.42
2016-04-11,36.95,37.12
2016-04-12,37.09,37.35
2016-04-13,36.99,37.18
2016-04-14,37.51,37.76
2016-04-15,38.1,37.56
2016-04-18,37.9,38.39
2016-04-19,38.78,38.84
2016-04-20,38.99,38.9
2016-04-21,39.37,39.26
2016-04-22,39.75,39.86
2016-04-25,40.02,40.03
2016-04-26,40.48,40.57
2016-04-27,40.66,40.24
2016-04-28,40.34,40.23
2016-04-29,40.95,40.68
2016-05-02,40.75,40.73
2016-05-03,40.44,40.6
2016-05-04,39.87,40.31
2016-05-05,40.05,39.7
2016-05-06,39.03,38.75
2016-05-09,38.72,38.82
2016-05-10,39.2,38.95
2016-05-11,39.02,38.73
2016-05-12,38.45,37.88
2016-05-13,37.48,37.47
2016-05-16,37.02,36.78
2016-05-17,36.51,36.46
2016-05-18,36.46,36.86
2016-05-19,36.61,36.54
2016-05-20,36.57,36.67
2016-05-23,36.86,37.5
2016-05-24,37.3,37.37
2016-05-25,36.8,36.74
2016-05-26,36.5,37.04
2016-05-27,37.66,37.68
2016-05-31,38.68,38.44
2016-06-01,38.13,38.15
2016-06-02,38.36,38.46
2016-06-03,38.34,37.89
2016-06-06,38.5,38.58
2016-06-07,38.7,39.06
2016-06-08,39.22,39.28
2016-06-09,39.25,39.35
2016-06-10,39.25,39.37
2016-06-13,39.41,39.52
2016-06-14,39.6,39.54
2016-06-15,39.62,39.76
2016-06-16,39.39,38.73
2016-06-17,38.92,39.0
2016-06-20,39.59,39.63
2016-06-21,39.65,40.0
2016-06-22,40.1,40.15
2016-06-23,40.6,40.48
2016-06-24,38.58,38.47
2016-06-27,38.04,37.86
2016-06-28,38.21,38.14
2016-06-29,38.36,38.58
2016-06-30,38.17,37.77
2016-07-01,37.98,37.95
2016-07-05,38.53,38.99
2016-07-06,39.0,39.27
2016-07-07,39.47,39.56
2016-07-08,39.78,39.41
2016-07-11,39.46,39.47
2016-07-12,39.36,39.6
2016-07-13,40.14,40.01
2016-07-14,40.14,40.11
2016-07-15,39.81,38.95
2016-07-18,39.01,39.25
2016-07-19,38.06,38.12
2016-07-20,37.7,37.41
2016-07-21,37.33,36.82
2016-07-22,36.64,36.53
2016-07-25,36.3,36.24
2016-07-26,36.06,36.03
2016-07-27,36.28,36.39
2016-07-28,36.34,36.05
2016-07-29,36.19,35.68
2016-08-01,37.21,37.0
2016-08-02,37.49,36.59
2016-08-03,37.27,37.98
2016-08-04,37.81,38.06
2016-08-05,38.54,38.43
2016-08-08,38.43,38.46
2016-08-09,38.77,37.88
2016-08-10,38.52,38.53
2016-08-11,38.22,38.29
2016-08-12,38.49,38.3
2016-08-15,38.65,38.73
2016-08-16,39.0,39.23
2016-08-17,39.35,39.58
2016-08-18,39.83,40.01
2016-08-19,39.68,39.65
2016-08-22,38.51,38.59
2016-08-23,38.25,38.98
2016-08-24,39.4,38.7
2016-08-25,38.99,38.89
2016-08-26,38.74,38.71
2016-08-29,37.32,37.43
2016-08-30,37.29,36.9
2016-08-31,36.95,37.2
2016-09-01,37.25,36.86
2016-09-02,37.37,37.09
2016-09-06,37.13,37.43
