Date,Open,Close
2015-12-31,16.98,16.84
2016-01-04,16.64,16.52
2016-01-05,16.82,16.6
2016-01-06,16.18,15.96
2016-01-07,15.3,15.08
2016-01-08,15.36,14.9
2016-01-11,15.06,14.58
2016-01-12,14.7,14.18
2016-01-13,14.44,14.02
2016-01-14,14.22,14.62
2016-01-15,13.96,14.02
2016-01-19,14.38,14.1
2016-01-20,13.7,13.74
2016-01-21,13.72,13.9
2016-01-22,14.48,14.48
2016-01-25,14.12,14.08
2016-01-26,14.3,14.52
2016-01-27,14.52,14.4
2016-01-28,14.76,14.6
2016-01-29,14.6,14.74
2016-02-01,14.72,14.78
2016-02-02,14.4,14.14
2016-02-03,14.36,14.74
2016-02-04,15.06,15.54
2016-02-05,15.58,15.38
2016-02-08,15.26,15.22
2016-02-09,14.92,14.8
2016-02-10,14.72,14.54
2016-02-11,14.16,14.1
2016-02-12,14.6,14.96
2016-02-16,15.56,15.62
2016-02-17,15.82,16.16
2016-02-18,16.16,16.06
2016-02-19,15.92,16.14
2016-02-22,16.46,16.82
2016-02-23,16.82,16.5
2016-02-24,15.96,16.08
2016-02-25,16.08,16.16
2016-02-26,16.4,16.16
2016-02-29,16.44,16.52
2016-03-01,16.82,17.0
2016-03-02,17.2,17.68
2016-03-03,18.0,18.38
2016-03-04,18.5,19.14
2016-03-07,19.14,19.8
2016-03-08,19.22,18.68
2016-03-09,18.7,18.5
2016-03-10,18.62,18.4
2016-03-11,18.74,19.1
2016-03-14,19.02,19.08
2016-03-15,18.48,18.36
2016-03-16,18.14,18.62
2016-03-17,19.0,19.54
2016-03-18,19.92,19.72
2016-03-21,19.96,19.76
2016-03-22,19.56,19.5
2016-03-23,19.42,18.82
2016-03-24,18.44,18.72
2016-03-28,18.7,18.76
2016-03-29,18.7,19.0
2016-03-30,19.4,19.22
2016-03-31,19.38,19.24
2016-04-01,18.84,19.1
2016-04-04,19.08,18.66
2016-04-05,18.32,18.34
2016-04-06,18.5,18.66
2016-04-07,18.6,18.02
2016-04-08,18.7,18.88
2016-04-11,19.26,19.3
2016-04-12,19.76,20.06
2016-04-13,20.74,20.96
2016-04-14,21.38,20.94
2016-04-15,20.88,20.9
2016-04-18,20.78,21.2
2016-04-19,21.78,22.4
2016-04-20,22.44,22.52
2016-04-21,22.84,22.18
2016-04-22,22.14,22.1
2016-04-25,21.86,21.5
2016-04-26,21.42,21.62
2016-04-27,21.48,21.82
2016-04-28,21.88,21.94
2016-04-29,22.2,22.24
2016-05-02,22.38,22.24
2016-05-03,21.7,21.02
2016-05-04,20.7,20.36
2016-05-05,20.54,20.18
2016-05-06,20.1,20.3
2016-05-09,19.9,19.12
2016-05-10,19.2,19.54
2016-05-11,19.8,19.7
2016-05-12,19.9,19.42
2016-05-13,19.14,18.98
2016-05-16,19.34,19.5
2016-05-17,19.7,19.64
2016-05-18,19.36,19.14
2016-05-19,19.0,18.98
2016-05-20,19.3,19.06
2016-05-23,18.98,19.02
2016-05-24,19.04,19.02
2016-05-25,19.1,19.5
2016-05-26,19.84,19.64
2016-05-27,19.64,19.4
2016-05-31,19.44,19.24
2016-06-01,19.0,19.02
2016-06-02,18.92,19.06
2016-06-03,19.32,19.58
2016-06-06,20.14,20.3
2016-06-07,20.56,20.4
2016-06-08,20.82,20.84
2016-06-09,20.5,20.24
2016-06-10,19.84,19.46
2016-06-13,19.26,19.32
2016-06-14,19.14,18.96
2016-06-15,19.1,19.44
2016-06-16,19.24,19.36
2016-06-17,19.52,19.66
2016-06-20,20.12,20.24
2016-06-21,20.34,20.26
2016-06-22,20.26,20.06
2016-06-23,20.64,20.88
2016-06-24,19.54,19.08
2016-06-27,18.9,18.52
2016-06-28,18.9,19.14
2016-06-29,19.62,19.6
2016-06-30,19.68,20.14
2016-07-01,20.18,20.36
2016-07-05,20.32,19.96
2016-07-06,19.58,20.08
2016-07-07,20.2,19.9
2016-07-08,20.1,20.52
2016-07-11,20.82,21.18
2016-07-12,21.6,21.94
2016-07-13,22.16,22.06
2016-07-14,22.24,22.32
2016-07-15,22.14,22.22
2016-07-18,22.0,22.16
2016-07-19,21.6,21.48
2016-07-20,21.2,21.22
2016-07-21,21.32,21.34
2016-07-22,21.34,21.48
2016-07-25,21.5,21.3
2016-07-26,21.4,21.7
2016-07-27,21.86,22.1
2016-07-28,22.3,22.26
2016-07-29,22.22,22.36
2016-08-01,22.32,22.14
2016-08-02,22.12,22.0
2016-08-03,21.82,22.14
2016-08-04,22.24,22.32
2016-08-05,22.36,22.54
2016-08-08,22.68,22.78
2016-08-09,22.84,22.8
2016-08-10,22.96,22.66
2016-08-11,22.72,22.86
2016-08-12,22.84,22.42
2016-08-15,22.3,22.58
2016-08-16,22.88,22.8
2016-08-17,22.74,22.78
2016-08-18,22.92,23.16
2016-08-19,22.88,22.84
2016-08-22,22.54,22.62
2016-08-23,22.76,22.74
2016-08-24,22.6,22.34
2016-08-25,22.2,22.28
2016-08-26,22.38,22.1
2016-08-29,22.02,22.36
2016-08-30,22.34,21.94
2016-08-31,21.7,21.58
2016-09-01,21.54,21.76
2016-09-02,22.08,22.12
2016-09-06,22.32,22.64
2016-09-07,22.68,22.58
2016-09-08,22.62,22.42
2016-09-09,22.32,21.84
2016-09-12,21.32,22.04
2016-09-13,21.64,21.12
2016-09-14,21.16,21.2
2016-09-15,21.24,21.54
2016-09-16,21.36,21.24
2016-09-19,21.9,21.6
2016-09-20,21.66,21.72
2016-09-21,21.92,22.44
2016-09-22,22.84,22.94
2016-09-23,22.72,22.86
2016-09-26,22.86,22.76
2016-09-27,22.56,22.86
2016-09-28,23.1,23.36
2016-09-29,23.32,23.36
2016-09-30,23.4,23.34
2016-10-03,23.52,23.32
2016-10-04,23.48,23.06
2016-10-05,23.08,23.38
2016-10-06,23.2,23.22
2016-10-07,23.46,23.32
2016-10-10,23.5,23.58
2016-10-11,23.44,23.08
2016-10-12,23.0,23.28
2016-10-13,22.62,22.7
2016-10-14,22.96,22.7
2016-10-17,22.94,22.84
2016-10-18,23.14,23.26
2016-10-19,23.3,23.5
2016-10-20,23.36,23.54
2016-10-21,23.4,23.62
2016-10-24,23.8,23.7
2016-10-25,23.92,24.04
2016-10-26,23.9,24.0
2016-10-27,24.0,23.84
2016-10-28,23.76,23.92
2016-10-31,24.04,24.14
2016-11-01,24.46,23.96
2016-11-02,23.8,23.76
2016-11-03,23.78,23.82
