Date,Open,Close
2015-12-31,80.87,80.23
2016-01-04,78.25,77.29
2016-01-05,77.43,77.33
2016-01-06,75.79,77.08
2016-01-07,75.27,74.09
2016-01-08,74.96,73.35
2016-01-11,73.88,73.14
2016-01-12,73.86,73.88
2016-01-13,74.52,70.99
2016-01-14,71.24,72.66
2016-01-15,70.19,70.11
2016-01-19,70.95,70.33
2016-01-20,68.78,69.85
2016-01-21,69.82,70.46
2016-01-22,71.49,71.65
2016-01-25,71.65,70.75
2016-01-26,71.19,71.05
2016-01-27,70.39,68.96
2016-01-28,70.57,70.28
2016-01-29,69.98,71.02
2016-02-01,70.77,71.43
2016-02-02,71.36,69.92
2016-02-03,70.09,68.57
2016-02-04,68.58,68.97
2016-02-05,68.69,65.37
2016-02-08,63.93,63.28
2016-02-09,62.07,62.9
2016-02-10,63.98,64.35
2016-02-11,63.54,64.48
2016-02-12,65.33,65.87
2016-02-16,66.98,68.21
2016-02-17,69.15,70.59
2016-02-18,71.07,69.97
2016-02-19,69.73,70.77
2016-02-22,71.55,72.08
2016-02-23,71.71,70.73
2016-02-24,69.69,71.32
2016-02-25,70.92,71.16
2016-02-26,72.16,71.88
2016-02-29,71.82,71.86
2016-03-01,72.39,73.5
2016-03-02,73.66,73.58
2016-03-03,73.56,73.72
2016-03-04,73.97,74.21
2016-03-07,73.63,73.15
2016-03-08,72.62,72.72
2016-03-09,72.62,72.55
2016-03-10,72.98,72.2
2016-03-11,72.94,74.24
2016-03-14,74.12,74.56
2016-03-15,74.05,73.86
2016-03-16,73.67,74.74
2016-03-17,74.71,74.8
2016-03-18,75.1,74.86
2016-03-21,74.76,75.15
2016-03-22,74.55,75.2
2016-03-23,75.01,74.33
2016-03-24,73.5,74.42
2016-03-28,74.57,74.17
2016-03-29,74.19,75.71
2016-03-30,76.08,75.96
2016-03-31,76.08,75.74
2016-04-01,75.11,76.09
2016-04-04,75.91,75.65
2016-04-05,74.97,74.91
2016-04-06,74.88,76.09
2016-04-07,75.54,75.07
2016-04-08,75.74,74.92
2016-04-11,75.38,74.58
2016-04-12,74.73,75.52
2016-04-13,76.21,77.32
2016-04-14,77.48,77.6
2016-04-15,77.39,77.46
2016-04-18,77.14,77.99
2016-04-19,77.87,76.95
2016-04-20,77.05,77.47
2016-04-21,77.72,77.36
2016-04-22,76.85,76.55
2016-04-25,76.24,76.16
2016-04-26,76.2,75.74
2016-04-27,75.3,75.51
2016-04-28,76.04,75.32
2016-04-29,76.63,76.44
2016-05-02,76.45,76.59
2016-05-03,76.05,75.57
2016-05-04,74.78,75.15
2016-05-05,75.53,74.79
2016-05-06,74.52,75.35
2016-05-09,75.04,74.88
2016-05-10,75.31,76.14
2016-05-11,75.8,75.66
2016-05-12,75.83,75.12
2016-05-13,75.03,74.97
2016-05-16,75.1,75.92
2016-05-17,75.91,75.38
2016-05-18,74.99,75.34
2016-05-19,74.96,74.66
2016-05-20,75.01,75.49
2016-05-23,75.47,75.3
2016-05-24,75.75,76.95
2016-05-25,77.1,77.11
2016-05-26,77.46,77.61
2016-05-27,77.72,78.72
2016-05-31,79.01,78.77
2016-06-01,78.5,78.46
2016-06-02,78.4,78.82
2016-06-03,78.56,78.26
2016-06-06,78.45,78.94
2016-06-07,79.06,78.58
2016-06-08,78.79,78.43
2016-06-09,77.9,78.25
2016-06-10,77.31,76.56
2016-06-13,76.16,76.03
2016-06-14,75.77,76.34
2016-06-15,76.62,76.25
2016-06-16,76.02,76.51
2016-06-17,76.56,75.62
2016-06-20,76.58,76.76
2016-06-21,76.86,76.76
2016-06-22,76.86,76.68
2016-06-23,77.37,77.99
2016-06-24,75.0,74.78
2016-06-27,74.0,72.45
2016-06-28,73.54,74.11
2016-06-29,74.87,75.74
2016-06-30,75.99,76.55
2016-07-01,76.86,77.16
2016-07-05,76.67,76.61
2016-07-06,75.99,76.81
2016-07-07,76.99,77.06
2016-07-08,77.45,78.05
2016-07-11,78.5,79.3
2016-07-12,79.82,79.8
2016-07-13,79.96,79.25
2016-07-14,79.94,79.8
2016-07-15,79.71,79.35
2016-07-18,79.28,80.23
2016-07-19,79.53,79.49
2016-07-20,79.81,80.38
2016-07-21,80.54,80.1
2016-07-22,80.07,80.44
2016-07-25,80.5,80.25
2016-07-26,80.59,81.15
2016-07-27,80.97,80.79
2016-07-28,81.18,81.32
2016-07-29,81.23,81.06
2016-08-01,80.99,81.78
2016-08-02,81.37,80.8
2016-08-03,80.61,81.02
2016-08-04,81.06,81.23
2016-08-05,82.13,82.6
2016-08-08,82.57,82.56
2016-08-09,82.62,82.97
2016-08-10,83.12,83.19
2016-08-11,83.51,83.94
2016-08-12,83.78,84.18
2016-08-15,84.44,84.8
2016-08-16,84.74,84.27
2016-08-17,84.05,84.04
2016-08-18,84.05,83.97
2016-08-19,83.86,84.09
2016-08-22,84.01,83.7
2016-08-23,84.05,84.05
2016-08-24,84.2,83.3
2016-08-25,83.45,83.75
2016-08-26,84.0,84.36
2016-08-29,84.35,84.53
2016-08-30,84.64,84.43
2016-08-31,84.35,84.63
2016-09-01,84.71,85.35
2016-09-02,85.87,85.74
2016-09-06,86.01,87.11
2016-09-07,87.26,86.97
2016-09-08,86.69,86.72
2016-09-09,85.9,84.66
2016-09-12,83.78,85.71
2016-09-13,85.08,84.58
2016-09-14,84.58,84.69
2016-09-15,84.52,85.63
2016-09-16,85.65,85.42
2016-09-19,86.07,85.51
2016-09-20,85.55,85.63
2016-09-21,85.89,86.68
