Date,Open,Close
2015-12-31,35.9,35.64
2016-01-04,35.23,35.24
2016-01-05,35.35,35.6
2016-01-06,35.22,35.26
2016-01-07,34.71,34.48
2016-01-08,34.59,34.1
2016-01-11,34.27,34.32
2016-01-12,34.51,34.6
2016-01-13,34.75,33.78
2016-01-14,33.86,33.92
2016-01-15,33.23,33.41
2016-01-19,33.65,33.32
2016-01-20,32.91,32.9
2016-01-21,32.99,32.74
2016-01-22,33.05,33.24
2016-01-25,33.2,32.8
2016-01-26,32.76,33.27
2016-01-27,32.91,32.43
2016-01-28,32.63,32.52
2016-01-29,32.72,33.31
2016-02-01,33.12,33.23
2016-02-02,32.86,32.42
2016-02-03,32.55,32.74
2016-02-04,32.74,33.04
2016-02-05,32.96,32.52
2016-02-08,32.19,32.1
2016-02-09,31.81,31.93
2016-02-10,32.11,32.01
2016-02-11,31.54,31.31
2016-02-12,31.49,31.65
2016-02-16,32.0,32.33
2016-02-17,32.52,32.89
2016-02-18,32.99,32.95
2016-02-19,32.86,32.98
2016-02-22,33.25,33.41
2016-02-23,33.35,33.32
2016-02-24,33.07,33.34
2016-02-25,33.46,33.75
2016-02-26,34.03,33.85
2016-02-29,33.84,33.73
2016-03-01,33.78,34.06
2016-03-02,34.08,34.22
2016-03-03,34.19,34.39
2016-03-04,34.34,34.49
2016-03-07,34.37,34.33
2016-03-08,34.15,34.01
2016-03-09,34.24,34.15
2016-03-10,34.25,33.96
2016-03-11,34.21,34.46
2016-03-14,34.25,34.34
2016-03-15,34.15,34.27
2016-03-16,34.2,34.57
2016-03-17,34.57,35.06
2016-03-18,35.13,35.34
2016-03-21,35.34,35.38
2016-03-22,35.24,35.39
2016-03-23,35.32,35.14
2016-03-24,34.97,34.96
2016-03-28,35.04,35.0
2016-03-29,34.92,35.42
2016-03-30,35.52,35.47
2016-03-31,35.43,35.32
2016-04-01,35.15,35.44
2016-04-04,35.43,35.28
2016-04-05,35.06,35.13
2016-04-06,35.12,35.49
2016-04-07,35.29,35.29
2016-04-08,35.48,35.38
2016-04-11,35.54,35.35
2016-04-12,35.32,35.55
2016-04-13,35.73,35.97
2016-04-14,36.0,35.89
2016-04-15,35.85,36.0
