Date,Open,Close
2015-12-31,25.36,25.23
2016-01-04,24.75,24.74
2016-01-05,24.77,24.65
2016-01-06,24.26,24.07
2016-01-07,23.5,23.39
2016-01-08,23.39,22.91
2016-01-11,23.13,23.08
2016-01-12,23.29,23.3
2016-01-13,23.26,22.61
2016-01-14,22.61,22.96
2016-01-15,21.98,22.04
2016-01-19,22.08,21.93
2016-01-20,21.64,22.26
2016-01-21,22.28,22.63
2016-01-22,22.81,23.08
2016-01-25,23.0,22.65
2016-01-26,23.0,22.93
2016-01-27,22.71,22.61
2016-01-28,22.87,22.82
2016-01-29,23.06,23.72
2016-02-01,23.6,23.83
2016-02-02,23.35,22.67
2016-02-03,22.5,22.73
2016-02-04,22.91,22.89
2016-02-05,23.01,22.22
2016-02-08,21.76,21.68
2016-02-09,21.87,21.66
2016-02-10,21.59,21.66
2016-02-11,21.11,21.38
2016-02-12,21.07,21.39
2016-02-16,21.43,22.1
2016-02-17,22.65,22.68
2016-02-18,22.92,22.71
2016-02-19,22.48,22.68
2016-02-22,23.06,23.12
2016-02-23,23.09,22.8
2016-02-24,22.48,23.09
2016-02-25,23.1,23.32
2016-02-26,23.5,23.46
2016-02-29,23.54,23.46
2016-03-01,23.74,24.01
2016-03-02,24.03,24.07
2016-03-03,24.13,24.27
2016-03-04,24.27,24.37
2016-03-07,24.3,24.45
2016-03-08,24.0,23.8
2016-03-09,23.95,24.05
2016-03-10,24.26,24.08
2016-03-11,24.29,24.55
2016-03-14,24.53,24.51
2016-03-15,24.34,24.35
2016-03-16,24.45,24.68
2016-03-17,24.61,24.94
2016-03-18,25.0,25.16
2016-03-21,25.18,25.24
2016-03-22,25.13,25.38
2016-03-23,25.35,25.13
2016-03-24,24.85,25.08
2016-03-28,25.08,25.11
2016-03-29,25.07,25.59
2016-03-30,25.74,25.84
2016-03-31,25.84,25.82
2016-04-01,25.71,25.95
2016-04-04,25.84,25.74
2016-04-05,25.59,25.57
2016-04-06,25.45,25.67
2016-04-07,25.37,25.35
2016-04-08,25.67,25.45
2016-04-11,25.66,25.41
2016-04-12,25.4,25.35
2016-04-13,25.46,25.84
2016-04-14,25.78,25.84
2016-04-15,25.83,25.66
2016-04-18,25.5,25.66
2016-04-19,25.53,25.28
2016-04-20,25.35,25.46
2016-04-21,25.38,25.32
2016-04-22,25.32,25.44
2016-04-25,25.36,25.29
2016-04-26,25.58,25.6
2016-04-27,25.76,25.87
2016-04-28,25.81,25.14
2016-04-29,25.0,24.43
2016-05-02,24.48,24.57
2016-05-03,24.74,24.56
2016-05-04,24.52,24.2
2016-05-05,24.32,24.21
2016-05-06,24.21,24.23
2016-05-09,24.14,24.24
2016-05-10,24.35,24.61
2016-05-11,24.51,24.66
2016-05-12,24.5,24.19
2016-05-13,24.22,24.29
2016-05-16,24.72,24.71
2016-05-17,24.54,24.38
2016-05-18,24.8,24.69
2016-05-19,24.72,24.43
2016-05-20,25.0,25.3
2016-05-23,25.25,25.55
2016-05-24,25.62,26.2
2016-05-25,26.35,26.29
2016-05-26,26.33,26.44
2016-05-27,26.42,26.69
2016-05-31,26.63,26.8
2016-06-01,26.66,26.92
2016-06-02,26.84,26.87
2016-06-03,26.96,26.86
2016-06-06,26.84,26.99
2016-06-07,27.11,27.18
2016-06-08,27.18,27.29
2016-06-09,27.13,27.35
2016-06-10,26.93,26.89
2016-06-13,26.8,26.83
2016-06-14,26.76,26.9
2016-06-15,26.91,26.99
2016-06-16,26.55,26.84
2016-06-17,26.75,26.58
2016-06-20,26.98,26.93
2016-06-21,26.93,26.96
2016-06-22,27.05,26.81
2016-06-23,27.03,27.34
2016-06-24,26.31,25.91
2016-06-27,25.67,24.7
2016-06-28,24.81,25.39
2016-06-29,25.79,25.83
2016-06-30,25.87,26.44
2016-07-01,26.25,26.3
2016-07-05,25.87,25.92
2016-07-06,25.69,25.92
2016-07-07,26.33,26.17
2016-07-08,26.31,27.01
2016-07-11,27.09,27.39
2016-07-12,27.49,27.8
