Date,Open,Close
2015-12-31,42.82,42.27
2016-01-04,41.64,41.02
2016-01-05,41.38,41.13
2016-01-06,40.65,40.97
2016-01-07,40.17,40.06
2016-01-08,40.23,39.48
2016-01-11,39.57,39.45
2016-01-12,39.83,40.05
2016-01-13,40.35,38.81
2016-01-14,38.81,39.49
2016-01-15,38.45,38.8
2016-01-19,39.14,38.58
2016-01-20,38.1,38.72
2016-01-21,38.79,38.38
2016-01-22,38.85,39.39
2016-01-25,39.33,38.85
2016-01-26,39.03,39.24
2016-01-27,39.04,38.29
2016-01-28,38.77,38.35
2016-01-29,38.43,38.93
2016-02-01,38.7,39.34
2016-02-02,38.94,38.2
2016-02-03,38.5,38.54
2016-02-04,38.48,38.57
2016-02-05,37.89,36.52
2016-02-08,36.08,35.69
2016-02-09,35.13,35.34
2016-02-10,35.74,35.97
2016-02-11,35.56,36.1
2016-02-12,36.42,36.78
2016-02-16,37.17,37.52
2016-02-17,37.77,38.5
2016-02-18,38.53,38.3
2016-02-19,38.25,38.67
2016-02-22,38.98,39.27
2016-02-23,39.14,38.76
2016-02-24,38.4,39.34
2016-02-25,39.59,39.74
2016-02-26,39.8,39.89
2016-02-29,39.84,39.75
2016-03-01,39.86,40.72
2016-03-02,40.67,40.7
2016-03-03,40.26,40.55
2016-03-04,40.46,40.54
2016-03-07,40.26,40.43
2016-03-08,40.09,40.02
2016-03-09,40.14,40.2
2016-03-10,40.4,39.8
2016-03-11,40.1,40.52
2016-03-14,40.29,40.68
2016-03-15,40.43,40.41
2016-03-16,40.33,40.63
2016-03-17,40.63,41.04
2016-03-18,41.05,41.17
2016-03-21,41.07,41.1
2016-03-22,40.82,41.0
2016-03-23,40.73,40.5
2016-03-24,40.31,40.47
2016-03-28,40.39,40.55
2016-03-29,40.87,41.69
2016-03-30,41.86,42.13
2016-03-31,42.05,42.18
2016-04-01,41.75,42.52
2016-04-04,42.47,42.34
2016-04-05,42.2,42.09
2016-04-06,41.89,42.26
2016-04-07,42.04,41.65
2016-04-08,41.93,41.74
2016-04-11,41.99,41.34
2016-04-12,41.17,41.22
2016-04-13,41.53,42.18
2016-04-14,41.98,42.09
2016-04-15,42.1,42.38
2016-04-18,42.68,42.88
2016-04-19,42.82,42.95
2016-04-20,43.12,43.21
2016-04-21,43.36,43.25
2016-04-22,43.0,42.96
2016-04-25,42.87,42.91
2016-04-26,42.95,42.97
2016-04-27,42.91,43.07
2016-04-28,43.11,42.43
2016-04-29,42.01,42.18
2016-05-02,42.45,42.66
2016-05-03,42.18,42.07
2016-05-04,41.98,41.97
2016-05-05,41.71,41.63
2016-05-06,41.42,41.74
2016-05-09,41.78,42.23
2016-05-10,42.13,42.46
2016-05-11,42.7,42.67
2016-05-12,42.75,42.66
2016-05-13,42.75,42.53
2016-05-16,42.92,43.22
2016-05-17,43.02,42.2
2016-05-18,42.96,42.85
2016-05-19,42.42,42.84
2016-05-20,43.09,42.99
2016-05-23,43.09,43.09
2016-05-24,43.42,44.08
2016-05-25,44.25,43.96
2016-05-26,43.77,44.01
2016-05-27,43.82,44.29
2016-05-31,44.27,44.17
2016-06-01,44.12,44.49
2016-06-02,44.18,44.51
2016-06-03,44.28,44.4
2016-06-06,44.48,44.67
2016-06-07,44.92,44.88
2016-06-08,44.9,45.06
2016-06-09,45.01,44.99
2016-06-10,44.53,44.34
2016-06-13,43.91,44.08
2016-06-14,43.85,44.0
2016-06-15,43.92,43.93
2016-06-16,43.49,43.98
2016-06-17,43.5,43.57
2016-06-20,44.09,44.28
2016-06-21,44.24,44.34
2016-06-22,44.18,43.87
2016-06-23,44.25,44.49
2016-06-24,42.94,42.75
2016-06-27,42.01,41.47
2016-06-28,41.98,42.43
2016-06-29,43.07,43.33
2016-06-30,43.78,44.14
2016-07-01,44.49,44.18
2016-07-05,44.06,44.08
2016-07-06,43.88,44.38
2016-07-07,44.75,44.73
2016-07-08,45.47,45.62
2016-07-11,45.69,46.07
2016-07-12,46.19,46.4
2016-07-13,46.53,46.2
2016-07-14,46.76,46.37
2016-07-15,46.31,46.37
2016-07-18,46.46,46.49
2016-07-19,46.34,46.23
2016-07-20,46.53,46.84
2016-07-21,46.89,46.3
2016-07-22,46.43,46.85
2016-07-25,46.83,46.9
2016-07-26,47.0,46.91
2016-07-27,46.91,46.89
2016-07-28,46.61,46.8
2016-07-29,46.73,46.88
2016-08-01,46.83,46.98
2016-08-02,46.83,46.37
2016-08-03,46.66,46.82
2016-08-04,47.05,47.07
2016-08-05,47.31,47.55
2016-08-08,47.36,47.38
2016-08-09,47.15,47.4
2016-08-10,47.31,47.34
2016-08-11,47.47,47.55
2016-08-12,47.42,47.6
2016-08-15,47.46,47.9
2016-08-16,47.43,47.41
2016-08-17,47.01,46.97
2016-08-18,47.22,47.27
2016-08-19,47.18,47.33
2016-08-22,47.18,47.4
2016-08-23,47.81,47.86
2016-08-24,47.69,47.64
2016-08-25,47.52,47.84
2016-08-26,47.97,47.74
2016-08-29,47.89,48.03
2016-08-30,47.95,47.92
2016-08-31,48.03,47.82
2016-09-01,48.02,48.0
2016-09-02,48.45,48.5
2016-09-06,48.57,48.53
2016-09-07,48.68,48.74
2016-09-08,48.51,48.41
2016-09-09,47.99,47.23
2016-09-12,46.74,47.65
2016-09-13,47.26,46.89
2016-09-14,46.82,46.94
2016-09-15,47.22,47.76
2016-09-16,47.43,47.34
2016-09-19,47.55,47.72
2016-09-20,47.63,47.66
2016-09-21,47.93,48.42
2016-09-22,48.7,48.84
2016-09-23,48.71,48.6
2016-09-26,48.27,48.18
2016-09-27,48.34,48.55
2016-09-28,48.56,48.85
2016-09-29,48.72,48.34
2016-09-30,48.34,48.61
2016-10-03,48.33,48.39
2016-10-04,48.54,48.29
2016-10-05,48.24,48.39
2016-10-06,48.02,48.35
2016-10-07,48.54,48.12
2016-10-10,48.76,48.63
2016-10-11,48.41,47.41
2016-10-12,47.35,47.42
2016-10-13,46.95,47.06
2016-10-14,47.4,47.02
2016-10-17,47.11,47.08
2016-10-18,47.35,47.37
2016-10-19,47.39,47.49
2016-10-20,47.18,47.31
2016-10-21,47.22,47.22
2016-10-24,47.43,47.77
2016-10-25,47.63,47.39
2016-10-26,47.07,46.89
2016-10-27,47.25,46.26
2016-10-28,46.88,46.74
2016-10-31,46.67,46.99
2016-11-01,46.87,46.46
2016-11-02,46.09,45.99
2016-11-03,46.02,45.89
2016-11-04,45.99,45.84
2016-11-07,46.48,46.81
2016-11-08,46.76,47.04
2016-11-09,45.92,47.35
2016-11-10,47.59,46.91
2016-11-11,46.95,47.6
2016-11-14,47.86,47.27
2016-11-15,47.53,47.5
2016-11-16,47.31,47.67
2016-11-17,47.89,48.11
2016-11-18,48.26,48.04
2016-11-21,48.19,48.34
2016-11-22,48.78,48.73
2016-11-23,48.9,48.87
2016-11-25,48.92,49.05
2016-11-28,48.84,48.77
2016-11-29,48.73,49.04
2016-11-30,49.0,48.06
2016-12-01,48.24,46.39
2016-12-02,46.61,46.65
2016-12-05,47.3,47.39
2016-12-06,47.48,47.42
2016-12-07,47.44,48.0
2016-12-08,47.95,48.39
2016-12-09,48.49,48.14
2016-12-12,48.11,47.95
2016-12-13,48.2,48.05
2016-12-14,47.87,47.64
2016-12-15,48.15,48.05
2016-12-16,48.01,47.69
2016-12-19,47.85,48.16
2016-12-20,48.15,48.1
2016-12-21,48.19,48.0
2016-12-22,47.54,47.32
2016-12-23,47.36,47.55
2016-12-27,47.69,47.87
2016-12-28,47.84,47.32
2016-12-29,47.39,47.5
2016-12-30,47.7,47.18
2017-01-03,47.6,47.5
2017-01-04,47.72,48.14
2017-01-05,48.15,48.03
2017-01-06,48.01,48.21
2017-01-09,48.05,48.44
2017-01-10,48.5,48.8
2017-01-11,48.67,49.04
2017-01-12,48.32,48.79
2017-01-13,49.28,49.22
2017-01-17,48.98,48.55
2017-01-18,48.34,48.54
2017-01-19,48.79,48.54
2017-01-20,48.55,48.64
2017-01-23,48.44,48.44
2017-01-24,48.55,49.25
2017-01-25,49.4,49.35
2017-01-26,49.46,48.88
2017-01-27,49.04,49.09
2017-01-30,48.87,48.76
2017-01-31,48.71,49.03
2017-02-01,48.76,48.85
2017-02-02,48.76,49.03
2017-02-03,49.27,49.44
2017-02-06,49.4,49.31
2017-02-07,49.48,49.35
2017-02-08,49.3,49.15
2017-02-09,49.4,49.73
2017-02-10,50.15,50.47
2017-02-13,50.64,50.55
2017-02-14,50.44,50.52
2017-02-15,50.57,50.9
2017-02-16,51.01,51.09
2017-02-17,51.0,51.12
2017-02-21,51.29,51.41
2017-02-22,51.2,51.35
2017-02-23,51.39,50.73
2017-02-24,50.52,50.94
2017-02-27,50.9,50.97
2017-02-28,50.96,50.49
2017-03-01,50.94,51.28
2017-03-02,51.13,50.72
2017-03-03,50.72,50.83
2017-03-06,50.5,50.53
