Date,Open,Close
2015-12-31,21.55,21.91
2016-01-04,21.73,21.93
2016-01-05,21.9,22.06
2016-01-06,21.49,20.82
2016-01-07,20.42,20.48
2016-01-08,20.64,20.23
2016-01-11,20.28,19.75
2016-01-12,20.04,19.55
2016-01-13,19.76,18.63
2016-01-14,18.78,19.36
2016-01-15,18.61,18.63
2016-01-19,18.79,17.91
2016-01-20,17.59,17.67
2016-01-21,17.55,18.41
2016-01-22,19.09,19.36
2016-01-25,18.97,18.11
2016-01-26,18.36,18.83
2016-01-27,18.7,18.7
2016-01-28,19.49,19.4
2016-01-29,19.46,20.11
2016-02-01,19.78,19.66
2016-02-02,19.01,18.77
2016-02-03,19.11,19.2
2016-02-04,19.28,19.16
2016-02-05,18.74,18.15
2016-02-08,17.77,17.61
2016-02-09,17.25,17.13
2016-02-10,17.16,17.08
2016-02-11,16.66,16.52
2016-02-12,17.05,17.05
2016-02-16,17.4,17.01
2016-02-17,17.0,17.55
2016-02-18,17.66,16.76
2016-02-19,16.5,16.42
2016-02-22,16.81,17.12
2016-02-23,16.78,16.34
2016-02-24,16.02,16.73
2016-02-25,16.62,16.62
2016-02-26,16.91,16.91
2016-02-29,16.95,16.76
2016-03-01,16.84,16.95
2016-03-02,16.94,17.52
2016-03-03,17.55,18.48
2016-03-04,18.77,18.87
2016-03-07,18.98,19.49
2016-03-08,19.34,18.41
2016-03-09,18.75,19.23
2016-03-10,18.97,19.08
2016-03-11,19.42,19.95
2016-03-14,19.44,19.57
2016-03-15,19.26,19.59
2016-03-16,19.81,20.31
2016-03-17,20.43,20.66
2016-03-18,20.81,20.39
2016-03-21,20.38,20.49
2016-03-22,20.26,20.67
2016-03-23,20.43,19.62
2016-03-24,19.19,19.84
2016-03-28,19.9,19.55
2016-03-29,19.26,19.73
2016-03-30,20.01,19.76
2016-03-31,19.62,20.01
2016-04-01,19.61,19.65
2016-04-04,19.62,19.48
2016-04-05,19.4,19.34
2016-04-06,19.57,19.91
2016-04-07,19.74,19.87
2016-04-08,20.27,20.6
2016-04-11,20.8,20.52
2016-04-12,20.66,21.69
2016-04-13,21.7,21.6
2016-04-14,21.58,21.6
2016-04-15,21.35,21.12
2016-04-18,20.32,21.24
2016-04-19,21.41,21.56
2016-04-20,21.45,21.86
2016-04-21,21.99,21.7
2016-04-22,21.88,22.45
2016-04-25,22.4,22.31
2016-04-26,22.59,22.97
2016-04-27,23.25,23.57
2016-04-28,23.34,22.79
2016-04-29,22.9,22.46
2016-05-02,22.5,22.26
2016-05-03,21.43,21.27
2016-05-04,21.34,20.73
2016-05-05,21.3,21.08
2016-05-06,20.81,20.88
2016-05-09,20.68,20.39
2016-05-10,20.31,21.12
2016-05-11,21.06,21.42
2016-05-12,21.55,21.08
2016-05-13,20.99,20.82
2016-05-16,21.12,21.28
2016-05-17,21.5,21.56
2016-05-18,21.72,21.46
2016-05-19,20.96,21.14
2016-05-20,21.06,21.3
2016-05-23,21.1,21.25
2016-05-24,21.38,21.32
2016-05-25,21.51,21.95
2016-05-26,22.0,21.74
2016-05-27,21.55,21.7
2016-05-31,22.11,21.84
2016-06-01,21.62,22.16
2016-06-02,21.97,22.22
2016-06-03,22.25,21.98
2016-06-06,22.16,22.29
2016-06-07,22.61,22.79
2016-06-08,22.94,22.59
2016-06-09,22.31,22.44
2016-06-10,22.0,21.65
2016-06-13,21.4,21.27
2016-06-14,21.0,21.19
2016-06-15,21.11,21.42
2016-06-16,21.03,20.88
2016-06-17,19.91,19.88
2016-06-20,20.19,20.18
2016-06-21,20.05,20.53
2016-06-22,20.46,20.29
2016-06-23,20.51,20.66
2016-06-24,19.58,19.88
2016-06-27,19.62,19.03
2016-06-28,19.48,19.77
2016-06-29,20.02,20.12
2016-06-30,20.09,20.11
2016-07-01,20.11,20.39
2016-07-05,19.93,19.69
2016-07-06,19.48,19.61
2016-07-07,19.83,19.32
2016-07-08,19.51,19.62
2016-07-11,19.63,19.78
2016-07-12,19.88,20.31
2016-07-13,20.11,19.9
2016-07-14,20.16,19.94
2016-07-15,19.98,19.82
2016-07-18,19.69,19.91
2016-07-19,19.75,19.73
2016-07-20,19.53,19.71
2016-07-21,19.62,19.44
2016-07-22,19.53,19.42
2016-07-25,19.2,19.12
2016-07-26,19.01,19.55
2016-07-27,19.65,19.21
2016-07-28,19.27,19.39
2016-07-29,19.13,19.76
2016-08-01,19.6,19.13
2016-08-02,19.26,19.33
2016-08-03,19.34,20.0
2016-08-04,19.88,19.9
2016-08-05,19.93,20.27
2016-08-08,20.42,20.54
2016-08-09,20.6,20.21
2016-08-10,20.17,19.98
2016-08-11,20.17,20.42
2016-08-12,20.45,20.67
2016-08-15,20.75,20.96
2016-08-16,20.96,20.98
2016-08-17,20.93,20.99
2016-08-18,21.14,21.35
2016-08-19,21.25,21.33
2016-08-22,20.88,20.91
2016-08-23,20.81,21.18
2016-08-24,21.05,21.1
2016-08-25,21.04,21.07
2016-08-26,21.18,21.11
2016-08-29,21.12,21.34
2016-08-30,21.39,21.34
2016-08-31,21.26,20.97
2016-09-01,20.95,20.81
2016-09-02,21.03,21.07
2016-09-06,21.1,21.39
2016-09-07,21.49,21.55
2016-09-08,21.76,22.01
2016-09-09,21.76,21.56
2016-09-12,21.35,21.84
2016-09-13,21.47,21.27
2016-09-14,21.1,20.78
2016-09-15,21.1,21.19
2016-09-16,20.94,21.05
2016-09-19,21.13,21.13
2016-09-20,21.06,20.81
2016-09-21,21.16,21.13
2016-09-22,21.36,21.33
2016-09-23,21.34,20.97
2016-09-26,20.97,20.79
2016-09-27,20.45,20.41
2016-09-28,20.62,21.28
2016-09-29,21.31,21.1
