Date,Open,Close
2015-12-31,11.7,11.83
2016-01-04,11.76,11.9
2016-01-05,11.86,11.57
2016-01-06,11.29,11.04
2016-01-07,10.73,10.66
2016-01-08,10.77,10.46
2016-01-11,10.5,10.09
2016-01-12,10.36,10.06
2016-01-13,10.2,9.69
2016-01-14,9.79,10.08
2016-01-15,9.4,9.7
2016-01-19,9.74,9.42
2016-01-20,9.26,9.15
2016-01-21,9.1,9.54
2016-01-22,9.85,9.78
2016-01-25,9.59,9.23
2016-01-26,9.46,9.55
2016-01-27,9.51,9.66
2016-01-28,10.09,9.99
2016-01-29,10.08,10.4
2016-02-01,10.22,10.12
2016-02-02,9.86,9.62
2016-02-03,9.54,9.92
2016-02-04,10.04,10.31
2016-02-05,10.37,10.15
2016-02-08,9.91,9.95
2016-02-09,9.79,9.48
2016-02-10,9.41,9.28
2016-02-11,9.15,9.2
2016-02-12,9.35,9.5
2016-02-16,9.69,9.66
2016-02-17,9.83,10.13
2016-02-18,10.22,10.03
2016-02-19,9.94,9.93
2016-02-22,10.2,10.33
2016-02-23,10.19,9.97
2016-02-24,9.69,9.95
2016-02-25,10.0,9.9
2016-02-26,10.11,10.31
2016-02-29,10.35,10.41
2016-03-01,10.49,10.54
2016-03-02,10.43,10.91
2016-03-03,10.9,11.48
2016-03-04,11.61,12.23
2016-03-07,12.11,12.51
2016-03-08,12.4,11.6
2016-03-09,11.72,11.58
2016-03-10,11.39,11.54
2016-03-11,11.86,12.09
2016-03-14,11.76,11.87
2016-03-15,11.49,11.68
2016-03-16,11.9,11.91
2016-03-17,12.08,12.28
2016-03-18,12.48,12.0
2016-03-21,11.91,12.04
2016-03-22,11.8,11.85
2016-03-23,11.75,11.42
2016-03-24,11.34,11.53
2016-03-28,11.49,11.51
2016-03-29,11.27,11.47
2016-03-30,11.57,11.41
2016-03-31,11.65,11.66
2016-04-01,11.6,11.28
2016-04-04,11.24,11.09
2016-04-05,11.0,11.05
2016-04-06,11.0,11.25
2016-04-07,11.19,10.95
2016-04-08,11.26,11.33
2016-04-11,11.4,11.42
2016-04-12,11.44,11.93
2016-04-13,11.96,12.17
2016-04-14,12.22,11.97
2016-04-15,11.81,11.86
2016-04-18,11.52,12.1
2016-04-19,12.37,12.56
2016-04-20,12.5,12.63
2016-04-21,12.67,12.57
2016-04-22,12.59,12.84
2016-04-25,12.82,12.48
2016-04-26,12.37,12.58
2016-04-27,12.68,13.0
2016-04-28,12.97,12.96
2016-04-29,13.17,13.21
2016-05-02,13.21,13.0
2016-05-03,12.79,12.54
2016-05-04,12.62,12.25
2016-05-05,12.52,12.04
2016-05-06,12.01,12.22
2016-05-09,12.14,11.72
2016-05-10,11.78,11.98
2016-05-11,11.79,12.03
2016-05-12,11.99,11.93
2016-05-13,11.79,11.65
2016-05-16,12.01,11.92
2016-05-17,11.99,12.09
2016-05-18,12.09,11.71
2016-05-19,11.52,11.54
2016-05-20,11.5,11.7
2016-05-23,11.57,11.65
2016-05-24,11.57,11.68
2016-05-25,12.07,12.18
2016-05-26,12.11,11.96
2016-05-27,11.95,12.05
2016-05-31,12.1,12.08
2016-06-01,11.89,11.95
2016-06-02,11.75,11.79
2016-06-03,11.83,11.84
2016-06-06,12.28,12.77
2016-06-07,12.94,13.15
2016-06-08,13.35,13.29
2016-06-09,13.14,13.07
2016-06-10,12.82,12.52
2016-06-13,12.38,12.36
2016-06-14,12.36,12.25
2016-06-15,12.23,12.43
2016-06-16,12.09,11.94
2016-06-17,12.36,12.42
2016-06-20,12.61,12.4
2016-06-21,12.29,12.48
2016-06-22,12.58,12.45
2016-06-23,12.61,12.78
2016-06-24,12.13,12.15
2016-06-27,12.02,11.3
2016-06-28,11.66,11.73
2016-06-29,11.93,12.03
2016-06-30,12.03,12.17
2016-07-01,12.14,12.58
2016-07-05,12.31,11.86
2016-07-06,11.78,11.78
2016-07-07,11.81,11.7
2016-07-08,11.92,11.95
2016-07-11,11.98,11.84
2016-07-12,12.1,12.49
2016-07-13,12.46,12.08
2016-07-14,12.11,12.15
2016-07-15,12.17,12.07
2016-07-18,12.0,12.06
2016-07-19,12.06,11.87
2016-07-20,11.78,11.92
