Date,Open,Close
2015-12-31,24.43,24.2
2016-01-04,23.94,23.93
2016-01-05,23.9,23.79
2016-01-06,23.49,23.22
2016-01-07,22.98,22.75
2016-01-08,22.75,22.4
2016-01-11,22.43,22.23
2016-01-12,22.43,22.31
2016-01-13,22.42,21.93
2016-01-14,21.88,22.0
2016-01-15,21.48,21.36
2016-01-19,21.66,21.46
2016-01-20,21.04,21.14
2016-01-21,21.1,21.11
2016-01-22,21.38,21.7
2016-01-25,21.76,21.48
2016-01-26,21.49,21.84
2016-01-27,21.79,21.72
2016-01-28,22.0,21.72
2016-01-29,21.7,21.98
2016-02-01,21.86,21.98
2016-02-02,21.79,21.55
2016-02-03,21.6,21.59
2016-02-04,21.7,21.81
2016-02-05,21.74,21.55
2016-02-08,21.26,21.13
2016-02-09,20.87,21.09
2016-02-10,21.07,20.91
2016-02-11,20.66,20.75
2016-02-12,20.6,20.86
2016-02-16,21.24,21.44
2016-02-17,21.81,22.16
2016-02-18,22.21,22.23
2016-02-19,22.15,22.25
2016-02-22,22.28,22.45
2016-02-23,22.21,22.09
2016-02-24,21.79,22.22
2016-02-25,22.28,22.4
2016-02-26,22.49,22.59
2016-02-29,22.62,22.6
2016-03-01,22.73,22.86
2016-03-02,22.81,22.99
2016-03-03,23.1,23.26
2016-03-04,23.48,23.64
2016-03-07,23.67,23.87
2016-03-08,23.84,23.5
2016-03-09,23.51,23.52
2016-03-10,23.66,23.41
2016-03-11,23.67,23.88
2016-03-14,23.98,24.12
2016-03-15,23.83,23.71
2016-03-16,23.56,23.92
2016-03-17,23.85,24.21
2016-03-18,24.32,24.42
2016-03-21,24.5,24.47
2016-03-22,24.42,24.49
2016-03-23,24.47,24.16
2016-03-24,24.01,24.12
2016-03-28,24.08,24.0
2016-03-29,23.95,24.55
2016-03-30,24.43,24.66
2016-03-31,24.65,24.62
2016-04-01,24.38,24.48
2016-04-04,24.41,24.4
2016-04-05,24.11,23.97
2016-04-06,24.09,24.25
2016-04-07,24.1,23.87
2016-04-08,24.32,24.38
2016-04-11,24.7,24.44
2016-04-12,24.74,24.8
2016-04-13,25.03,25.41
2016-04-14,25.31,25.4
2016-04-15,25.46,25.32
2016-04-18,25.26,25.4
2016-04-19,25.54,25.54
2016-04-20,25.34,25.67
2016-04-21,25.4,25.4
2016-04-22,25.53,25.5
2016-04-25,25.57,25.3
2016-04-26,25.48,25.34
2016-04-27,25.49,25.45
2016-04-28,25.48,24.99
2016-04-29,24.73,24.75
2016-05-02,25.02,24.99
2016-05-03,24.9,24.67
2016-05-04,24.52,24.45
2016-05-05,24.4,24.43
2016-05-06,24.48,24.56
2016-05-09,24.65,24.46
2016-05-10,24.46,24.69
2016-05-11,24.53,24.61
2016-05-12,24.69,24.54
2016-05-13,24.27,24.14
2016-05-16,24.42,24.53
2016-05-17,24.53,24.27
2016-05-18,24.37,24.44
2016-05-19,24.35,24.21
2016-05-20,24.38,24.36
2016-05-23,24.43,24.6
2016-05-24,24.7,24.87
2016-05-25,25.01,25.02
2016-05-26,25.18,25.14
2016-05-27,25.15,25.15
2016-05-31,25.61,25.34
2016-06-01,25.55,25.43
2016-06-02,25.27,25.43
2016-06-03,25.41,25.53
2016-06-06,25.5,25.82
2016-06-07,25.9,25.93
2016-06-08,26.0,26.07
2016-06-09,25.98,25.84
2016-06-10,25.68,25.38
2016-06-13,25.25,25.1
2016-06-14,24.87,24.76
2016-06-15,24.91,24.88
2016-06-16,24.66,24.73
2016-06-17,24.85,24.93
2016-06-20,25.3,25.4
2016-06-21,25.58,25.56
2016-06-22,25.48,25.48
2016-06-23,25.76,25.96
2016-06-24,24.83,24.68
2016-06-27,24.5,23.9
2016-06-28,24.24,24.4
2016-06-29,24.65,24.78
2016-06-30,24.8,25.04
2016-07-01,25.04,25.11
2016-07-05,25.09,24.68
2016-07-06,24.63,24.67
2016-07-07,24.76,24.65
2016-07-08,24.75,25.0
2016-07-11,25.24,25.39
2016-07-12,25.65,25.76
2016-07-13,25.74,25.79
2016-07-14,25.96,25.79
2016-07-15,25.72,25.73
2016-07-18,25.72,25.85
2016-07-19,25.8,25.69
2016-07-20,25.93,26.06
2016-07-21,25.94,25.9
2016-07-22,25.83,25.95
2016-07-25,26.01,25.88
2016-07-26,25.9,25.91
2016-07-27,25.95,26.19
2016-07-28,26.21,26.24
2016-07-29,26.12,26.41
2016-08-01,26.29,26.31
2016-08-02,26.5,26.22
2016-08-03,26.12,26.26
2016-08-04,26.39,26.46
2016-08-05,26.49,26.63
2016-08-08,26.7,26.65
2016-08-09,26.78,26.93
2016-08-10,27.0,26.77
2016-08-11,26.77,27.0
2016-08-12,27.13,27.01
2016-08-15,27.08,27.26
2016-08-16,27.3,27.11
2016-08-17,27.12,26.99
2016-08-18,27.04,27.12
2016-08-19,27.12,27.26
2016-08-22,27.08,27.18
2016-08-23,27.3,27.25
2016-08-24,27.28,27.1
2016-08-25,27.17,27.13
2016-08-26,27.05,27.1
2016-08-29,27.23,27.24
2016-08-30,27.24,27.25
2016-08-31,27.2,26.9
2016-09-01,26.86,27.05
2016-09-02,27.21,27.16
2016-09-06,27.59,27.63
2016-09-07,27.86,27.74
2016-09-08,27.93,27.84
2016-09-09,27.74,27.23
2016-09-12,27.03,27.35
2016-09-13,27.34,27.0
2016-09-14,27.13,26.96
2016-09-15,26.94,27.2
2016-09-16,27.06,27.01
2016-09-19,27.07,27.31
2016-09-20,27.54,27.39
2016-09-21,27.46,27.85
2016-09-22,28.0,28.19
2016-09-23,28.18,28.07
2016-09-26,27.91,27.81
2016-09-27,27.75,28.0
2016-09-28,28.15,28.35
2016-09-29,28.52,28.25
2016-09-30,28.26,28.39
2016-10-03,28.99,28.29
2016-10-04,28.4,28.15
2016-10-05,28.28,28.33
2016-10-06,28.11,28.21
2016-10-07,28.17,28.16
2016-10-10,28.49,28.22
2016-10-11,28.23,27.76
2016-10-12,27.89,27.72
2016-10-13,27.45,27.48
2016-10-14,27.42,27.46
2016-10-17,27.5,27.47
2016-10-18,27.69,27.63
2016-10-19,27.41,27.61
2016-10-20,27.75,27.69
2016-10-21,27.68,27.75
2016-10-24,27.85,27.78
2016-10-25,27.79,27.6
2016-10-26,27.62,27.73
2016-10-27,27.88,27.6
2016-10-28,27.86,27.54
2016-10-31,27.56,27.6
2016-11-01,27.6,27.32
2016-11-02,27.17,27.05
2016-11-03,26.91,26.94
2016-11-04,26.98,26.93
2016-11-07,27.35,27.45
2016-11-08,27.48,27.42
2016-11-09,27.05,27.58
2016-11-10,27.8,27.81
2016-11-11,27.81,28.09
2016-11-14,28.14,28.1
2016-11-15,28.19,28.25
2016-11-16,28.13,28.07
2016-11-17,28.25,28.3
2016-11-18,28.42,28.3
2016-11-21,28.36,28.36
2016-11-22,28.36,28.42
2016-11-23,28.43,28.51
2016-11-25,28.52,28.41
2016-11-28,28.53,28.44
2016-11-29,28.33,28.42
2016-11-30,28.33,28.37
2016-12-01,28.49,28.19
2016-12-02,28.05,28.15
2016-12-05,28.15,28.38
2016-12-06,28.55,28.62
2016-12-07,28.73,28.88
2016-12-08,28.85,29.16
2016-12-09,29.27,29.14
2016-12-12,29.17,28.95
2016-12-13,28.86,29.13
2016-12-14,28.97,28.79
2016-12-15,28.94,28.92
2016-12-16,29.09,28.63
2016-12-19,28.73,28.74
2016-12-20,28.79,28.74
2016-12-21,28.76,28.7
2016-12-22,28.69,28.65
2016-12-23,28.76,28.63
2016-12-27,28.77,28.79
2016-12-28,28.99,28.63
2016-12-29,28.63,28.65
2016-12-30,28.65,28.65
2017-01-03,28.94,28.99
2017-01-04,29.06,29.28
2017-01-05,29.37,29.26
2017-01-06,29.35,29.35
2017-01-09,29.34,29.43
2017-01-10,29.32,29.36
2017-01-11,29.55,29.55
2017-01-12,29.75,29.53
2017-01-13,29.63,29.71
2017-01-17,29.83,29.42
2017-01-18,29.5,29.52
2017-01-19,29.65,29.59
2017-01-20,29.86,29.88
2017-01-23,29.91,29.74
2017-01-24,29.91,30.09
2017-01-25,30.45,30.73
2017-01-26,30.8,30.53
2017-01-27,30.61,30.5
2017-01-30,30.56,30.33
2017-01-31,30.37,30.48
2017-02-01,30.75,30.79
2017-02-02,30.78,30.74
2017-02-03,30.91,30.97
2017-02-06,30.88,30.76
2017-02-07,30.88,30.72
2017-02-08,30.81,30.8
2017-02-09,30.85,30.95
2017-02-10,31.03,31.09
2017-02-13,31.33,31.27
2017-02-14,31.35,31.41
2017-02-15,31.35,31.5
2017-02-16,31.77,31.46
2017-02-17,31.49,31.6
2017-02-21,31.83,31.89
2017-02-22,31.88,31.84
2017-02-23,32.03,31.75
2017-02-24,31.56,31.54
2017-02-27,31.62,31.6
2017-02-28,31.72,31.37
2017-03-01,31.71,31.95
2017-03-02,31.9,31.67
2017-03-03,31.66,31.7
2017-03-06,31.72,31.54
2017-03-07,31.57,31.48
2017-03-08,31.61,31.54
2017-03-09,31.5,31.42
2017-03-10,31.83,31.7
2017-03-13,31.77,31.86
2017-03-14,31.78,31.61
2017-03-15,31.65,32.01
2017-03-16,32.14,32.03
2017-03-17,32.18,32.23
2017-03-20,32.23,32.23
2017-03-21,32.41,31.77
2017-03-22,31.71,31.73
2017-03-23,31.73,31.86
2017-03-24,31.89,31.9
2017-03-27,31.73,31.93
2017-03-28,31.98,32.13
2017-03-29,32.15,32.18
2017-03-30,32.15,32.27
2017-03-31,32.14,32.2
2017-04-03,32.28,32.1
2017-04-04,31.91,31.91
2017-04-05,32.03,31.76
2017-04-06,31.8,31.9
2017-04-07,31.94,31.91
2017-04-10,31.96,31.92
2017-04-11,31.73,31.86
2017-04-12,31.82,31.57
2017-04-13,31.51,31.25
2017-04-17,31.36,31.46
2017-04-18,31.42,31.51
2017-04-19,31.69,31.7
2017-04-20,31.89,32.06
2017-04-21,32.05,31.98
2017-04-24,32.42,32.48
2017-04-25,32.71,32.88
2017-04-26,32.99,33.09
2017-04-27,33.15,33.19
2017-04-28,33.06,33.13
2017-05-01,33.27,33.35
2017-05-02,33.38,33.41
2017-05-03,33.35,33.35
2017-05-04,33.42,33.39
2017-05-05,33.45,33.61
2017-05-08,33.67,33.65
2017-05-09,33.69,33.72
2017-05-10,33.85,33.93
2017-05-11,33.94,33.95
2017-05-12,34.02,34.02
2017-05-15,34.03,34.33
2017-05-16,34.33,34.49
2017-05-17,34.37,33.85
2017-05-18,33.74,33.96
2017-05-19,34.26,34.37
2017-05-22,34.58,34.72
2017-05-23,34.78,34.68
2017-05-24,34.67,34.62
2017-05-25,34.85,34.75
2017-05-26,34.72,34.7
2017-05-30,34.65,34.66
2017-05-31,34.76,34.58
2017-06-01,34.82,34.99
2017-06-02,35.31,35.43
2017-06-05,35.46,35.5
2017-06-06,35.41,35.37
2017-06-07,35.44,35.35
2017-06-08,35.22,35.47
2017-06-09,35.5,35.0
2017-06-12,34.79,34.63
2017-06-13,34.78,34.84
2017-06-14,35.0,34.74
2017-06-15,34.22,34.39
2017-06-16,34.47,34.56
2017-06-19,34.81,35.0
2017-06-20,35.13,34.81
2017-06-21,34.9,34.81
2017-06-22,34.83,34.84
2017-06-23,34.87,34.88
2017-06-26,35.04,34.8
2017-06-27,34.83,34.51
2017-06-28,34.35,34.69
2017-06-29,34.66,34.25
2017-06-30,34.28,34.28
2017-07-03,34.34,34.11
2017-07-05,34.11,34.15
2017-07-06,34.08,33.82
2017-07-07,33.88,34.15
2017-07-10,34.18,34.37
2017-07-11,34.47,34.61
2017-07-12,34.91,35.01
2017-07-13,35.09,35.02
2017-07-14,35.12,35.36
2017-07-17,35.37,35.29
2017-07-18,35.3,35.37
2017-07-19,35.4,35.7
2017-07-20,35.8,35.69
2017-07-21,35.81,35.78
2017-07-24,35.82,35.92
2017-07-25,35.97,35.98
2017-07-26,36.14,36.08
2017-07-27,36.31,36.22
2017-07-28,36.1,36.18
2017-07-31,36.2,36.28
2017-08-01,36.52,36.45
2017-08-02,36.66,36.44
2017-08-03,36.27,36.09
2017-08-04,36.2,36.09
2017-08-07,36.3,36.35
2017-08-08,36.34,36.23
2017-08-09,36.09,36.1
2017-08-10,35.94,35.4
2017-08-11,35.4,35.51
2017-08-14,35.7,35.88
2017-08-15,35.92,35.86
2017-08-16,36.04,35.99
2017-08-17,36.11,35.73
2017-08-18,35.7,35.68
2017-08-21,35.76,35.58
2017-08-22,35.8,36.08
2017-08-23,36.07,36.12
2017-08-24,36.15,36.0
2017-08-25,36.08,36.1
2017-08-28,36.28,36.2
2017-08-29,36.13,36.24
2017-08-30,36.31,36.5
2017-08-31,36.64,36.84
2017-09-01,36.98,36.92
2017-09-05,36.78,36.64
2017-09-06,36.86,36.87
2017-09-07,37.15,37.18
2017-09-08,37.26,37.17
2017-09-11,37.51,37.77
2017-09-12,38.0,38.01
2017-09-13,38.06,38.0
2017-09-14,37.87,38.07
2017-09-15,38.16,38.22
2017-09-18,38.4,38.57
2017-09-19,38.69,38.7
2017-09-20,38.79,38.7
2017-09-21,38.44,38.41
2017-09-22,38.39,38.44
2017-09-25,38.44,38.23
2017-09-26,38.07,38.04
2017-09-27,38.16,38.34
2017-09-28,38.42,38.47
2017-09-29,38.57,38.68
2017-10-02,38.81,38.92
2017-10-03,38.92,39.08
2017-10-04,39.04,39.08
2017-10-05,39.12,39.03
2017-10-06,38.84,38.95
2017-10-09,39.09,39.03
2017-10-10,39.29,39.24
2017-10-11,39.3,39.41
2017-10-12,39.43,39.47
2017-10-13,39.77,39.77
2017-10-16,39.85,39.76
2017-10-17,39.76,39.73
2017-10-18,39.71,39.74
2017-10-19,39.53,39.5
2017-10-20,39.65,39.7
2017-10-23,39.9,39.77
2017-10-24,39.79,39.83
2017-10-25,39.84,39.62
2017-10-26,39.66,39.69
2017-10-27,39.82,40.14
2017-10-30,40.18,40.1
2017-10-31,40.43,40.67
2017-11-01,40.65,40.49
2017-11-02,40.49,40.51
2017-11-03,40.51,40.71
2017-11-06,40.76,40.98
2017-11-07,41.15,40.96
2017-11-08,41.12,41.08
2017-11-09,40.77,40.62
2017-11-10,40.51,40.64
2017-11-13,40.46,40.49
2017-11-14,40.5,40.57
2017-11-15,40.21,40.2
2017-11-16,40.57,40.9
2017-11-17,41.04,41.0
2017-11-20,41.2,41.42
2017-11-21,41.88,42.11
2017-11-22,42.46,42.25
2017-11-24,42.53,42.59
2017-11-27,42.56,42.36
2017-11-28,42.47,42.54
2017-11-29,42.4,41.69
2017-11-30,41.67,41.69
2017-12-01,41.68,41.57
2017-12-04,41.6,40.79
2017-12-05,40.61,40.48
2017-12-06,40.27,40.27
2017-12-07,40.34,40.63
2017-12-08,40.88,40.79
2017-12-11,40.86,40.7
2017-12-12,40.61,40.64
2017-12-13,40.49,40.46
2017-12-14,40.64,40.27
2017-12-15,40.48,40.39
2017-12-18,40.83,41.08
2017-12-19,41.1,40.99
2017-12-20,41.09,41.01
2017-12-21,41.12,41.25
2017-12-22,41.36,41.35
2017-12-26,41.11,41.28
2017-12-27,41.28,41.34
2017-12-28,41.49,41.44
2017-12-29,41.55,41.32
2018-01-02,41.32,41.74
2018-01-03,41.9,42.37
2018-01-04,42.9,43.0
2018-01-05,43.24,43.41
2018-01-08,43.38,43.61
2018-01-09,43.66,43.7
2018-01-10,43.57,43.52
2018-01-11,43.73,44.02
2018-01-12,44.3,44.62
2018-01-16,45.14,44.9
2018-01-17,45.18,45.32
2018-01-18,45.27,45.29
2018-01-19,45.62,45.83
2018-01-22,45.86,46.02
2018-01-23,45.98,46.16
2018-01-24,46.1,45.8
2018-01-25,45.84,45.58
2018-01-26,45.89,46.12
2018-01-29,45.91,45.72
2018-01-30,45.44,45.15
2018-01-31,45.44,45.2
2018-02-01,45.25,45.42
2018-02-02,45.0,44.32
2018-02-05,43.68,42.03
2018-02-06,41.2,42.74
2018-02-07,42.71,42.51
2018-02-08,42.23,40.6
2018-02-09,40.97,40.98
2018-02-12,41.35,41.73
2018-02-13,41.17,41.45
2018-02-14,41.11,42.26
2018-02-15,42.68,42.87
2018-02-16,43.0,42.87
2018-02-20,42.51,42.55
2018-02-21,42.85,42.65
2018-02-22,42.81,42.84
2018-02-23,42.91,43.23
2018-02-26,43.4,43.66
2018-02-27,43.66,43.11
2018-02-28,43.24,42.62
2018-03-01,42.46,41.68
2018-03-02,41.47,42.2
2018-03-05,41.84,42.52
2018-03-06,42.84,42.98
2018-03-07,42.61,42.91
2018-03-08,43.03,43.1
2018-03-09,43.24,43.66
2018-03-12,43.81,43.96
2018-03-13,44.19,43.62
2018-03-14,44.03,43.71
2018-03-15,43.84,43.77
2018-03-16,43.54,43.4
2018-03-19,43.2,42.76
2018-03-20,42.68,42.72
2018-03-21,42.78,42.94
2018-03-22,42.58,41.95
2018-03-23,41.65,40.93
2018-03-26,41.56,41.92
2018-03-27,42.24,41.39
2018-03-28,41.39,41.09
2018-03-29,41.39,41.82
2018-04-02,41.86,40.99
2018-04-03,41.11,41.32
2018-04-04,40.5,41.12
2018-04-05,41.29,41.31
2018-04-06,40.94,40.46
2018-04-09,40.6,40.48
2018-04-10,41.04,41.39
2018-04-11,41.39,41.57
2018-04-12,41.58,41.79
2018-04-13,42.1,41.87
2018-04-16,41.99,42.07
2018-04-17,42.24,42.46
2018-04-18,42.77,42.85
2018-04-19,42.81,42.53
2018-04-20,42.36,42.22
2018-04-23,42.03,41.71
2018-04-24,41.81,41.21
2018-04-25,40.84,40.75
2018-04-26,40.94,40.84
2018-04-27,40.75,40.45
2018-04-30,40.5,40.26
2018-05-01,40.02,40.15
2018-05-02,40.15,39.93
2018-05-03,39.9,40.03
2018-05-04,39.82,40.47
2018-05-07,40.58,40.87
2018-05-08,40.87,41.2
2018-05-09,41.27,41.65
2018-05-10,41.6,41.87
2018-05-11,42.09,42.02
2018-05-14,42.1,42.02
2018-05-15,41.66,41.72
2018-05-16,41.64,41.87
2018-05-17,41.88,41.86
2018-05-18,41.97,41.94
2018-05-21,42.33,42.52
2018-05-22,42.64,42.4
2018-05-23,42.0,42.12
2018-05-24,41.89,41.94
2018-05-25,41.77,41.72
2018-05-29,41.3,41.24
2018-05-30,41.24,41.48
2018-05-31,41.5,41.29
2018-06-01,41.46,41.76
2018-06-04,42.0,42.06
2018-06-05,42.12,42.29
2018-06-06,42.27,42.5
2018-06-07,42.5,42.37
2018-06-08,42.24,42.41
2018-06-11,42.48,42.64
