Date,Open,Close
2018-01-25,49.79,49.79
2018-01-26,49.79,49.79
2018-01-29,49.79,49.79
2018-01-30,49.79,49.79
2018-01-31,49.63,49.63
2018-02-01,50.03,50.03
2018-02-02,50.95,50.87
2018-02-05,50.06,51.63
2018-02-06,51.64,51.55
2018-02-07,51.55,51.55
2018-02-08,50.88,50.87
2018-02-09,50.87,50.98
2018-02-12,50.98,50.98
2018-02-13,50.98,50.98
2018-02-14,50.13,50.3
2018-02-15,50.78,50.48
2018-02-16,50.48,50.48
2018-02-20,50.48,50.48
2018-02-21,50.48,50.48
2018-02-22,50.12,50.12
2018-02-23,50.12,50.12
2018-02-26,50.12,50.12
2018-02-27,49.35,48.19
2018-02-28,49.62,50.12
2018-03-01,50.78,51.04
2018-03-02,51.63,51.08
2018-03-05,51.01,50.97
2018-03-06,50.68,50.37
2018-03-07,49.37,48.37
2018-03-08,48.37,48.37
2018-03-09,48.17,48.47
2018-03-12,48.47,48.47
2018-03-13,48.11,47.45
2018-03-14,47.58,47.92
2018-03-15,47.7,47.7
2018-03-16,47.57,47.72
2018-03-19,46.53,48.5
2018-03-20,47.5,47.69
2018-03-21,47.75,47.74
2018-03-22,47.92,47.73
2018-03-23,47.08,46.97
2018-03-26,47.3,47.06
2018-03-27,46.67,47.18
2018-03-28,46.18,45.85
2018-03-29,45.89,46.07
2018-04-02,46.85,46.85
2018-04-03,46.19,46.83
2018-04-04,46.08,46.08
2018-04-05,46.42,46.57
2018-04-06,46.5,46.44
2018-04-09,46.36,46.66
2018-04-10,45.4,45.76
2018-04-11,45.22,45.41
2018-04-12,45.45,45.49
2018-04-13,46.01,45.78
2018-04-16,46.0,45.43
2018-04-17,44.85,44.34
2018-04-18,44.22,44.39
2018-04-19,44.46,44.68
2018-04-20,44.15,44.37
2018-04-23,44.07,42.63
2018-04-24,42.37,42.65
2018-04-25,41.39,41.86
2018-04-26,41.67,42.89
2018-04-27,42.22,43.66
2018-04-30,43.32,43.58
2018-05-01,43.35,43.7
2018-05-02,42.9,43.6
2018-05-03,43.66,43.92
2018-05-04,43.54,43.24
2018-05-07,43.09,42.69
2018-05-08,42.84,43.22
2018-05-09,42.73,42.43
2018-05-10,41.96,42.23
2018-05-11,41.93,41.95
2018-05-14,41.79,42.03
2018-05-15,42.8,43.33
2018-05-16,42.74,43.27
2018-05-17,43.49,43.28
2018-05-18,43.23,43.27
2018-05-21,44.7,45.29
2018-05-22,45.3,45.53
2018-05-23,46.06,46.05
2018-05-24,46.76,45.93
2018-05-25,45.95,46.37
2018-05-29,46.67,46.35
2018-05-30,46.91,46.88
2018-05-31,47.45,47.83
