Date,Open,Close
2015-12-31,19.93,19.87
2016-01-04,19.49,19.3
2016-01-05,19.53,19.49
2016-01-06,19.19,19.27
2016-01-07,18.84,18.57
2016-01-08,18.66,18.26
2016-01-11,18.33,18.01
2016-01-12,18.11,18.1
2016-01-13,18.22,17.72
2016-01-14,17.75,18.01
2016-01-15,17.49,17.45
2016-01-19,17.63,17.44
2016-01-20,17.03,17.07
2016-01-21,16.91,17.16
2016-01-22,17.66,17.72
2016-01-25,17.7,17.65
2016-01-26,17.7,17.75
2016-01-27,17.71,17.61
2016-01-28,17.99,17.88
2016-01-29,17.94,18.27
2016-02-01,18.33,18.57
2016-02-02,18.57,18.11
2016-02-03,18.23,17.83
2016-02-04,17.83,17.92
2016-02-05,17.28,16.58
2016-02-08,16.28,16.17
2016-02-09,15.83,15.93
2016-02-10,16.02,16.04
2016-02-11,15.68,15.8
2016-02-12,15.86,15.88
2016-02-16,16.23,16.53
2016-02-17,16.62,16.84
2016-02-18,17.01,16.85
2016-02-19,16.8,17.0
2016-02-22,17.3,17.46
2016-02-23,17.39,17.18
2016-02-24,16.99,17.33
2016-02-25,17.29,17.23
2016-02-26,17.41,17.25
2016-02-29,17.34,17.35
2016-03-01,17.53,17.61
2016-03-02,17.66,17.82
2016-03-03,17.7,17.78
2016-03-04,17.9,17.94
2016-03-07,17.87,17.86
2016-03-08,17.68,17.62
2016-03-09,17.56,17.56
2016-03-10,17.74,17.45
2016-03-11,17.73,17.89
2016-03-14,17.95,18.11
2016-03-15,17.92,17.77
2016-03-16,17.73,18.03
2016-03-17,18.06,18.26
2016-03-18,18.35,18.3
2016-03-21,18.27,18.33
2016-03-22,18.23,18.43
2016-03-23,18.45,18.15
2016-03-24,17.93,18.22
2016-03-28,18.18,18.06
2016-03-29,17.97,18.27
2016-03-30,18.41,18.43
2016-03-31,18.39,18.42
2016-04-01,18.19,18.35
2016-04-04,18.32,18.36
2016-04-05,18.13,18.17
2016-04-06,18.15,18.46
2016-04-07,18.34,18.33
2016-04-08,18.5,18.24
