Date,Open,Close
2015-12-31,17.36,17.33
2016-01-04,17.25,17.23
2016-01-05,17.25,17.19
2016-01-06,17.12,17.26
2016-01-07,17.18,17.32
2016-01-08,17.39,17.33
2016-01-11,17.32,17.25
2016-01-12,17.18,17.49
2016-01-13,17.57,17.53
2016-01-14,17.46,17.52
2016-01-15,17.39,17.45
2016-01-19,17.55,17.51
2016-01-20,17.42,17.44
2016-01-21,17.39,17.51
2016-01-22,17.62,17.46
2016-01-25,17.47,17.54
2016-01-26,17.53,17.51
2016-01-27,17.56,17.65
2016-01-28,17.48,17.38
2016-01-29,17.39,17.43
2016-02-01,17.54,17.51
2016-02-02,17.54,17.68
2016-02-03,17.6,17.56
2016-02-04,17.58,17.52
2016-02-05,17.45,17.35
2016-02-08,17.32,17.23
2016-02-09,17.24,17.2
2016-02-10,17.25,17.26
2016-02-11,17.23,17.48
2016-02-12,17.45,17.45
2016-02-16,19.18,17.5
2016-02-17,17.5,17.59
2016-02-18,17.54,17.57
2016-02-19,17.56,17.54
2016-02-22,17.56,17.6
2016-02-23,17.49,17.37
2016-02-24,17.36,17.35
2016-02-25,17.25,17.22
2016-02-26,17.21,17.14
2016-02-29,17.17,17.15
2016-03-01,17.14,17.06
2016-03-02,17.04,17.12
2016-03-03,17.13,17.18
2016-03-04,17.39,17.48
2016-03-07,17.56,17.51
2016-03-08,17.47,17.51
2016-03-09,17.55,17.52
2016-03-10,17.52,17.63
2016-03-11,17.67,17.74
2016-03-14,17.71,17.79
2016-03-15,17.7,17.69
2016-03-16,17.64,17.76
2016-03-17,17.86,17.8
2016-03-18,17.9,17.81
2016-03-21,17.8,17.9
2016-03-22,18.04,18.01
2016-03-23,17.84,17.88
2016-03-24,17.9,18.04
2016-03-28,18.01,18.02
2016-03-29,17.99,18.13
2016-03-30,18.1,17.97
2016-03-31,17.97,18.02
2016-04-01,18.02,18.22
2016-04-04,18.26,18.13
2016-04-05,18.06,17.96
2016-04-06,17.93,18.04
2016-04-07,18.0,17.98
2016-04-08,18.14,18.15
2016-04-11,18.24,18.39
2016-04-12,18.5,18.51
2016-04-13,18.59,18.84
2016-04-14,18.75,18.68
2016-04-15,18.68,18.83
2016-04-18,18.82,18.79
2016-04-19,18.84,19.25
2016-04-20,19.15,19.39
2016-04-21,19.43,19.42
2016-04-22,19.25,19.1
2016-04-25,19.05,19.36
2016-04-26,19.44,19.58
2016-04-27,19.5,19.44
2016-04-28,19.52,19.5
2016-04-29,19.4,19.52
2016-05-02,19.53,19.77
2016-05-03,19.82,19.47
2016-05-04,19.6,19.62
2016-05-05,19.81,19.36
2016-05-06,19.43,19.74
2016-05-09,19.69,19.56
2016-05-10,19.65,20.36
2016-05-11,20.44,20.3
2016-05-12,20.42,20.12
2016-05-13,20.0,20.01
2016-05-16,20.05,20.02
2016-05-17,19.98,20.26
2016-05-18,20.24,20.07
2016-05-19,19.84,19.99
2016-05-20,20.03,19.89
2016-05-23,19.63,19.64
2016-05-24,19.45,19.57
2016-05-25,19.65,19.91
2016-05-26,20.0,19.94
2016-05-27,19.98,20.13
2016-05-31,20.13,20.07
2016-06-01,20.17,20.21
2016-06-02,20.3,20.36
2016-06-03,20.4,20.53
2016-06-06,20.74,20.85
2016-06-07,20.88,21.01
2016-06-08,21.09,21.56
2016-06-09,21.48,21.47
2016-06-10,21.6,21.61
2016-06-13,21.79,21.62
2016-06-14,21.49,21.41
2016-06-15,21.38,21.2
2016-06-16,21.05,20.89
2016-06-17,21.12,21.35
2016-06-20,21.16,21.1
2016-06-21,20.91,20.69
2016-06-22,20.71,20.73
2016-06-23,20.73,20.54
2016-06-24,20.22,20.37
2016-06-27,20.46,20.71
2016-06-28,21.11,20.94
2016-06-29,20.7,20.79
2016-06-30,20.85,21.34
2016-07-01,21.22,21.14
2016-07-05,21.12,20.17
2016-07-06,19.85,20.15
2016-07-07,20.17,19.36
2016-07-08,19.67,19.91
2016-07-11,20.12,19.97
2016-07-12,20.0,20.38
2016-07-13,20.83,20.65
2016-07-14,20.91,20.0
2016-07-15,19.96,19.86
2016-07-18,19.66,20.07
2016-07-19,19.87,19.51
2016-07-20,19.5,19.21
2016-07-21,19.44,19.26
2016-07-22,18.99,18.93
2016-07-25,18.9,18.51
2016-07-26,18.52,18.68
2016-07-27,18.85,18.84
2016-07-28,18.85,18.71
2016-07-29,18.69,19.08
2016-08-01,18.83,18.45
2016-08-02,18.4,18.32
2016-08-03,18.45,18.38
2016-08-04,18.52,18.38
2016-08-05,18.52,18.69
2016-08-08,18.88,18.82
2016-08-09,18.71,18.86
2016-08-10,18.94,18.76
2016-08-11,18.84,18.8
2016-08-12,18.81,18.8
2016-08-15,19.13,19.21
2016-08-16,19.22,19.17
2016-08-17,19.15,19.31
2016-08-18,19.29,19.29
2016-08-19,19.11,19.11
2016-08-22,19.03,19.35
2016-08-23,19.32,19.28
2016-08-24,19.22,19.12
2016-08-25,19.06,18.65
2016-08-26,18.76,18.56
2016-08-29,18.55,18.53
2016-08-30,18.49,18.32
2016-08-31,18.16,18.16
2016-09-01,18.21,18.2
2016-09-02,18.26,18.39
2016-09-06,18.31,18.49
2016-09-07,18.65,18.78
2016-09-08,18.79,18.78
2016-09-09,18.75,18.82
2016-09-12,18.76,18.63
2016-09-13,18.49,18.28
2016-09-14,18.25,18.27
2016-09-15,18.3,18.4
2016-09-16,18.29,18.65
2016-09-19,18.88,18.81
2016-09-20,18.98,19.05
2016-09-21,19.08,18.91
2016-09-22,18.91,18.85
2016-09-23,18.69,18.51
2016-09-26,18.48,18.44
2016-09-27,18.38,18.51
2016-09-28,18.47,18.49
2016-09-29,18.51,18.44
2016-09-30,18.5,18.48
2016-10-03,18.49,18.88
2016-10-04,18.81,18.72
2016-10-05,18.74,18.64
2016-10-06,18.55,18.61
2016-10-07,18.75,18.58
2016-10-10,18.57,18.58
2016-10-11,18.66,18.55
2016-10-12,18.63,18.47
2016-10-13,18.44,18.64
2016-10-14,18.93,18.77
2016-10-17,18.93,19.06
2016-10-18,18.99,18.97
2016-10-19,19.03,19.13
2016-10-20,19.21,18.97
2016-10-21,18.97,19.12
2016-10-24,19.28,19.24
2016-10-25,19.33,19.27
2016-10-26,19.44,19.56
2016-10-27,19.58,19.61
2016-10-28,19.65,19.41
2016-10-31,19.43,19.42
2016-11-01,19.36,19.05
2016-11-02,19.08,18.97
2016-11-03,19.02,19.02
2016-11-04,18.98,19.04
2016-11-07,19.14,19.2
2016-11-08,19.3,19.36
2016-11-09,19.48,19.11
2016-11-10,19.34,19.27
2016-11-11,19.27,19.06
2016-11-14,18.86,18.95
2016-11-15,18.92,19.07
2016-11-16,19.11,19.01
2016-11-17,18.97,19.0
2016-11-18,19.11,19.16
2016-11-21,19.36,19.61
2016-11-22,19.59,19.75
2016-11-23,19.7,19.81
2016-11-25,19.81,19.91
2016-11-28,20.11,20.12
2016-11-29,19.99,19.95
2016-11-30,19.93,19.74
2016-12-01,19.78,19.72
2016-12-02,19.81,19.72
2016-12-05,19.9,19.93
2016-12-06,20.14,20.02
2016-12-07,20.03,20.12
2016-12-08,19.97,19.65
2016-12-09,19.8,19.91
2016-12-12,19.87,19.79
2016-12-13,19.87,19.8
2016-12-14,19.64,19.65
2016-12-15,19.65,19.71
2016-12-16,19.74,19.81
2016-12-19,19.59,19.6
2016-12-20,19.45,19.29
2016-12-21,19.4,19.35
2016-12-22,19.18,19.07
2016-12-23,19.0,18.97
2016-12-27,19.27,19.37
2016-12-28,19.37,19.26
2016-12-29,19.22,19.19
2016-12-30,19.18,19.1
2017-01-03,19.09,18.93
2017-01-04,19.08,19.22
2017-01-05,19.18,19.24
2017-01-06,19.14,18.94
2017-01-09,18.98,19.11
2017-01-10,19.09,19.28
