Date,Open,Close
2015-12-31,30.47,30.64
2016-01-04,30.05,30.77
2016-01-05,31.06,30.3
2016-01-06,29.75,29.71
2016-01-07,28.69,26.99
2016-01-08,27.98,27.3
2016-01-11,27.43,26.32
2016-01-12,26.96,25.75
2016-01-13,26.15,24.85
2016-01-14,24.84,25.01
2016-01-15,23.68,23.52
2016-01-19,24.08,23.08
2016-01-20,22.33,23.18
2016-01-21,23.13,23.46
2016-01-22,24.17,24.36
2016-01-25,24.36,23.71
2016-01-26,23.81,24.9
2016-01-27,24.64,24.62
2016-01-28,24.75,24.67
2016-01-29,24.77,25.21
2016-02-01,24.96,25.03
2016-02-02,25.02,24.07
2016-02-03,24.32,24.3
2016-02-04,24.38,24.58
2016-02-05,24.51,23.94
2016-02-08,23.23,22.62
2016-02-09,22.17,22.25
2016-02-10,21.45,21.38
2016-02-11,20.73,20.35
2016-02-12,20.72,20.43
2016-02-16,21.08,21.67
2016-02-17,22.06,22.29
2016-02-18,22.62,22.3
2016-02-19,22.15,21.87
2016-02-22,22.18,22.33
2016-02-23,22.38,21.98
2016-02-24,21.72,22.55
2016-02-25,22.47,22.65
2016-02-26,23.27,23.12
2016-02-29,23.37,23.45
2016-03-01,23.51,23.31
2016-03-02,23.33,23.96
2016-03-03,23.85,23.85
2016-03-04,24.12,24.12
2016-03-07,24.24,24.68
2016-03-08,24.92,24.11
2016-03-09,24.43,24.36
2016-03-10,24.49,23.97
2016-03-11,24.41,24.55
2016-03-14,24.47,24.53
2016-03-15,24.29,24.28
2016-03-16,23.81,24.42
2016-03-17,24.27,24.49
2016-03-18,24.86,24.4
2016-03-21,24.42,24.48
2016-03-22,24.18,23.59
2016-03-23,23.44,22.59
2016-03-24,22.28,22.34
2016-03-28,22.4,22.3
2016-03-29,21.85,22.35
2016-03-30,22.65,22.6
2016-03-31,22.66,22.66
2016-04-01,22.47,22.64
2016-04-04,22.64,22.17
2016-04-05,21.81,22.0
2016-04-06,22.24,22.59
2016-04-07,22.77,22.26
2016-04-08,22.66,22.44
2016-04-11,22.7,22.53
2016-04-12,22.89,23.05
2016-04-13,23.17,23.37
2016-04-14,23.49,23.45
2016-04-15,23.45,23.19
2016-04-18,23.07,23.58
2016-04-19,23.87,23.71
2016-04-20,23.63,24.16
2016-04-21,24.06,24.21
2016-04-22,24.24,24.33
