Date,Open,Close
2015-12-31,34.25,34.18
2016-01-04,33.73,33.53
2016-01-05,33.52,33.45
2016-01-06,32.81,32.63
2016-01-07,31.82,31.61
2016-01-08,31.7,31.06
2016-01-11,31.25,30.94
2016-01-12,31.3,31.22
2016-01-13,31.34,30.15
2016-01-14,30.26,30.07
2016-01-15,29.32,29.73
2016-01-19,30.27,29.4
2016-01-20,28.91,29.08
2016-01-21,29.19,29.48
2016-01-22,29.89,30.25
2016-01-25,30.12,29.55
2016-01-26,29.6,30.16
2016-01-27,30.08,29.77
2016-01-28,30.1,29.65
2016-01-29,29.83,30.52
2016-02-01,30.32,30.37
2016-02-02,29.96,29.65
2016-02-03,29.73,29.59
2016-02-04,29.48,29.8
2016-02-05,29.76,29.12
2016-02-08,28.72,28.26
2016-02-09,27.91,28.51
2016-02-10,28.69,28.72
2016-02-11,28.19,27.98
2016-02-12,28.23,28.72
2016-02-16,28.97,29.53
2016-02-17,29.7,30.0
2016-02-18,29.98,29.89
2016-02-19,29.66,29.92
2016-02-22,30.17,30.47
2016-02-23,30.39,30.56
2016-02-24,30.27,30.85
2016-02-25,30.5,30.93
2016-02-26,31.16,31.23
2016-02-29,31.25,30.87
2016-03-01,31.1,31.66
2016-03-02,31.59,31.76
2016-03-03,31.78,32.13
2016-03-04,32.19,32.18
2016-03-07,31.99,32.22
2016-03-08,31.91,31.82
2016-03-09,31.95,31.93
2016-03-10,32.09,31.87
2016-03-11,32.09,32.49
2016-03-14,32.41,32.48
2016-03-15,32.33,32.37
2016-03-16,32.17,32.79
2016-03-17,32.76,33.04
2016-03-18,33.01,33.46
2016-03-21,33.44,33.26
2016-03-22,33.02,33.16
2016-03-23,33.1,32.75
2016-03-24,32.66,32.78
2016-03-28,32.82,33.11
2016-03-29,33.06,33.67
2016-03-30,33.8,33.62
2016-03-31,33.61,33.84
2016-04-01,33.63,34.09
2016-04-04,34.08,33.66
2016-04-05,33.37,33.69
2016-04-06,33.74,34.17
2016-04-07,34.06,33.81
2016-04-08,34.12,33.9
2016-04-11,34.07,33.88
2016-04-12,33.98,34.17
2016-04-13,34.36,34.91
2016-04-14,34.86,34.71
2016-04-15,34.75,34.84
2016-04-18,34.66,34.9
2016-04-19,34.9,34.72
2016-04-20,34.73,34.85
2016-04-21,34.98,34.73
2016-04-22,34.87,34.74
2016-04-25,34.68,34.51
2016-04-26,34.51,34.83
2016-04-27,34.86,34.84
2016-04-28,34.55,33.79
2016-04-29,33.73,33.66
2016-05-02,33.83,34.0
2016-05-03,33.71,33.46
2016-05-04,33.25,33.38
2016-05-05,33.48,33.3
2016-05-06,33.12,33.5
2016-05-09,33.49,33.52
2016-05-10,33.69,33.83
2016-05-11,33.65,33.17
2016-05-12,33.3,33.14
2016-05-13,33.03,32.82
2016-05-16,32.84,33.05
2016-05-17,32.97,32.93
2016-05-18,32.8,32.82
2016-05-19,32.61,32.77
2016-05-20,32.98,33.23
2016-05-23,33.13,32.98
2016-05-24,33.32,33.99
2016-05-25,34.2,34.13
2016-05-26,34.25,34.01
2016-05-27,33.96,34.29
2016-05-31,34.34,34.18
2016-06-01,34.02,34.41
2016-06-02,34.3,34.39
2016-06-03,34.25,34.2
2016-06-06,34.16,34.23
2016-06-07,34.45,34.68
2016-06-08,34.81,34.96
2016-06-09,34.49,34.42
2016-06-10,34.14,33.7
2016-06-13,33.49,33.16
2016-06-14,33.04,32.94
2016-06-15,33.03,33.14
2016-06-16,32.95,33.16
2016-06-17,33.19,33.38
2016-06-20,33.76,33.71
2016-06-21,34.0,33.59
2016-06-22,33.64,33.54
2016-06-23,33.78,33.92
2016-06-24,32.7,32.66
2016-06-27,32.44,31.69
2016-06-28,31.99,32.5
2016-06-29,32.7,33.05
2016-06-30,32.97,33.54
2016-07-01,33.61,33.75
2016-07-05,33.55,33.31
2016-07-06,33.25,33.95
2016-07-07,33.97,34.06
2016-07-08,34.34,34.88
2016-07-11,34.94,35.12
2016-07-12,35.35,35.28
2016-07-13,35.33,35.2
2016-07-14,35.43,35.15
2016-07-15,35.24,35.17
2016-07-18,35.24,35.33
2016-07-19,34.99,35.27
2016-07-20,35.31,35.6
2016-07-21,35.65,35.36
2016-07-22,35.4,35.63
2016-07-25,35.51,35.78
2016-07-26,35.73,36.09
2016-07-27,36.1,35.9
2016-07-28,36.16,36.49
2016-07-29,36.19,36.08
2016-08-01,36.04,36.14
2016-08-02,36.06,35.69
2016-08-03,35.62,35.82
2016-08-04,35.88,35.7
2016-08-05,35.9,36.15
2016-08-08,36.17,36.12
2016-08-09,36.13,36.07
2016-08-10,36.1,35.89
2016-08-11,35.96,36.16
2016-08-12,35.96,36.07
2016-08-15,36.1,36.32
2016-08-16,36.24,36.01
2016-08-17,35.88,35.62
2016-08-18,35.67,35.75
2016-08-19,35.65,35.78
2016-08-22,35.8,35.9
2016-08-23,36.08,36.54
2016-08-24,36.52,36.23
2016-08-25,36.12,36.31
2016-08-26,36.22,35.97
2016-08-29,36.04,36.27
2016-08-30,36.33,36.28
2016-08-31,36.26,36.14
2016-09-01,36.16,36.02
2016-09-02,36.26,36.14
2016-09-06,36.24,36.07
2016-09-07,36.13,36.3
2016-09-08,36.11,35.94
2016-09-09,35.72,34.3
2016-09-12,34.04,34.76
2016-09-13,34.53,34.16
2016-09-14,34.09,34.07
2016-09-15,34.0,34.3
2016-09-16,34.04,33.85
2016-09-19,34.21,34.12
2016-09-20,34.16,33.81
2016-09-21,33.8,34.16
2016-09-22,34.42,34.54
2016-09-23,34.34,34.44
2016-09-26,34.21,34.15
2016-09-27,34.17,34.32
2016-09-28,34.01,34.09
2016-09-29,33.94,33.65
2016-09-30,33.67,33.94
2016-10-03,33.86,33.7
2016-10-04,33.69,33.66
2016-10-05,33.77,33.85
2016-10-06,33.72,34.13
2016-10-07,34.11,33.5
2016-10-10,33.64,33.62
2016-10-11,33.55,33.05
2016-10-12,33.08,33.24
2016-10-13,33.05,32.92
2016-10-14,33.06,32.91
2016-10-17,32.91,32.85
2016-10-18,33.07,32.92
2016-10-19,32.88,32.87
2016-10-20,32.69,32.64
2016-10-21,32.6,32.63
2016-10-24,32.75,32.92
2016-10-25,32.44,31.8
2016-10-26,31.66,31.64
2016-10-27,31.73,31.24
2016-10-28,31.34,31.58
2016-10-31,31.59,31.62
2016-11-01,31.59,31.23
2016-11-02,31.19,31.06
2016-11-03,31.2,30.95
2016-11-04,31.15,31.38
2016-11-07,31.76,31.93
2016-11-08,31.65,31.88
2016-11-09,31.22,32.29
2016-11-10,32.42,33.12
2016-11-11,33.03,33.11
2016-11-14,33.13,33.52
2016-11-15,33.71,33.52
2016-11-16,33.36,33.22
2016-11-17,33.6,33.89
2016-11-18,33.88,33.88
2016-11-21,33.99,34.11
2016-11-22,34.09,34.24
2016-11-23,34.19,34.35
2016-11-25,34.42,34.6
2016-11-28,34.51,34.16
2016-11-29,34.18,34.34
2016-11-30,34.46,33.85
2016-12-01,33.77,33.53
2016-12-02,33.5,33.63
2016-12-05,33.81,34.04
2016-12-06,34.2,34.37
2016-12-07,34.4,35.25
2016-12-08,35.3,35.65
