Date,Open,Close
2018-06-19,49.7,49.96
2018-06-20,50.45,50.58
2018-06-21,50.77,50.27
2018-06-22,50.59,50.49
2018-06-25,50.23,49.45
2018-06-26,49.72,49.53
2018-06-27,49.82,49.1
2018-06-28,49.1,49.59
2018-06-29,49.8,49.53
2018-07-02,49.11,49.84
2018-07-03,50.0,49.23
2018-07-05,49.59,49.98
2018-07-06,50.14,50.77
2018-07-09,51.2,51.06
2018-07-10,51.21,51.04
2018-07-11,50.7,50.97
2018-07-12,51.3,51.77
2018-07-13,51.78,51.69
2018-07-16,51.78,51.54
2018-07-17,50.81,51.55
2018-07-18,51.59,51.4
2018-07-19,51.43,51.04
2018-07-20,51.05,50.87
2018-07-23,50.93,51.08
2018-07-24,52.11,51.44
2018-07-25,51.53,51.81
2018-07-26,49.75,49.86
2018-07-27,49.77,48.91
2018-07-30,49.02,48.14
2018-07-31,48.37,48.46
2018-08-01,48.56,48.26
2018-08-02,48.09,48.58
2018-08-03,48.09,48.91
2018-08-06,48.91,49.4
2018-08-07,49.68,49.46
2018-08-08,49.55,49.42
2018-08-09,49.46,49.69
2018-08-10,49.53,49.27
2018-08-13,49.33,49.2
2018-08-14,49.44,49.55
2018-08-15,49.24,48.86
2018-08-16,49.19,48.84
2018-08-17,48.66,48.61
2018-08-20,48.85,48.69
2018-08-21,48.95,48.99
2018-08-22,48.85,48.93
2018-08-23,48.88,48.73
2018-08-24,48.96,49.44
2018-08-27,49.75,49.92
2018-08-28,50.06,49.7
2018-08-29,49.83,49.98
2018-08-30,49.81,49.67
2018-08-31,49.62,49.18
2018-09-04,49.05,48.57
2018-09-05,48.52,47.94
2018-09-06,47.91,47.58
2018-09-07,47.28,47.68
2018-09-10,47.98,47.78
2018-09-11,47.72,48.26
2018-09-12,48.13,48.12
2018-09-13,48.31,48.46
2018-09-14,48.64,48.37
2018-09-17,48.42,47.9
2018-09-18,47.95,48.24
2018-09-19,48.29,48.37
2018-09-20,48.77,48.9
2018-09-21,49.02,48.55
2018-09-24,48.21,48.55
2018-09-25,48.54,48.57
2018-09-26,48.65,48.76
2018-09-27,49.06,49.18
2018-09-28,49.07,49.0
2018-10-01,49.17,48.8
2018-10-02,48.77,48.76
2018-10-03,49.03,48.98
2018-10-04,48.93,48.28
2018-10-05,48.35,47.82
2018-10-08,47.6,47.66
2018-10-09,47.66,47.63
2018-10-10,47.53,45.75
2018-10-11,45.66,45.36
2018-10-12,46.44,46.37
2018-10-15,46.21,46.19
2018-10-16,46.69,47.41
2018-10-17,47.74,47.6
2018-10-18,47.49,46.73
2018-10-19,47.0,46.72
2018-10-22,46.99,46.69
2018-10-23,46.03,46.59
2018-10-24,46.58,44.37
2018-10-25,45.17,45.84
2018-10-26,44.43,44.6
2018-10-29,45.3,43.91
2018-10-30,43.84,45.11
2018-10-31,45.99,46.04
2018-11-01,46.19,46.31
2018-11-02,46.45,45.84
2018-11-05,45.93,45.65
2018-11-06,45.7,45.92
2018-11-07,46.39,46.76
