Date,Open,Close
2015-12-31,59.77,60.32
2016-01-04,60.16,60.3
2016-01-05,60.26,60.53
2016-01-06,59.1,58.2
2016-01-07,57.07,56.78
2016-01-08,57.26,56.05
2016-01-11,56.28,54.85
2016-01-12,55.7,54.98
2016-01-13,55.65,53.66
2016-01-14,54.21,55.97
2016-01-15,53.63,54.35
2016-01-19,54.76,53.18
2016-01-20,52.13,51.77
2016-01-21,51.71,53.38
2016-01-22,55.33,55.74
2016-01-25,54.68,53.14
2016-01-26,54.1,55.15
2016-01-27,54.77,54.89
2016-01-28,56.97,56.56
2016-01-29,56.66,58.21
2016-02-01,57.24,57.24
2016-02-02,55.84,55.33
2016-02-03,56.13,57.3
2016-02-04,57.42,57.27
2016-02-05,56.5,55.94
2016-02-08,54.83,55.65
2016-02-09,54.82,54.31
2016-02-10,54.15,54.09
2016-02-11,53.15,53.86
2016-02-12,54.6,55.28
2016-02-16,56.21,55.83
2016-02-17,56.5,57.66
2016-02-18,58.15,56.94
2016-02-19,56.18,56.81
2016-02-22,57.89,58.26
2016-02-23,57.7,56.27
2016-02-24,55.22,56.84
2016-02-25,56.67,56.89
2016-02-26,57.84,57.23
2016-02-29,57.46,56.58
2016-03-01,56.98,58.06
2016-03-02,57.7,59.48
2016-03-03,59.24,60.38
2016-03-04,60.72,60.96
2016-03-07,60.93,62.39
2016-03-08,61.88,59.77
2016-03-09,60.58,60.74
2016-03-10,60.48,60.79
2016-03-11,61.59,62.36
2016-03-14,61.58,61.95
2016-03-15,61.1,61.83
2016-03-16,62.2,62.9
2016-03-17,63.41,63.76
2016-03-18,63.79,63.49
2016-03-21,63.24,63.27
2016-03-22,62.53,62.92
2016-03-23,62.47,61.54
2016-03-24,60.69,61.84
2016-03-28,61.86,61.51
2016-03-29,60.82,61.8
2016-03-30,62.36,61.92
2016-03-31,61.68,61.89
2016-04-01,60.82,61.06
2016-04-04,60.95,60.61
2016-04-05,60.1,60.2
2016-04-06,60.69,61.5
2016-04-07,61.02,61.14
2016-04-08,62.29,62.37
2016-04-11,62.87,62.11
2016-04-12,62.35,63.96
2016-04-13,63.93,64.26
2016-04-14,64.53,64.41
2016-04-15,64.05,63.54
2016-04-18,62.23,64.59
2016-04-19,64.96,65.88
2016-04-20,65.53,66.47
2016-04-21,66.56,66.08
2016-04-22,66.24,67.04
2016-04-25,66.81,66.29
2016-04-26,66.67,67.35
2016-04-27,67.7,68.63
2016-04-28,68.32,67.61
2016-04-29,67.76,67.5
2016-05-02,67.38,67.43
2016-05-03,66.52,65.84
2016-05-04,65.88,64.89
2016-05-05,65.99,65.42
2016-05-06,65.0,65.27
2016-05-09,64.9,64.32
2016-05-10,64.65,65.45
2016-05-11,65.29,65.65
2016-05-12,66.24,65.83
2016-05-13,65.54,64.99
2016-05-16,65.84,66.09
2016-05-17,66.1,66.4
2016-05-18,66.39,65.76
2016-05-19,65.1,65.77
2016-05-20,65.97,66.16
2016-05-23,65.77,65.99
2016-05-24,66.33,66.32
2016-05-25,66.72,67.37
2016-05-26,67.63,67.09
2016-05-27,66.85,67.13
2016-05-31,67.29,66.87
2016-06-01,66.22,66.89
2016-06-02,66.38,66.8
2016-06-03,66.8,66.54
2016-06-06,67.19,68.01
2016-06-07,68.23,69.55
2016-06-08,69.97,69.39
2016-06-09,68.59,68.86
2016-06-10,68.15,67.37
2016-06-13,67.04,67.17
2016-06-14,66.89,67.13
2016-06-15,66.88,66.97
