Date,Open,Close
2015-12-31,19.36,19.36
2016-01-04,18.96,18.98
2016-01-05,19.02,19.06
2016-01-06,18.78,18.77
2016-01-07,18.38,18.24
2016-01-08,18.4,17.95
2016-01-11,18.05,17.98
2016-01-12,18.16,18.12
2016-01-13,18.19,17.64
2016-01-14,17.68,17.8
2016-01-15,17.2,17.4
2016-01-19,17.59,17.39
2016-01-20,17.03,17.05
2016-01-21,17.07,16.98
2016-01-22,17.2,17.29
2016-01-25,17.21,16.94
2016-01-26,17.0,17.22
2016-01-27,17.16,17.16
2016-01-28,17.26,17.16
2016-01-29,17.29,17.64
2016-02-01,17.56,17.57
2016-02-02,17.32,17.08
2016-02-03,17.18,17.1
2016-02-04,16.99,17.25
2016-02-05,17.26,17.02
2016-02-08,16.77,16.59
2016-02-09,16.26,16.56
2016-02-10,16.69,16.47
2016-02-11,16.04,15.97
2016-02-12,16.35,16.65
2016-02-16,16.93,16.91
2016-02-17,17.08,17.14
2016-02-18,17.21,17.04
2016-02-19,16.9,17.04
2016-02-22,17.25,17.31
2016-02-23,17.22,17.0
2016-02-24,16.76,16.96
2016-02-25,16.96,17.2
2016-02-26,17.31,17.32
2016-02-29,17.3,17.13
2016-03-01,17.25,17.71
2016-03-02,17.73,17.9
2016-03-03,17.89,18.03
2016-03-04,18.12,18.1
2016-03-07,17.98,18.09
2016-03-08,17.93,17.8
2016-03-09,17.86,17.82
2016-03-10,17.94,17.81
2016-03-11,17.99,18.27
2016-03-14,18.21,18.21
2016-03-15,18.09,18.2
2016-03-16,18.11,18.16
2016-03-17,18.16,18.38
2016-03-18,18.42,18.46
2016-03-21,18.41,18.43
2016-03-22,18.3,18.38
2016-03-23,18.34,18.24
2016-03-24,18.07,18.12
2016-03-28,18.15,18.18
2016-03-29,18.11,18.21
2016-03-30,18.31,18.32
2016-03-31,18.27,18.28
2016-04-01,18.19,18.44
2016-04-04,18.42,18.35
2016-04-05,18.18,18.09
2016-04-06,18.06,18.19
2016-04-07,18.06,17.85
2016-04-08,17.97,17.91
2016-04-11,17.99,17.99
2016-04-12,18.01,18.21
2016-04-13,18.4,18.63
2016-04-14,18.54,18.67
2016-04-15,18.72,18.6
2016-04-18,18.51,18.74
2016-04-19,18.8,18.98
2016-04-20,18.97,19.12
2016-04-21,19.11,18.95
2016-04-22,18.97,19.13
2016-04-25,19.05,19.09
2016-04-26,19.11,19.21
2016-04-27,19.2,19.24
2016-04-28,19.08,19.04
2016-04-29,18.94,18.94
2016-05-02,18.95,19.11
2016-05-03,18.89,18.86
2016-05-04,18.64,18.72
2016-05-05,18.76,18.71
2016-05-06,18.57,18.79
2016-05-09,18.76,18.74
2016-05-10,18.83,19.01
2016-05-11,18.95,18.81
2016-05-12,18.87,18.81
2016-05-13,18.77,18.59
2016-05-16,18.59,18.68
2016-05-17,18.64,18.58
2016-05-18,18.52,18.9
2016-05-19,18.81,18.72
2016-05-20,18.82,18.85
2016-05-23,18.81,18.84
2016-05-24,18.97,19.12
2016-05-25,19.2,19.33
2016-05-26,19.33,19.21
2016-05-27,19.24,19.34
2016-05-31,19.44,19.29
2016-06-01,19.16,19.33
2016-06-02,19.29,19.37
2016-06-03,19.14,19.1
2016-06-06,19.11,19.21
2016-06-07,19.23,19.17
2016-06-08,19.14,19.19
2016-06-09,19.07,19.05
2016-06-10,18.83,18.81
2016-06-13,18.71,18.68
2016-06-14,18.61,18.41
2016-06-15,18.46,18.43
2016-06-16,18.29,18.48
2016-06-17,18.41,18.37
2016-06-20,18.66,18.47
2016-06-21,18.55,18.58
2016-06-22,18.58,18.56
2016-06-23,18.78,18.95
2016-06-24,17.96,17.94
2016-06-27,17.67,17.42
2016-06-28,17.74,17.87
2016-06-29,18.03,18.28
2016-06-30,18.33,18.57
2016-07-01,18.5,18.47
2016-07-05,18.29,18.2
2016-07-06,18.04,18.25
2016-07-07,18.3,18.27
2016-07-08,18.52,18.62
2016-07-11,18.72,18.72
2016-07-12,18.86,18.96
2016-07-13,18.94,18.96
2016-07-14,19.33,19.14
2016-07-15,19.21,19.11
2016-07-18,19.11,19.17
2016-07-19,19.08,19.18
2016-07-20,19.25,19.21
2016-07-21,19.19,19.11
2016-07-22,19.14,19.24
2016-07-25,19.2,19.2
2016-07-26,19.15,19.21
2016-07-27,19.18,19.2
2016-07-28,19.16,19.24
2016-07-29,19.17,19.21
2016-08-01,19.23,19.16
2016-08-02,19.11,19.0
2016-08-03,19.0,19.2
2016-08-04,19.18,19.15
2016-08-05,19.35,19.51
2016-08-08,19.57,19.54
2016-08-09,19.53,19.55
2016-08-10,19.54,19.4
2016-08-11,19.44,19.44
2016-08-12,19.31,19.38
2016-08-15,19.46,19.51
2016-08-16,19.48,19.46
2016-08-17,19.46,19.53
2016-08-18,19.5,19.51
2016-08-19,19.46,19.5
2016-08-22,19.47,19.5
2016-08-23,19.58,19.53
2016-08-24,19.54,19.52
2016-08-25,19.5,19.56
2016-08-26,19.62,19.59
2016-08-29,19.63,19.76
2016-08-30,19.79,19.94
2016-08-31,19.94,19.95
2016-09-01,20.0,19.87
2016-09-02,19.89,19.96
2016-09-06,19.95,19.93
2016-09-07,19.85,19.92
2016-09-08,19.92,19.9
2016-09-09,19.79,19.53
2016-09-12,19.44,19.75
2016-09-13,19.52,19.4
2016-09-14,19.4,19.35
2016-09-15,19.31,19.46
2016-09-16,19.29,19.19
2016-09-19,19.18,19.31
2016-09-20,19.45,19.32
2016-09-21,19.41,19.44
2016-09-22,19.54,19.48
2016-09-23,19.41,19.38
2016-09-26,19.26,19.07
2016-09-27,19.0,19.22
2016-09-28,19.3,19.31
2016-09-29,19.3,19.04
2016-09-30,19.14,19.3
2016-10-03,19.24,19.21
2016-10-04,19.26,19.29
2016-10-05,19.37,19.6
2016-10-06,19.65,19.63
2016-10-07,19.55,19.62
2016-10-10,19.72,19.72
2016-10-11,19.66,19.54
2016-10-12,19.52,19.52
2016-10-13,19.36,19.33
2016-10-14,19.56,19.42
2016-10-17,19.43,19.33
2016-10-18,19.53,19.49
2016-10-19,19.55,19.66
2016-10-20,19.64,19.66
2016-10-21,19.5,19.65
2016-10-24,19.74,19.71
2016-10-25,19.75,19.69
2016-10-26,19.6,19.81
2016-10-27,19.92,19.86
2016-10-28,19.9,19.77
2016-10-31,19.87,19.74
2016-11-01,19.81,19.66
2016-11-02,19.62,19.53
2016-11-03,19.55,19.55
2016-11-04,19.56,19.49
2016-11-07,19.82,19.98
2016-11-08,19.92,19.99
2016-11-09,20.54,20.84
2016-11-10,21.16,21.61
2016-11-11,21.47,21.67
2016-11-14,21.88,22.2
2016-11-15,22.01,22.18
2016-11-16,21.98,21.86
2016-11-17,21.86,22.16
2016-11-18,22.14,22.16
2016-11-21,22.28,22.24
2016-11-22,22.34,22.25
2016-11-23,22.34,22.38
2016-11-25,22.43,22.41
2016-11-28,22.25,22.15
2016-11-29,22.19,22.21
2016-11-30,22.52,22.51
2016-12-01,22.63,22.9
2016-12-02,22.84,22.65
2016-12-05,22.85,22.92
2016-12-06,23.07,23.12
2016-12-07,23.18,23.48
2016-12-08,23.61,23.7
2016-12-09,23.7,23.75
2016-12-12,23.68,23.52
2016-12-13,23.58,23.58
2016-12-14,23.4,23.47
2016-12-15,23.59,23.67
2016-12-16,23.68,23.36
2016-12-19,23.39,23.37
2016-12-20,23.51,23.66
2016-12-21,23.66,23.6
2016-12-22,23.59,23.54
2016-12-23,23.54,23.58
2016-12-27,23.63,23.61
2016-12-28,23.65,23.37
2016-12-29,23.39,23.2
2016-12-30,23.29,23.25
2017-01-03,23.61,23.51
2017-01-04,23.58,23.7
2017-01-05,23.63,23.46
2017-01-06,23.55,23.54
2017-01-09,23.48,23.38
2017-01-10,23.42,23.43
2017-01-11,23.46,23.58
2017-01-12,23.47,23.38
2017-01-13,23.54,23.51
2017-01-17,23.34,22.95
2017-01-18,23.07,23.14
2017-01-19,23.19,23.04
2017-01-20,23.11,23.15
2017-01-23,23.05,23.0
2017-01-24,23.11,23.29
2017-01-25,23.54,23.68
2017-01-26,23.72,23.74
