Date,Open,Close
2015-12-31,53.15,53.01
2016-01-04,52.11,52.3
2016-01-05,52.43,52.44
2016-01-06,51.72,51.63
2016-01-07,50.8,50.23
2016-01-08,50.71,49.72
2016-01-11,50.05,49.75
2016-01-12,50.09,50.15
2016-01-13,50.38,48.94
2016-01-14,49.1,49.52
2016-01-15,48.14,48.65
2016-01-19,49.18,48.64
2016-01-20,47.95,48.01
2016-01-21,48.01,48.22
2016-01-22,48.84,48.64
2016-01-25,48.56,48.04
2016-01-26,48.15,48.95
2016-01-27,48.69,48.4
2016-01-28,48.64,48.68
2016-01-29,49.0,49.99
2016-02-01,49.59,49.87
2016-02-02,49.38,48.87
2016-02-03,49.26,49.66
2016-02-04,49.59,50.52
2016-02-05,50.25,50.04
2016-02-08,49.49,49.62
2016-02-09,49.04,49.92
2016-02-10,50.04,49.66
2016-02-11,48.82,48.69
2016-02-12,48.98,49.67
2016-02-16,50.3,50.67
2016-02-17,51.0,51.45
2016-02-18,51.48,51.42
2016-02-19,50.98,51.32
2016-02-22,51.8,52.19
2016-02-23,51.97,51.67
2016-02-24,51.06,51.7
2016-02-25,51.85,52.38
2016-02-26,52.51,52.45
2016-02-29,52.45,52.12
2016-03-01,52.33,53.14
2016-03-02,53.0,53.18
2016-03-03,53.15,53.56
2016-03-04,53.53,53.78
2016-03-07,53.5,53.94
2016-03-08,53.5,53.18
2016-03-09,53.32,53.35
2016-03-10,53.47,53.27
2016-03-11,53.76,54.04
2016-03-14,53.84,54.09
2016-03-15,53.7,54.06
2016-03-16,53.94,54.25
2016-03-17,54.59,55.44
2016-03-18,55.3,55.63
2016-03-21,55.56,55.96
2016-03-22,55.41,55.64
2016-03-23,55.52,55.28
2016-03-24,54.96,55.12
2016-03-28,55.13,55.14
2016-03-29,55.03,55.5
2016-03-30,55.99,55.6
2016-03-31,55.71,55.47
2016-04-01,55.15,55.73
2016-04-04,55.54,55.1
2016-04-05,54.73,54.76
2016-04-06,54.74,55.03
2016-04-07,54.57,54.5
2016-04-08,54.84,54.71
2016-04-11,54.98,54.73
