Date,Open,Close
2015-12-31,43.29,42.83
2016-01-04,42.06,42.27
2016-01-05,42.4,42.16
2016-01-06,41.54,41.64
2016-01-07,40.79,40.41
2016-01-08,40.76,40.09
2016-01-11,40.37,40.35
2016-01-12,40.78,40.83
2016-01-13,41.13,39.73
2016-01-14,39.9,40.48
2016-01-15,39.16,39.34
2016-01-19,39.8,39.38
2016-01-20,38.71,39.07
2016-01-21,39.29,39.29
2016-01-22,40.04,40.38
2016-01-25,40.16,39.91
2016-01-26,40.07,40.3
2016-01-27,39.97,39.47
2016-01-28,40.05,39.98
2016-01-29,40.31,41.24
2016-02-01,41.07,41.39
2016-02-02,41.27,40.65
2016-02-03,40.91,40.6
2016-02-04,40.52,40.64
2016-02-05,40.48,39.5
2016-02-08,38.84,38.93
2016-02-09,38.46,38.75
2016-02-10,39.08,38.81
2016-02-11,38.33,38.73
2016-02-12,39.04,39.27
2016-02-16,39.71,39.97
2016-02-17,40.2,40.79
2016-02-18,40.93,40.63
2016-02-19,40.48,40.66
2016-02-22,41.03,41.2
2016-02-23,41.03,40.55
2016-02-24,40.11,40.86
2016-02-25,41.0,41.37
2016-02-26,41.6,41.26
2016-02-29,41.22,40.97
2016-03-01,41.32,42.19
2016-03-02,42.04,42.31
2016-03-03,42.33,42.31
2016-03-04,42.32,42.42
2016-03-07,42.18,42.16
2016-03-08,41.91,41.9
2016-03-09,41.96,42.26
2016-03-10,42.44,42.22
2016-03-11,42.64,42.87
2016-03-14,42.74,42.92
2016-03-15,42.75,43.08
2016-03-16,42.88,43.58
2016-03-17,43.5,43.74
2016-03-18,43.69,43.59
2016-03-21,43.49,43.74
2016-03-22,43.54,43.75
2016-03-23,43.69,43.5
2016-03-24,43.31,43.62
2016-03-28,43.66,43.51
2016-03-29,43.43,44.19
2016-03-30,44.42,44.45
2016-03-31,44.39,44.36
2016-04-01,44.05,44.7
2016-04-04,44.63,44.53
2016-04-05,44.24,44.1
2016-04-06,44.11,44.53
2016-04-07,44.21,43.89
2016-04-08,44.12,43.89
2016-04-11,44.08,43.77
2016-04-12,43.85,44.07
2016-04-13,44.33,44.52
2016-04-14,44.46,44.51
2016-04-15,44.45,44.34
2016-04-18,44.21,44.53
2016-04-19,44.61,44.28
2016-04-20,44.32,44.37
2016-04-21,44.3,44.21
2016-04-22,43.51,43.44
2016-04-25,43.32,43.45
2016-04-26,43.5,43.24
2016-04-27,42.69,43.04
2016-04-28,43.11,42.5
2016-04-29,42.26,42.13
2016-05-02,42.22,42.44
2016-05-03,42.15,42.05
2016-05-04,41.86,41.92
2016-05-05,42.04,41.94
2016-05-06,41.76,42.25
2016-05-09,42.27,42.25
2016-05-10,42.38,42.8
2016-05-11,42.69,42.49
2016-05-12,42.65,42.37
2016-05-13,42.36,42.21
2016-05-16,42.25,42.8
2016-05-17,42.67,42.37
2016-05-18,42.26,42.45
2016-05-19,42.35,42.22
2016-05-20,42.45,42.73
2016-05-23,42.71,42.65
2016-05-24,42.82,43.45
2016-05-25,43.63,43.75
2016-05-26,43.75,43.89
2016-05-27,43.88,44.1
2016-05-31,44.14,44.19
2016-06-01,44.04,44.08
2016-06-02,43.9,44.04
2016-06-03,43.98,43.94
2016-06-06,43.97,44.02
2016-06-07,44.16,44.2
2016-06-08,44.19,44.29
2016-06-09,44.11,44.3
2016-06-10,43.96,43.96
2016-06-13,43.57,43.47
2016-06-14,43.37,43.57
2016-06-15,43.64,43.46
2016-06-16,43.24,43.55
2016-06-17,43.25,43.05
2016-06-20,43.43,43.23
2016-06-21,43.36,43.53
2016-06-22,43.54,43.38
2016-06-23,43.66,43.97
2016-06-24,42.42,42.28
2016-06-27,41.97,41.43
2016-06-28,41.89,42.25
2016-06-29,42.54,42.9
2016-06-30,43.0,43.37
2016-07-01,43.4,43.47
2016-07-05,43.24,43.15
2016-07-06,43.01,43.45
2016-07-07,43.41,43.45
2016-07-08,43.66,44.13
2016-07-11,44.27,44.39
2016-07-12,44.69,44.75
2016-07-13,44.88,44.76
2016-07-14,45.01,45.05
2016-07-15,45.2,45.01
2016-07-18,45.08,45.31
2016-07-19,45.23,45.21
2016-07-20,45.56,45.8
2016-07-21,45.81,45.56
2016-07-22,45.53,45.83
2016-07-25,45.75,45.77
2016-07-26,45.82,45.87
2016-07-27,46.37,46.25
2016-07-28,46.31,46.28
2016-07-29,46.48,46.45
2016-08-01,46.45,46.54
2016-08-02,46.45,46.19
2016-08-03,46.15,46.35
2016-08-04,46.36,46.6
2016-08-05,46.75,47.05
2016-08-08,47.1,47.04
2016-08-09,47.04,47.14
2016-08-10,47.16,46.99
2016-08-11,47.14,47.16
2016-08-12,47.15,47.11
2016-08-15,47.17,47.34
2016-08-16,47.26,46.99
2016-08-17,47.01,46.97
2016-08-18,46.96,46.99
2016-08-19,46.86,47.02
2016-08-22,46.89,47.02
2016-08-23,47.16,47.19
2016-08-24,47.17,46.93
2016-08-25,46.85,47.03
2016-08-26,47.0,47.05
2016-08-29,47.03,47.23
2016-08-30,47.14,47.07
2016-08-31,47.01,46.99
2016-09-01,46.98,47.14
2016-09-02,47.37,47.35
2016-09-06,47.38,47.59
2016-09-07,47.59,47.71
2016-09-08,47.54,47.32
2016-09-09,46.89,46.16
2016-09-12,45.93,46.93
2016-09-13,46.75,46.59
2016-09-14,46.6,46.81
2016-09-15,46.91,47.58
2016-09-16,47.4,47.21
2016-09-19,47.33,47.12
2016-09-20,47.28,47.09
2016-09-21,47.27,47.62
2016-09-22,47.9,47.91
2016-09-23,47.9,47.49
2016-09-26,47.29,47.21
2016-09-27,47.27,47.73
2016-09-28,47.77,47.82
2016-09-29,47.76,47.53
2016-09-30,47.64,47.78
2016-10-03,47.65,47.64
2016-10-04,47.8,47.47
2016-10-05,47.6,47.64
2016-10-06,47.68,47.75
2016-10-07,47.79,47.62
2016-10-10,47.87,47.95
2016-10-11,47.95,47.41
2016-10-12,47.45,47.49
2016-10-13,47.18,47.19
2016-10-14,47.38,47.37
2016-10-17,47.37,47.27
2016-10-18,47.62,47.53
2016-10-19,47.5,47.62
2016-10-20,47.5,47.4
2016-10-21,47.47,47.53
2016-10-24,47.78,47.99
2016-10-25,48.06,47.82
2016-10-26,47.42,47.55
2016-10-27,47.76,47.49
2016-10-28,47.62,47.44
2016-10-31,47.56,47.42
2016-11-01,47.52,47.01
2016-11-02,47.01,46.71
2016-11-03,46.58,46.26
2016-11-04,46.22,46.18
2016-11-07,46.86,47.18
2016-11-08,47.09,47.41
2016-11-09,46.69,47.35
2016-11-10,47.62,46.59
2016-11-11,46.33,46.73
2016-11-14,46.77,46.02
2016-11-15,46.33,46.67
2016-11-16,46.56,47.1
2016-11-17,47.14,47.4
2016-11-18,47.51,47.36
2016-11-21,47.53,47.84
2016-11-22,48.0,47.99
2016-11-23,47.96,47.8
2016-11-25,47.83,48.0
2016-11-28,47.96,48.04
2016-11-29,48.01,48.07
2016-11-30,48.14,47.5
2016-12-01,47.44,46.52
2016-12-02,46.48,46.69
2016-12-05,46.95,47.14
2016-12-06,47.25,47.28
2016-12-07,47.25,48.18
2016-12-08,48.2,48.3
2016-12-09,48.48,48.65
2016-12-12,48.5,48.5
2016-12-13,48.71,49.11
2016-12-14,49.14,48.94
2016-12-15,49.0,49.16
2016-12-16,49.08,48.59
2016-12-19,48.63,48.94
2016-12-20,49.07,49.12
