Date,Open,Close
2015-12-31,31.32,31.18
2016-01-04,30.98,30.46
2016-01-05,30.93,31.38
2016-01-06,30.82,31.08
2016-01-07,30.72,30.51
2016-01-08,30.51,30.11
2016-01-11,30.29,30.29
2016-01-12,30.04,29.96
2016-01-13,30.24,29.65
2016-01-14,29.83,29.75
2016-01-15,29.15,29.25
2016-01-19,29.51,29.45
2016-01-20,28.66,28.66
2016-01-21,28.88,28.88
2016-01-22,29.47,29.48
2016-01-25,29.48,29.48
2016-01-26,29.59,29.74
2016-01-27,29.48,29.48
2016-01-28,29.48,29.16
2016-01-29,29.01,29.19
2016-02-01,29.61,29.81
2016-02-02,29.68,29.43
2016-02-03,29.68,29.46
2016-02-04,29.44,29.64
2016-02-05,29.21,29.1
2016-02-08,28.1,27.56
2016-02-09,27.42,27.34
2016-02-10,27.92,27.92
2016-02-11,27.3,27.22
2016-02-12,27.22,27.49
2016-02-16,27.49,27.49
2016-02-17,28.4,28.35
2016-02-18,28.48,28.7
2016-02-19,28.66,28.66
2016-02-22,29.1,29.1
2016-02-23,28.95,28.95
2016-02-24,28.92,28.97
2016-02-25,29.16,29.16
2016-02-26,29.5,29.37
2016-02-29,29.63,29.33
2016-03-01,29.8,30.03
2016-03-02,30.23,30.36
2016-03-03,30.36,30.4
2016-03-04,30.5,30.49
2016-03-07,30.61,30.47
2016-03-08,30.44,30.42
2016-03-09,30.45,30.33
2016-03-10,30.65,30.19
2016-03-11,30.78,30.89
2016-03-14,31.04,30.99
2016-03-15,31.0,31.19
2016-03-16,31.2,30.96
2016-03-17,31.99,32.0
2016-03-18,31.69,31.47
2016-03-21,31.62,31.31
2016-03-22,31.22,31.25
2016-03-23,31.26,31.14
2016-03-24,31.01,31.19
2016-03-28,31.01,31.39
2016-03-29,31.72,32.07
2016-03-30,32.33,32.0
2016-03-31,32.0,32.16
2016-04-01,32.02,32.23
2016-04-04,32.27,32.18
2016-04-05,31.9,31.89
2016-04-06,31.93,31.98
2016-04-07,32.03,31.72
2016-04-08,32.19,32.02
2016-04-11,32.06,32.0
2016-04-12,32.09,32.14
2016-04-13,32.14,32.02
2016-04-14,31.97,31.89
2016-04-15,31.89,32.11
2016-04-18,32.13,32.23
2016-04-19,32.41,32.12
2016-04-20,32.01,31.8
2016-04-21,31.63,31.06
2016-04-22,31.39,31.46
2016-04-25,31.5,31.68
2016-04-26,31.98,31.77
2016-04-27,31.62,31.65
2016-04-28,33.15,31.68
2016-04-29,31.65,31.38
2016-05-02,31.19,31.71
2016-05-03,31.6,31.87
2016-05-04,31.67,32.33
2016-05-05,32.34,32.36
2016-05-06,32.26,32.53
2016-05-09,32.78,32.86
2016-05-10,33.19,32.98
2016-05-11,33.09,32.38
2016-05-12,32.47,32.49
2016-05-13,32.43,32.02
2016-05-16,32.12,32.46
2016-05-17,32.0,31.92
2016-05-18,31.94,31.13
2016-05-19,31.04,31.07
2016-05-20,31.25,31.28
