Date,Open,Close
2015-12-31,78.58,78.16
2016-01-04,76.78,76.82
2016-01-05,76.89,76.72
2016-01-06,75.6,75.97
2016-01-07,74.46,74.41
2016-01-08,75.01,73.61
2016-01-11,74.05,74.19
2016-01-12,74.71,75.01
2016-01-13,75.32,72.48
2016-01-14,72.63,73.0
2016-01-15,71.1,71.5
2016-01-19,72.29,71.77
2016-01-20,70.74,71.14
2016-01-21,71.36,72.05
2016-01-22,73.22,73.31
2016-01-25,73.3,72.47
2016-01-26,72.74,73.53
2016-01-27,73.4,72.38
2016-01-28,73.29,73.31
2016-01-29,72.94,74.11
2016-02-01,73.68,74.56
2016-02-02,74.05,73.11
2016-02-03,73.8,72.92
2016-02-04,72.69,72.5
2016-02-05,72.18,70.16
2016-02-08,69.39,68.8
2016-02-09,67.92,68.69
2016-02-10,68.75,68.57
2016-02-11,67.59,68.53
2016-02-12,69.28,69.79
2016-02-16,70.82,71.48
2016-02-17,72.23,73.02
2016-02-18,73.06,72.54
2016-02-19,72.08,72.74
2016-02-22,73.39,74.15
2016-02-23,73.94,73.74
2016-02-24,73.13,74.17
2016-02-25,74.25,74.91
2016-02-26,75.39,74.83
2016-02-29,74.85,74.44
2016-03-01,75.09,76.41
2016-03-02,76.28,76.34
2016-03-03,76.21,76.79
2016-03-04,76.83,76.72
2016-03-07,76.32,76.39
2016-03-08,75.94,75.79
2016-03-09,76.08,75.94
2016-03-10,76.3,76.13
2016-03-11,76.77,77.3
2016-03-14,77.08,77.59
2016-03-15,77.1,77.57
2016-03-16,77.48,78.2
2016-03-17,78.03,78.31
2016-03-18,78.13,78.09
2016-03-21,78.07,78.13
2016-03-22,77.57,78.0
2016-03-23,77.63,77.45
2016-03-24,76.82,77.55
2016-03-28,77.66,77.9
2016-03-29,77.79,78.69
2016-03-30,79.01,79.19
2016-03-31,79.07,79.1
2016-04-01,78.6,79.43
2016-04-04,79.52,78.81
2016-04-05,78.41,78.14
2016-04-06,78.24,78.88
2016-04-07,78.56,77.99
